Date,rate_RSG_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,3.6692,-0.6039
2016-03,6.6101,5.2168
2016-04,3.2597,3.9893
2016-05,4.9157,4.6886
2016-06,11.1221,4.1237
2016-07,9.2817,7.1795
2016-08,6.5186,6.3603
2016-09,6.2157,5.6281
2016-10,10.1079,3.196
2016-11,15.3042,6.7601
2016-12,17.8442,8.3626
2017-01,18.5207,10.2536
2017-02,26.4404,13.6522
2017-03,26.8561,12.7005
2017-04,25.4253,12.9818
2017-05,24.9903,13.693
2017-06,24.2711,13.5288
2017-07,23.8294,15.0481
2017-08,24.4647,14.5515
2017-09,25.4168,16.1037
2017-10,22.2808,17.9557
2017-11,21.0401,20.6805
2017-12,25.7225,21.3029
2018-01,27.9214,28.0338
2018-02,23.7509,22.1441
2018-03,21.7037,18.3021
2018-04,18.0471,18.0902
2018-05,22.3396,20.2208
2018-06,23.7891,20.3415
2018-07,30.3164,23.8746
2018-08,30.848,27.0072
2018-09,30.2684,27.7347
2018-10,29.3171,18.1437
2018-11,36.6445,19.7418
2018-12,26.9798,8.5778
2019-01,35.0718,17.1263
2019-02,37.0126,20.3748
2019-03,39.9627,22.0514
2019-04,43.0612,26.2651
2019-05,44.9382,17.5943
2019-06,47.8304,25.308
2019-07,49.9856,26.4355
2019-08,49.7415,23.7232
2019-09,45.8916,26.1617
2019-10,46.3752,28.2707
2019-11,47.1742,32.1761
2019-12,48.3709,35.3247
2020-01,57.295,35.2749
2020-02,48.1063,23.5454
2020-03,22.8658,7.7105
2020-04,27.7943,21.425
2020-05,38.7844,26.7132
2020-06,33.1304,28.4357
2020-07,40.8574,35.3124
2020-08,48.8005,43.9511
2020-09,49.5031,37.6938
2020-10,40.3106,33.4637
2020-11,53.0243,47.2943
2020-12,52.0333,51.8455
2021-01,42.9566,50.305
2021-02,39.907,53.4604
2021-03,55.8291,59.4101
2021-04,65.6557,66.6882
2021-05,68.9432,66.6274
2021-06,69.7059,69.2184
2021-07,81.3086,72.1455
2021-08,88.7411,75.992
2021-09,81.8488,66.6118
2021-10,102.3815,77.1553
2021-11,97.3078,74.6519
2021-12,107.1287,81.397
2022-01,88.193,70.7122
2022-02,76.0946,64.6001
2022-03,93.3971,69.8532
2022-04,94.5856,54.0273
2022-05,92.6458,53.6333
2022-06,87.7483,40.2902
2022-07,97.5762,52.5094
2022-08,101.9874,45.531
2022-09,91.8981,31.5965
2022-10,85.832,41.7445
2022-11,93.9963,48.9584
2022-12,79.2036,39.838
2023-01,73.436,48.5632
2023-02,78.1603,44.2258
2023-03,86.4862,48.9578
2023-04,98.2612,50.6836
2023-05,92.9672,50.7741
2023-06,108.1092,59.884
2023-07,104.0392,64.3798
2023-08,93.4213,60.953
2023-09,90.8624,52.6248
2023-10,97.7758,48.7132
2023-11,114.3212,61.6976
2023-12,117.7462,68.3392
2024-01,125.918,71.0275
2024-02,140.8312,79.0476
2024-03,149.4705,83.99
2024-04,148.861,75.7344
2024-05,138.8766,83.6813
2024-06,149.1042,89.2836
2024-07,148.1765,90.5002
2024-08,164.1996,94.0822
2024-09,154.8514,98.2932
2024-10,150.3823,95.412
2024-11,174.3091,105.8418
2024-12,151.1769,99.9875
2025-01,171.4812,105.351
2025-02,194.7615,101.7087
2025-03,199.1466,89.4719
2025-04,208.4129,87.0451
2025-05,214.3594,97.8575
2025-06,199.309,107.0685
2025-07,178.8506,110.7404
2025-08,181.123,114.0337
2025-09,175.7307,121.6081
2025-10,149.4565,125.7153
2025-11,158.5758,125.0226
2025-12,151.0411,124.0393
2026-01,155.5235,127.2713
2026-02,134.1395,125.3185
