Date,rate_^TNX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-16.9629,-1.8027
2016-03,-10.7178,4.5695
2016-04,-6.4267,3.6217
2016-05,-4.3602,4.6859
2016-06,-21.8779,4.2011
2016-07,-20.0808,7.3141
2016-08,-11.7014,6.5393
2016-09,-8.1328,5.8417
2016-10,5.6913,3.4057
2016-11,35.8565,7.0013
2016-12,36.9844,8.6582
2017-01,34.4134,9.9058
2017-02,26.8888,13.4199
2017-03,26.8217,12.5861
2017-04,19.196,12.9516
2017-05,13.5172,13.7442
2017-06,18.149,14.6714
2017-07,16.6852,16.2352
2017-08,7.2996,15.7466
2017-09,17.1919,17.3266
2017-10,18.9107,19.2474
2017-11,20.1244,22.0133
2017-12,18.7906,22.6523
2018-01,33.4853,28.4864
2018-02,39.3071,22.6807
2018-03,31.8324,18.8927
2018-04,39.9859,18.6249
2018-05,33.1846,20.8091
2018-06,33.2564,20.9812
2018-07,37.5151,24.5763
2018-08,31.2019,27.7899
2018-09,39.5169,27.6747
2018-10,42.9906,18.1983
2018-11,35.2284,19.8597
2018-12,19.691,8.8011
2019-01,16.8983,17.1215
2019-02,19.7531,20.4441
2019-03,6.1575,22.1999
2019-04,10.0849,26.5012
2019-05,-6.2144,17.9266
2019-06,-12.2867,25.7011
2019-07,-11.1173,26.9004
2019-08,-33.439,24.2426
2019-09,-25.1544,26.142
2019-10,-23.847,28.3311
2019-11,-19.5392,32.3256
2019-12,-12.6289,35.5485
2020-01,-30.5696,34.7719
2020-02,-48.0418,23.2511
2020-03,-67.198,7.5779
2020-04,-69.4371,21.2186
2020-05,-66.8601,26.5774
2020-06,-65.3969,28.3766
2020-07,-70.6662,35.3325
2020-08,-60.4719,44.0777
2020-09,-60.2923,37.914
2020-10,-48.2655,33.7633
2020-11,-48.4233,47.7098
2020-12,-43.2684,52.3667
2021-01,-31.5536,49.9654
2021-02,-7.8932,53.2453
2021-03,10.2981,60.4049
2021-04,2.9478,67.83
2021-05,-0.249,67.8968
2021-06,-8.9728,70.6358
2021-07,-21.7443,73.7106
2021-08,-17.3076,77.7187
2021-09,-2.7599,68.3779
2021-10,-0.8918,79.119
2021-11,-8.1441,76.6949
2021-12,-3.629,83.6042
2022-01,13.6208,72.9303
2022-02,17.0481,66.8181
2022-03,47.9241,72.1992
2022-04,82.6815,56.2223
2022-05,78.9043,55.8933
2022-06,85.8548,42.4002
2022-07,64.2955,54.8512
2022-08,93.8774,47.8158
2022-09,133.911,33.7039
2022-10,148.9403,44.0824
2022-11,124.4902,51.4429
2022-12,133.6641,42.1877
2023-01,111.1591,50.5828
2023-02,132.9202,46.2373
2023-03,106.4477,52.2586
2023-04,102.7722,54.0684
2023-05,112.3767,54.1996
2023-06,121.6975,63.548
2023-07,128.4346,68.1942
2023-08,134.6942,64.7317
2023-09,160.5646,56.2636
2023-10,175.9445,52.2886
2023-11,144.7149,65.5989
2023-12,116.0868,72.448
2024-01,120.5014,74.4576
2024-02,135.0469,82.7177
2024-03,131.173,89.0282
2024-04,156.0504,80.6052
2024-05,145.1864,88.8335
2024-06,134.5325,96.0415
2024-07,120.6377,97.3583
2024-08,108.9372,101.128
2024-09,102.1084,105.7758
2024-10,126.6491,102.865
2024-11,119.8732,113.7798
2024-12,139.436,107.7813
2025-01,137.9485,112.3595
2025-02,119.1922,108.6721
2025-03,118.8913,96.0839
2025-04,114.3106,93.6359
2025-05,125.4858,104.9003
2025-06,114.9383,114.5225
2025-07,120.5063,118.4064
2025-08,112.8035,121.8959
2025-09,107.8821,128.6764
2025-10,104.6325,133.0211
2025-11,99.5819,132.409
2025-12,105.9554,131.4906
2026-01,108.9203,133.7386
2026-02,94.3487,130.7823
2026-03,110.6248,117.6098
2026-04,113.5727,139.3863
2026-05,115.7167,150.8374
2026-06,113.107,146.5232
2026-07,127.9054,145.3136
2026-08,124.0861,147.6545
