Date,rate_FICO_5D,rate_VOO_20D
2016-01,-0.0874,1.4254
2016-02,3.987,0.6142
2016-03,8.3181,6.1243
2016-04,6.2095,4.6014
2016-05,9.1531,5.2878
2016-06,7.8054,4.687
2016-07,18.7746,7.7174
2016-08,17.2793,6.8637
2016-09,12.1414,5.9421
2016-10,7.6726,3.4868
2016-11,1.2489,6.843
2016-12,6.0832,8.2789
2017-01,8.9806,9.3935
2017-02,14.0718,12.821
2017-03,12.0731,12.0413
2017-04,16.9496,12.4367
2017-05,13.4683,13.2406
2017-06,18.2119,14.1802
2017-07,19.8893,15.6892
2017-08,17.5063,15.2834
2017-09,16.4273,16.8657
2017-10,19.5067,18.7799
2017-11,28.1537,21.509
2017-12,23.8446,22.1709
2018-01,38.3895,27.9258
2018-02,32.9273,22.2578
2018-03,31.236,18.4465
2018-04,33.0437,18.162
2018-05,40.1503,20.337
2018-06,45.7533,20.5057
2018-07,50.2751,24.0401
2018-08,70.3744,27.2093
2018-09,66.4659,27.1082
2018-10,40.806,17.9327
2018-11,39.4967,19.5577
2018-12,25.6122,8.5722
2019-01,50.4388,16.8959
2019-02,64.044,20.2219
2019-03,77.8935,21.9603
2019-04,81.1925,26.2654
2019-05,89.4886,20.4953
2019-06,84.0783,25.3574
2019-07,100.9522,26.514
2019-08,84.03,24.0717
2019-09,56.7018,25.9454
2019-10,55.7108,27.4086
2019-11,86.8606,31.384
2019-12,88.5032,34.5804
2020-01,100.2798,33.8021
2020-02,91.4778,22.3336
2020-03,91.516,15.1867
2020-04,117.9703,29.6272
2020-05,126.7087,28.2305
2020-06,126.846,28.0341
2020-07,136.5617,33.4885
2020-08,127.4517,42.106
2020-09,106.9952,38.2475
2020-10,99.2156,34.0563
2020-11,118.5489,42.9575
2020-12,125.9603,47.5016
2021-01,101.7087,45.1166
2021-02,94.6946,43.0879
2021-03,99.2145,49.8512
2021-04,111.9934,56.911
2021-05,104.1518,54.6413
2021-06,101.242,57.2758
2021-07,108.1675,60.2291
2021-08,81.4895,64.0213
2021-09,56.0398,55.5224
2021-10,55.3171,65.5435
2021-11,37.0387,65.5034
2021-12,67.5703,68.4598
2022-01,74.6442,58.7763
2022-02,74.9527,53.2596
2022-03,57.0728,58.2953
2022-04,28.7578,52.2757
2022-05,40.8143,51.0659
2022-06,34.0691,38.0304
2022-07,53.9688,50.1558
2022-08,49.0667,43.3725
2022-09,36.1019,29.6913
2022-10,55.1933,39.7003
2022-11,49.4948,46.8631
2022-12,47.8336,40.5677
2023-01,59.4794,48.7988
2023-02,62.2682,45.5387
2023-03,57.8752,49.6635
2023-04,58.43,48.4614
2023-05,70.6892,48.1923
2023-06,74.5411,57.2072
2023-07,79.8958,61.7125
2023-08,80.5128,59.5229
2023-09,75.2881,51.3631
2023-10,66.88,47.5518
2023-11,102.1995,60.474
2023-12,115.1914,67.125
2024-01,120.3327,69.1001
2024-02,130.4937,77.1309
2024-03,120.9537,83.2841
2024-04,99.3477,75.177
2024-05,125.7499,83.1784
2024-06,159.0308,90.182
2024-07,175.4078,90.9416
2024-08,183.1815,97.1965
2024-09,201.4564,98.31
2024-10,196.4585,95.5089
2024-11,227.6436,105.9957
2024-12,175.3246,100.2436
2025-01,157.766,104.6582
2025-02,158.0807,101.1287
2025-03,134.652,89.045
2025-04,147.1625,88.6819
2025-05,113.2985,99.6712
2025-06,124.8005,109.046
2025-07,75.827,112.823
2025-08,85.5961,112.1707
2025-09,81.813,118.6779
2025-10,100.6945,122.8639
2025-11,117.4655,122.3204
2025-12,102.6579,121.4705
2026-01,74.6704,123.6468
2026-02,67.7256,120.852
