Date,rate_IVZ_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-12.3504,-3.7423
2016-03,-9.3488,0.3764
2016-04,5.5007,5.1946
2016-05,2.8731,3.5695
2016-06,4.1915,4.8356
2016-07,-16.2876,4.3651
2016-08,-1.3753,7.2005
2016-09,6.744,6.5176
2016-10,6.562,5.8316
2016-11,-5.0426,2.6321
2016-12,8.5405,6.5262
2017-01,3.455,8.6002
2017-02,0.6309,9.8701
2017-03,11.2518,14.9815
2017-04,4.2969,12.5254
2017-05,11.0181,13.1716
2017-06,12.1196,14.581
2017-07,19.1242,14.626
2017-08,18.146,16.4591
2017-09,11.2721,15.9061
2017-10,17.1487,17.2911
2017-11,18.7558,19.4181
2017-12,20.3765,21.7575
2018-01,20.6116,22.6249
2018-02,18.1113,28.3844
2018-03,4.6042,21.0506
2018-04,5.0856,18.8566
2018-05,-6.7988,18.843
2018-06,-7.9477,22.0592
2018-07,-11.55,20.962
2018-08,-13.6553,24.4135
2018-09,-18.0036,27.7869
2018-10,-21.1951,28.1445
2018-11,-24.13,19.3954
2018-12,-25.986,19.8359
2019-01,-38.5268,8.7501
2019-02,-31.4387,17.203
2019-03,-25.1341,21.2677
2019-04,-22.7131,23.6016
2019-05,-15.0915,25.5902
2019-06,-22.2823,17.8911
2019-07,-17.751,26.7327
2019-08,-27.4818,25.8061
2019-09,-35.0178,24.2046
2019-10,-31.8976,24.595
2019-11,-27.187,29.5299
2019-12,-21.1523,32.3145
2020-01,-18.8213,35.5516
2020-02,-21.5239,34.7733
2020-03,-32.9083,23.2161
2020-04,-62.3232,2.6957
2020-05,-61.2236,17.923
2020-06,-56.5971,27.1545
2020-07,-44.5226,29.2791
2020-08,-44.9218,35.3897
2020-09,-42.4795,45.4969
2020-10,-35.6129,38.8421
2020-11,-24.2541,33.8054
2020-12,-3.4843,49.4413
2021-01,2.2622,52.4925
2021-02,25.5067,52.5474
2021-03,48.2419,57.1165
2021-04,53.4915,62.2404
2021-05,60.0645,68.0147
2021-06,61.2607,67.9506
2021-07,58.9148,71.7835
2021-08,42.9636,73.9065
2021-09,47.8764,78.108
2021-10,43.8458,70.559
2021-11,54.517,79.7147
2021-12,28.3066,74.8714
2022-01,34.0243,83.8439
2022-02,30.0178,74.2485
2022-03,14.9782,64.4857
2022-04,35.7399,72.8765
2022-05,6.6595,56.3809
2022-06,11.6625,54.7432
2022-07,-3.985,43.9638
2022-08,5.6003,54.5402
2022-09,-3.1939,48.4061
2022-10,-18.9522,33.808
2022-11,-7.6875,43.6413
2022-12,16.5026,51.6237
2023-01,7.6843,42.3283
2023-02,13.1547,52.4008
2023-03,5.8216,45.8599
2023-04,-1.0645,52.4428
2023-05,1.2392,54.1535
2023-06,-9.8755,55.8684
2023-07,2.9035,63.7729
2023-08,2.9929,67.9151
2023-09,-0.7113,65.3142
2023-10,-10.0592,56.4671
2023-11,-18.9456,54.158
2023-12,-6.3759,66.8181
2024-01,12.4764,72.7134
2024-02,1.2632,77.0248
2024-03,-0.9545,84.7703
2024-04,5.1759,89.0895
2024-05,-8.583,80.3005
2024-06,1.5507,89.1407
2024-07,-4.0249,96.817
2024-08,8.7503,94.9948
2024-09,14.3827,101.4737
2024-10,15.3104,104.2286
2024-11,18.7035,104.0979
2024-12,21.9609,114.1559
2025-01,17.6496,108.1307
2025-02,29.2489,112.719
2025-03,22.1406,109.0154
2025-04,6.5089,97.097
2025-05,-2.4501,95.2965
2025-06,2.8277,105.2137
2025-07,14.9575,114.7559
2025-08,46.3559,115.142
2025-09,56.5073,122.2543
2025-10,64.5751,129.8729
2025-11,68.3603,133.4127
2025-12,79.0415,131.7276
2026-01,90.0234,131.8756
2026-02,94.4715,131.1612
