Date,rate_AES_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,3.0734,-0.6039
2016-03,21.3716,5.2168
2016-04,11.1783,3.9893
2016-05,7.9007,4.6886
2016-06,20.0956,4.1237
2016-07,17.1391,7.1795
2016-08,12.5187,6.3603
2016-09,18.3037,5.6281
2016-10,7.9199,3.196
2016-11,4.3377,6.7601
2016-12,5.7969,8.3626
2017-01,5.2509,10.2536
2017-02,5.6911,13.6522
2017-03,2.2473,12.7005
2017-04,4.34,12.9818
2017-05,7.4344,13.693
2017-06,1.6256,13.5288
2017-07,2.1977,15.0481
2017-08,1.7884,14.5515
2017-09,1.4538,16.1037
2017-10,-1.15,17.9557
2017-11,-1.5589,20.6805
2017-12,0.7763,21.3029
2018-01,8.7781,28.0338
2018-02,1.9401,22.1441
2018-03,6.4918,18.3021
2018-04,15.5652,18.0902
2018-05,19.7666,20.2208
2018-06,25.1933,20.3415
2018-07,23.9138,23.8746
2018-08,25.1912,27.0072
2018-09,30.1646,27.7347
2018-10,35.7023,18.1437
2018-11,42.9135,19.7418
2018-12,32.163,8.5778
2019-01,51.0541,17.1263
2019-02,57.1191,20.3748
2019-03,63.0959,22.0514
2019-04,54.011,26.2651
2019-05,40.8201,17.5943
2019-06,48.1996,25.308
2019-07,48.4135,26.4355
2019-08,34.292,23.7232
2019-09,43.1371,26.1617
2019-10,49.4525,28.2707
2019-11,64.3254,32.1761
2019-12,71.3398,35.3247
2020-01,72.2266,35.2749
2020-02,43.6228,23.5454
2020-03,15.817,7.7105
2020-04,13.8389,21.425
2020-05,7.0921,26.7132
2020-06,24.0447,28.4357
2020-07,31.0841,35.3124
2020-08,52.0559,43.9511
2020-09,54.0704,37.6938
2020-10,65.9953,33.4637
2020-11,72.5952,47.2943
2020-12,96.8578,51.8455
2021-01,105.5771,50.305
2021-02,121.7038,53.4604
2021-03,121.5592,59.4101
2021-04,128.9008,66.6882
2021-05,107.0766,66.6274
2021-06,110.5691,69.2184
2021-07,90.9384,72.1455
2021-08,90.8079,75.992
2021-09,81.0709,66.6118
2021-10,97.8794,77.1553
2021-11,83.7296,74.6519
2021-12,89.5983,81.397
2022-01,73.0316,70.7122
2022-02,64.5674,64.6001
2022-03,98.3332,69.8532
2022-04,57.4573,54.0273
2022-05,69.0236,53.6333
2022-06,60.202,40.2902
2022-07,69.7022,52.5094
2022-08,93.2405,45.531
2022-09,70.4582,31.5965
2022-10,97.3335,41.7445
2022-11,116.7019,48.9584
2022-12,113.9984,39.838
2023-01,105.1891,48.5632
2023-02,83.581,44.2258
2023-03,78.0823,48.9578
2023-04,75.2455,50.6836
2023-05,45.4698,50.7741
2023-06,52.1675,59.884
2023-07,59.3046,64.3798
2023-08,31.5191,60.953
2023-09,11.1775,52.6248
2023-10,10.1468,48.7132
2023-11,27.0832,61.6976
2023-12,41.7317,68.3392
2024-01,24.0838,71.0275
2024-02,12.7564,79.0476
2024-03,32.8102,83.99
2024-04,33.4919,75.7344
2024-05,60.5119,83.6813
2024-06,30.1291,89.2836
2024-07,31.4364,90.5002
2024-08,27.4331,94.0822
2024-09,49.2293,98.2932
2024-10,22.2395,95.412
2024-11,-2.3016,105.8418
2024-12,-3.5546,99.9875
2025-01,-16.2475,105.351
2025-02,-11.5286,101.7087
2025-03,-5.0365,89.4719
2025-04,-23.4994,87.0451
2025-05,-21.2333,97.8575
2025-06,-17.6757,107.0685
2025-07,3.0825,110.7404
2025-08,7.49,114.0337
2025-09,4.4735,121.6081
2025-10,11.3122,125.7153
2025-11,12.761,125.0226
2025-12,14.886,124.0393
2026-01,18.7794,127.2713
2026-02,15.6425,125.3185
