Date,rate_ZBH_5D,rate_VOO_20D
2016-01,-2.4757,-3.28
2016-02,-3.5035,-1.8027
2016-03,7.5487,4.5695
2016-04,14.3749,3.6217
2016-05,17.5317,4.6859
2016-06,13.231,4.2011
2016-07,21.1521,7.3141
2016-08,17.1414,6.5393
2016-09,15.9205,5.8417
2016-10,-7.1844,3.4057
2016-11,-9.5112,7.0013
2016-12,-7.1448,8.6582
2017-01,7.0763,9.9058
2017-02,5.4431,13.4199
2017-03,9.6817,12.5861
2017-04,6.8818,12.9516
2017-05,6.0343,13.7442
2017-06,13.8406,14.6714
2017-07,6.8889,16.2352
2017-08,0.4234,15.7466
2017-09,3.0744,17.3266
2017-10,6.9123,19.2474
2017-11,2.8831,22.0133
2017-12,6.1842,22.6523
2018-01,11.5725,28.4864
2018-02,1.6379,22.6807
2018-03,-4.4006,18.8927
2018-04,1.1335,18.6249
2018-05,-2.151,20.8091
2018-06,-1.9628,20.9812
2018-07,10.4472,24.5763
2018-08,8.4717,27.7899
2018-09,15.2749,27.6747
2018-10,-0.7258,18.1983
2018-11,2.2042,19.8597
2018-12,-9.2335,8.8011
2019-01,-3.8661,17.1215
2019-02,8.8143,20.4441
2019-03,11.897,22.1999
2019-04,7.6424,26.5012
2019-05,-0.546,17.9266
2019-06,2.9965,25.7011
2019-07,18.0913,26.9004
2019-08,21.1765,24.2426
2019-09,19.6592,26.142
2019-10,20.1411,28.3311
2019-11,25.8002,32.3256
2019-12,29.2514,35.5485
2020-01,27.1269,34.7719
2020-02,16.5455,23.2511
2020-03,-13.4836,7.5779
2020-04,3.0239,21.2186
2020-05,8.7283,26.5774
2020-06,3.1759,28.3766
2020-07,16.4702,35.3325
2020-08,21.3526,44.0777
2020-09,17.1275,37.914
2020-10,13.3514,33.7633
2020-11,27.661,47.7098
2020-12,32.2814,52.3667
2021-01,31.3931,49.9654
2021-02,38.8684,53.2453
2021-03,36.3363,60.4049
2021-04,50.2269,67.83
2021-05,42.0155,67.8968
2021-06,35.7043,70.6358
2021-07,37.3219,73.7106
2021-08,25.9401,77.7187
2021-09,22.353,68.3779
2021-10,19.3027,79.119
2021-11,-0.517,76.6949
2021-12,5.867,83.6042
2022-01,2.445,72.9303
2022-02,5.8649,66.8181
2022-03,9.7578,72.1992
2022-04,3.5161,56.2223
2022-05,3.0082,55.8933
2022-06,-9.3603,42.4002
2022-07,-4.6871,54.8512
2022-08,-8.1318,47.8158
2022-09,-9.357,33.7039
2022-10,-1.613,44.0824
2022-11,4.2684,51.4429
2022-12,11.422,42.1877
2023-01,11.1472,50.5828
2023-02,7.9912,46.2373
2023-03,12.7623,52.2586
2023-04,20.6601,54.0684
2023-05,10.7841,54.1996
2023-06,27.1345,63.548
2023-07,20.3517,68.1942
2023-08,3.6482,64.7317
2023-09,-2.1807,56.2636
2023-10,-8.954,52.2886
2023-11,1.5051,65.5989
2023-12,6.3784,72.448
2024-01,9.7138,74.4576
2024-02,8.5206,82.7177
2024-03,15.2812,89.0282
2024-04,4.9575,80.6052
2024-05,0.4451,88.8335
2024-06,-5.1136,96.0415
2024-07,-2.5702,97.3583
2024-08,1.0488,101.128
2024-09,-5.3103,105.7758
2024-10,-6.1562,102.865
2024-11,-1.5607,113.7798
2024-12,-7.009,107.7813
2025-01,-3.5577,112.3595
2025-02,-8.0661,108.6721
2025-03,0.0162,96.0839
2025-04,-8.9123,93.6359
2025-05,-18.4316,104.9003
2025-06,-18.9072,114.5225
2025-07,-18.3842,118.4064
2025-08,-5.348,121.8959
2025-09,-11.8634,128.6764
2025-10,-9.9253,133.0211
2025-11,-12.5625,132.409
2025-12,-19.0321,131.4906
2026-01,-21.4424,133.7386
2026-02,-11.0056,130.7823
2026-03,-9.9677,129.7769
