Date,rate_TKO_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-5.5165,-1.8027
2016-03,3.5148,4.5695
2016-04,-2.7734,3.6217
2016-05,3.2308,4.6859
2016-06,8.1363,4.2011
2016-07,15.0045,7.3141
2016-08,19.1915,6.5393
2016-09,20.6333,5.8417
2016-10,-1.558,3.4057
2016-11,4.6934,7.0013
2016-12,3.0077,8.6582
2017-01,9.3564,9.9058
2017-02,16.437,13.4199
2017-03,22.8472,12.5861
2017-04,17.1082,12.9516
2017-05,10.59,13.7442
2017-06,10.2985,14.6714
2017-07,14.0052,16.2352
2017-08,16.6951,15.7466
2017-09,25.745,17.3266
2017-10,40.3139,19.2474
2017-11,48.7921,22.0133
2017-12,58.0919,22.6523
2018-01,80.0374,28.4864
2018-02,90.9494,22.6807
2018-03,77.6818,18.8927
2018-04,93.2534,18.6249
2018-05,176.4201,20.8091
2018-06,240.7628,20.9812
2018-07,261.7471,24.5763
2018-08,290.7194,27.7899
2018-09,323.1311,27.6747
2018-10,210.5524,18.1983
2018-11,210.319,19.8597
2018-12,208.0971,8.8011
2019-01,233.3024,17.1215
2019-02,232.5669,20.4441
2019-03,239.0257,22.1999
2019-04,221.7995,26.5012
2019-05,174.5326,17.9266
2019-06,168.8542,25.7011
2019-07,166.9699,26.9004
2019-08,158.3559,24.2426
2019-09,154.2665,26.142
2019-10,97.6657,28.3311
2019-11,116.4444,32.3256
2019-12,124.2588,35.5485
2020-01,67.0953,34.7719
2020-02,58.6047,23.2511
2020-03,14.6815,7.5779
2020-04,49.9339,21.2186
2020-05,55.0395,26.5774
2020-06,45.8088,28.3766
2020-07,55.4082,35.3325
2020-08,46.0095,44.0777
2020-09,33.7645,37.914
2020-10,19.6737,33.7633
2020-11,41.2371,47.7098
2020-12,57.2068,52.3667
2021-01,83.1718,49.9654
2021-02,59.4524,53.2453
2021-03,75.1361,60.4049
2021-04,76.6178,67.83
2021-05,77.7615,67.8968
2021-06,83.4467,70.6358
2021-07,55.4241,73.7106
2021-08,63.1483,77.7187
2021-09,75.5068,68.3779
2021-10,89.3433,79.119
2021-11,51.9863,76.6949
2021-12,51.6187,83.6042
2022-01,52.7448,72.9303
2022-02,80.3817,66.8181
2022-03,89.287,72.1992
2022-04,75.92,56.2223
2022-05,100.0196,55.8933
2022-06,86.358,42.4002
2022-07,105.4638,54.8512
2022-08,100.2957,47.8158
2022-09,105.7352,33.7039
2022-10,129.8291,44.0824
2022-11,131.1303,51.4429
2022-12,97.2929,42.1877
2023-01,142.2129,50.5828
2023-02,138.7778,46.2373
2023-03,158.0124,52.2586
2023-04,200.8548,54.0684
2023-05,182.2969,54.1996
2023-06,200.3877,63.548
2023-07,188.6523,68.1942
2023-08,163.5581,64.7317
2023-09,138.3465,56.2636
2023-10,131.0072,52.2886
2023-11,116.6078,65.5989
2023-12,127.21,72.448
2024-01,131.7369,74.4576
2024-02,130.4798,82.7177
2024-03,136.5098,89.0282
2024-04,157.6146,80.6052
2024-05,194.9665,88.8335
2024-06,190.155,96.0415
2024-07,191.9409,97.3583
2024-08,213.6438,101.128
2024-09,226.045,105.7758
2024-10,205.7616,102.865
2024-11,258.933,113.7798
2024-12,267.2563,107.7813
2025-01,298.4197,112.3595
2025-02,284.0617,108.6721
2025-03,289.8818,96.0839
2025-04,312.8701,93.6359
2025-05,297.2688,104.9003
2025-06,357.8611,114.5225
2025-07,320.0409,118.4064
2025-08,370.7978,121.8959
2025-09,400.0787,128.6764
2025-10,363.3928,133.0211
2025-11,373.7502,132.409
2025-12,409.195,131.4906
2026-01,390.2814,133.7386
2026-02,438.2482,130.7823
2026-03,371.265,121.4547
