Date,rate_BOTZ_5D,rate_VOO_20D
2016-09,0.0,0.0
2016-10,-0.0718,-0.3942
2016-11,0.506,3.2015
2016-12,0.1488,4.8584
2017-01,8.8766,6.106
2017-02,9.0452,9.6201
2017-03,12.5286,8.7862
2017-04,14.7684,9.1517
2017-05,17.1964,9.9444
2017-06,15.6315,10.8715
2017-07,21.6697,12.4354
2017-08,23.5691,11.9468
2017-09,29.1242,13.5267
2017-10,37.8399,15.4475
2017-11,37.0785,18.2134
2017-12,33.5968,18.8525
2018-01,46.9858,24.6865
2018-02,34.3711,18.8808
2018-03,30.2918,15.0928
2018-04,22.9838,14.825
2018-05,22.6398,17.0092
2018-06,15.1448,17.1813
2018-07,16.0449,20.7764
2018-08,19.2015,23.9901
2018-09,17.561,23.8749
2018-10,0.7332,14.3985
2018-11,0.6143,16.0598
2018-12,-10.8594,5.0013
2019-01,-1.3073,13.3217
2019-02,4.3877,16.6442
2019-03,7.191,18.4
2019-04,14.5108,22.7014
2019-05,-0.2628,14.1268
2019-06,10.8802,21.9012
2019-07,4.4987,23.1006
2019-08,0.0645,20.4428
2019-09,6.5486,22.3422
2019-10,10.4923,24.5313
2019-11,13.6534,28.5257
2019-12,15.5286,31.7487
2020-01,12.7309,30.972
2020-02,6.4482,19.4512
2020-03,-4.857,3.778
2020-04,7.372,17.4187
2020-05,21.7534,22.7775
2020-06,24.8463,24.5768
2020-07,31.8485,31.5327
2020-08,40.4001,40.2779
2020-09,43.5086,34.1142
2020-10,41.7946,29.9635
2020-11,60.9995,43.9099
2020-12,67.2724,48.5669
2021-01,69.5821,46.1655
2021-02,67.112,49.4455
2021-03,63.4831,56.6051
2021-04,68.1738,64.0302
2021-05,66.5405,64.0969
2021-06,68.7708,66.8359
2021-07,63.1126,69.9108
2021-08,74.7267,73.9189
2021-09,73.001,64.578
2021-10,77.0548,75.3191
2021-11,68.899,72.895
2021-12,66.6525,79.8044
2022-01,36.8943,69.1305
2022-02,35.7167,63.0182
2022-03,32.6539,68.3994
2022-04,8.6831,52.4225
2022-05,8.5572,52.0934
2022-06,-7.5762,38.6003
2022-07,2.5186,51.0513
2022-08,-6.2566,44.0159
2022-09,-17.6071,29.904
2022-10,-10.3414,40.2825
2022-11,-1.9429,47.643
2022-12,-5.9586,38.3879
2023-01,8.9844,46.783
2023-02,7.6405,42.4374
2023-03,16.4846,48.4588
2023-04,13.5911,50.2686
2023-05,24.192,50.3998
2023-06,30.4967,59.7482
2023-07,31.9389,64.3944
2023-08,20.7045,60.9319
2023-09,11.4111,52.4637
2023-10,2.5102,48.4888
2023-11,18.9178,61.7991
2023-12,27.9644,68.6481
2024-01,28.0082,70.6577
2024-02,39.2809,78.9178
2024-03,41.6326,85.2284
2024-04,32.6272,76.8053
2024-05,36.2598,85.0336
2024-06,36.1828,92.2416
2024-07,35.5865,93.5585
2024-08,38.5964,97.3282
2024-09,40.7799,101.9759
2024-10,38.6784,99.0652
2024-11,45.2845,109.98
2024-12,38.6731,103.9814
2025-01,43.6096,108.5597
2025-02,38.396,104.8722
2025-03,22.5002,92.284
2025-04,22.7074,89.836
2025-05,32.5124,101.1005
2025-06,39.6861,110.7227
2025-07,42.8261,114.6065
2025-08,42.7798,118.096
2025-09,50.3592,124.8765
2025-10,60.0398,129.2213
2025-11,48.2909,128.6091
2025-12,52.9744,127.6907
2026-01,57.0897,129.9387
2026-02,63.717,126.9825
2026-03,38.929,113.81
2026-04,60.375,135.5864
2026-05,66.9186,147.0376
2026-06,57.1933,142.7233
2026-07,45.4825,141.5138
2026-08,54.9423,148.9307
