Date,rate_TSN_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,21.3576,-1.8027
2016-03,17.133,4.5695
2016-04,10.9048,3.6217
2016-05,6.3616,4.6859
2016-06,10.0751,4.2011
2016-07,19.7935,7.3141
2016-08,20.5647,6.5393
2016-09,16.8925,5.8417
2016-10,9.3195,3.4057
2016-11,-12.6579,7.0013
2016-12,-3.9591,8.6582
2017-01,-1.93,9.9058
2017-02,-1.9731,13.4199
2017-03,-3.343,12.5861
2017-04,0.8501,12.9516
2017-05,-9.6393,13.7442
2017-06,-0.8719,14.6714
2017-07,0.3264,16.2352
2017-08,0.6073,15.7466
2017-09,11.816,17.3266
2017-10,15.1589,19.2474
2017-11,29.5659,22.0133
2017-12,26.4861,22.6523
2018-01,17.7683,28.4864
2018-02,14.9078,22.6807
2018-03,12.5838,18.8927
2018-04,7.4108,18.6249
2018-05,3.6236,20.8091
2018-06,5.5807,20.9812
2018-07,-11.7247,24.5763
2018-08,-2.978,27.7899
2018-09,-7.9475,27.6747
2018-10,-7.0765,18.1983
2018-11,-7.9074,19.8597
2018-12,-16.3681,8.8011
2019-01,-2.5471,17.1215
2019-02,-2.2995,20.4441
2019-03,10.0241,22.1999
2019-04,18.5664,26.5012
2019-05,20.0949,17.9266
2019-06,27.2488,25.7011
2019-07,24.6682,26.9004
2019-08,45.7758,24.2426
2019-09,34.04,26.142
2019-10,28.1955,28.3311
2019-11,39.7863,32.3256
2019-12,40.7314,35.5485
2020-01,26.9932,34.7719
2020-02,4.4807,23.2511
2020-03,-10.919,7.5779
2020-04,-3.9588,21.2186
2020-05,-3.0312,26.5774
2020-06,-5.775,28.3766
2020-07,-2.8888,35.3325
2020-08,-0.0432,44.0777
2020-09,-5.314,37.914
2020-10,-8.7955,33.7633
2020-11,4.7605,47.7098
2020-12,3.4086,52.3667
2021-01,3.1443,49.9654
2021-02,10.6162,53.2453
2021-03,21.1975,60.4049
2021-04,25.9724,67.83
2021-05,31.7773,67.8968
2021-06,21.7989,70.6358
2021-07,17.6888,73.7106
2021-08,29.7456,77.7187
2021-09,30.0093,68.3779
2021-10,31.2814,79.119
2021-11,29.9277,76.6949
2021-12,42.9695,83.6042
2022-01,48.4664,72.9303
2022-02,51.4311,66.8181
2022-03,45.7932,72.1992
2022-04,50.8832,56.2223
2022-05,45.2463,55.8933
2022-06,38.9738,42.4002
2022-07,41.6275,54.8512
2022-08,21.6177,47.8158
2022-09,6.1635,33.7039
2022-10,9.978,44.0824
2022-11,7.3121,51.4429
2022-12,0.7337,42.1877
2023-01,6.3827,50.5828
2023-02,-3.4199,46.2373
2023-03,-3.2527,52.2586
2023-04,1.9498,54.0684
2023-05,-16.5934,54.1996
2023-06,-15.7496,63.548
2023-07,-7.8469,68.1942
2023-08,-11.0107,64.7317
2023-09,-15.5144,56.2636
2023-10,-22.2817,52.2886
2023-11,-20.4044,65.5989
2023-12,-8.4982,72.448
2024-01,-6.6915,74.4576
2024-02,-6.7068,82.7177
2024-03,1.115,89.0282
2024-04,4.422,80.6052
2024-05,-0.6178,88.8335
2024-06,0.8847,96.0415
2024-07,7.4975,97.3583
2024-08,15.1607,101.128
2024-09,8.2006,105.7758
2024-10,6.3574,102.865
2024-11,18.8236,113.7798
2024-12,6.4702,107.7813
2025-01,4.6528,112.3595
2025-02,14.508,108.6721
2025-03,20.8682,96.0839
2025-04,15.8455,93.6359
2025-05,8.0132,104.9003
2025-06,8.4495,114.5225
2025-07,1.3125,118.4064
2025-08,12.8656,121.8959
2025-09,8.7486,128.6764
2025-10,2.8943,133.0211
2025-11,16.1388,132.409
2025-12,18.1536,131.4906
2026-01,31.4956,133.7386
2026-02,32.6024,130.7823
2026-03,22.7329,126.4154
