Date,rate_UAL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-12.2259,-3.7423
2016-03,12.159,0.3764
2016-04,4.9637,5.1946
2016-05,-16.2483,3.5695
2016-06,-14.0819,4.8356
2016-07,-19.3185,4.3651
2016-08,-4.4935,7.2005
2016-09,3.2152,6.5176
2016-10,6.04,5.8316
2016-11,12.5187,2.6321
2016-12,36.1716,6.5262
2017-01,41.7248,8.6002
2017-02,35.8469,9.8701
2017-03,40.5697,14.9815
2017-04,29.1725,12.5254
2017-05,26.676,13.1716
2017-06,44.1679,14.581
2017-07,31.6815,14.626
2017-08,17.2411,16.4591
2017-09,7.0621,15.9061
2017-10,4.0714,17.2911
2017-11,0.0596,19.4181
2017-12,6.7581,21.7575
2018-01,14.6913,22.6249
2018-02,13.6765,28.3844
2018-03,13.8038,21.0506
2018-04,16.5261,18.8566
2018-05,14.1133,18.843
2018-06,15.0688,22.0592
2018-07,15.3573,20.962
2018-08,31.8083,24.4135
2018-09,42.9082,27.7869
2018-10,41.9126,28.1445
2018-11,41.3674,19.3954
2018-12,53.9716,19.8359
2019-01,32.0195,8.7501
2019-02,37.0409,17.203
2019-03,35.1771,21.2677
2019-04,24.9266,23.6016
2019-05,35.1678,25.5902
2019-06,18.5921,17.8911
2019-07,34.5796,26.7327
2019-08,36.8584,25.8061
2019-09,26.7291,24.2046
2019-10,31.414,24.595
2019-11,36.3992,29.5299
2019-12,37.3244,32.3145
2020-01,29.6145,35.5516
2020-02,9.5448,34.7733
2020-03,-9.9601,23.2161
2020-04,-62.4211,2.6957
2020-05,-59.7562,17.923
2020-06,-54.2171,27.1545
2020-07,-45.2903,29.2791
2020-08,-49.4173,35.3897
2020-09,-40.9434,45.4969
2020-10,-41.6046,38.8421
2020-11,-43.1069,33.8054
2020-12,-22.8757,49.4413
2021-01,-26.0361,52.4925
2021-02,-31.304,52.5474
2021-03,-7.6362,57.1165
2021-04,0.3075,62.2404
2021-05,-5.6316,68.0147
2021-06,3.6037,67.9506
2021-07,-7.8883,71.7835
2021-08,-18.8227,73.9065
2021-09,-19.4714,78.108
2021-10,-10.1807,70.559
2021-11,-15.8018,79.7147
2021-12,-31.3752,74.8714
2022-01,-22.5958,83.8439
2022-02,-21.9681,74.2485
2022-03,-25.4321,64.4857
2022-04,-18.0602,72.8765
2022-05,-9.3514,56.3809
2022-06,-18.2362,54.7432
2022-07,-34.3165,43.9638
2022-08,-31.6153,54.5402
2022-09,-35.8018,48.4061
2022-10,-40.2301,33.808
2022-11,-20.9756,43.6413
2022-12,-18.4384,51.6237
2023-01,-29.7538,42.3283
2023-02,-5.9607,52.4008
2023-03,-1.8262,45.8599
2023-04,-17.063,52.4428
2023-05,-16.5696,54.1535
2023-06,-10.7362,55.8684
2023-07,3.4463,63.7729
2023-08,0.3732,67.9151
2023-09,-6.303,65.3142
2023-10,-20.2292,56.4671
2023-11,-34.1779,54.158
2023-12,-23.4957,66.8181
2024-01,-21.3066,72.7134
2024-02,-20.6289,77.0248
2024-03,-14.0146,84.7703
2024-04,-9.053,89.0895
2024-05,-2.5804,80.3005
2024-06,1.9058,89.1407
2024-07,-7.0738,96.817
2024-08,-18.4548,94.9948
2024-09,-15.0773,101.4737
2024-10,8.4177,104.2286
2024-11,55.2971,104.0979
2024-12,86.27,114.1559
2025-01,85.9875,108.1307
2025-02,101.8674,112.719
2025-03,78.1011,109.0154
2025-04,28.9675,97.097
2025-05,30.5198,95.2965
2025-06,49.6091,105.2137
2025-07,50.3185,114.7559
2025-08,58.343,115.142
2025-09,95.9692,122.2543
2025-10,73.1242,129.8729
2025-11,74.1519,133.4127
2025-12,86.5923,131.7276
2026-01,105.5377,131.8756
2026-02,62.4266,120.852
