Date,rate_ODFL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,13.3116,-0.6039
2016-03,15.7966,5.2168
2016-04,6.0683,3.9893
2016-05,2.0847,4.6886
2016-06,-4.5032,4.1237
2016-07,10.664,7.1795
2016-08,11.6202,6.3603
2016-09,6.3834,5.6281
2016-10,14.9601,3.196
2016-11,32.8488,6.7601
2016-12,27.6375,8.3626
2017-01,31.338,10.2536
2017-02,34.0143,13.6522
2017-03,22.4777,12.7005
2017-04,25.2005,12.9818
2017-05,24.7314,13.693
2017-06,31.3638,13.5288
2017-07,30.4147,15.0481
2017-08,34.2232,14.5515
2017-09,46.0003,16.1037
2017-10,58.1836,17.9557
2017-11,65.968,20.6805
2017-12,66.0522,21.3029
2018-01,84.8391,28.0338
2018-02,71.941,22.1441
2018-03,78.8634,18.3021
2018-04,60.2749,18.0902
2018-05,84.1672,20.2208
2018-06,72.9413,20.3415
2018-07,67.9349,23.8746
2018-08,72.0266,27.0072
2018-09,82.0187,27.7347
2018-10,45.0609,18.1437
2018-11,50.506,19.7418
2018-12,34.5712,8.5778
2019-01,48.1169,17.1263
2019-02,62.6459,20.3748
2019-03,54.0097,22.0514
2019-04,57.5623,26.2651
2019-05,38.4156,17.5943
2019-06,54.847,25.308
2019-07,71.6203,26.4355
2019-08,66.5516,23.7232
2019-09,72.8651,26.1617
2019-10,83.3297,28.2707
2019-11,90.7217,32.1761
2019-12,86.8843,35.3247
2020-01,93.2343,35.2749
2020-02,88.7087,23.5454
2020-03,89.632,7.7105
2020-04,107.8972,21.425
2020-05,142.0441,26.7132
2020-06,137.0176,28.4357
2020-07,152.4916,35.3124
2020-08,175.8432,43.9511
2020-09,143.7277,37.6938
2020-10,153.5129,33.4637
2020-11,167.6666,47.2943
2020-12,153.8549,51.8455
2021-01,152.3209,50.305
2021-02,176.1949,53.4604
2021-03,205.8225,59.4101
2021-04,224.0329,66.6882
2021-05,229.6188,66.6274
2021-06,211.6497,69.2184
2021-07,226.7103,72.1455
2021-08,246.7245,75.992
2021-09,239.4628,66.6118
2021-10,300.6063,77.1553
2021-11,312.1389,74.6519
2021-12,311.0345,81.397
2022-01,242.3841,70.7122
2022-02,252.3081,64.6001
2022-03,231.8888,69.8532
2022-04,208.2073,54.0273
2022-05,181.7196,53.6333
2022-06,177.0381,40.2902
2022-07,225.1254,52.5094
2022-08,187.9761,45.531
2022-09,161.9123,31.5965
2022-10,186.6163,41.7445
2022-11,213.1307,48.9584
2022-12,191.3645,39.838
2023-01,242.0771,48.5632
2023-02,245.338,44.2258
2023-03,243.8209,48.9578
2023-04,220.3545,50.6836
2023-05,207.7746,50.7741
2023-06,263.8992,59.884
2023-07,309.2313,64.3798
2023-08,313.1816,60.953
2023-09,292.3971,52.6248
2023-10,258.1383,48.7132
2023-11,266.8127,61.6976
2023-12,279.3084,68.3392
2024-01,265.9334,71.0275
2024-02,310.6926,79.0476
2024-03,304.1587,83.99
2024-04,232.1041,75.7344
2024-05,217.8598,83.6813
2024-06,218.4479,89.2836
2024-07,276.1853,90.5002
2024-08,242.4463,94.0822
2024-09,253.2786,98.2932
2024-10,255.3906,95.412
2024-11,294.4761,105.8418
2024-12,207.2215,99.9875
2025-01,223.2262,105.351
2025-02,205.2416,101.7087
2025-03,184.7139,89.4719
2025-04,162.0656,87.0451
2025-05,172.1964,97.8575
2025-06,174.5899,107.0685
2025-07,150.9166,110.7404
2025-08,152.3987,114.0337
2025-09,135.8349,121.6081
2025-10,133.9624,125.7153
2025-11,124.2245,125.0226
2025-12,158.9545,124.0393
2026-01,185.9841,127.2713
2026-02,55.0179,125.3185
