Date,rate_IFF_5D,rate_VOO_20D
2016-01,-0.856,-3.28
2016-02,-11.9642,-1.8027
2016-03,0.4778,4.5695
2016-04,4.756,3.6217
2016-05,12.0004,4.6859
2016-06,7.995,4.2011
2016-07,12.9083,7.3141
2016-08,15.6799,6.5393
2016-09,18.0336,5.8417
2016-10,6.3544,3.4057
2016-11,-2.202,7.0013
2016-12,-2.3625,8.6582
2017-01,-2.6929,9.9058
2017-02,4.5764,13.4199
2017-03,10.3713,12.5861
2017-04,14.7219,12.9516
2017-05,13.2673,13.7442
2017-06,10.6938,14.6714
2017-07,8.6551,16.2352
2017-08,11.1388,15.7466
2017-09,17.1147,17.3266
2017-10,19.9842,19.2474
2017-11,25.5384,22.0133
2017-12,22.7833,22.6523
2018-01,20.0327,28.4864
2018-02,12.1537,22.6807
2018-03,9.9871,18.8927
2018-04,13.1084,18.6249
2018-05,-2.6012,20.8091
2018-06,0.542,20.9812
2018-07,7.6479,24.5763
2018-08,5.4258,27.7899
2018-09,14.1439,27.6747
2018-10,18.261,18.1983
2018-11,15.2496,19.8597
2018-12,9.4667,8.8011
2019-01,15.2993,17.1215
2019-02,3.3628,20.4441
2019-03,6.0795,22.1999
2019-04,13.24,26.5012
2019-05,10.98,17.9266
2019-06,20.4039,25.7011
2019-07,19.053,26.9004
2019-08,-9.5362,24.2426
2019-09,3.1989,26.142
2019-10,2.5917,28.3311
2019-11,18.6532,32.3256
2019-12,8.6906,35.5485
2020-01,10.2656,34.7719
2020-02,0.5655,23.2511
2020-03,-13.637,7.5779
2020-04,11.1544,21.2186
2020-05,12.8361,26.5774
2020-06,4.2027,28.3766
2020-07,7.0547,35.3325
2020-08,5.0965,44.0777
2020-09,4.5106,37.914
2020-10,-12.3787,33.7633
2020-11,-4.105,47.7098
2020-12,-4.1834,52.3667
2021-01,-1.0068,49.9654
2021-02,19.0747,53.2453
2021-03,22.9908,60.4049
2021-04,24.8867,67.83
2021-05,24.0668,67.8968
2021-06,31.1006,70.6358
2021-07,31.7184,73.7106
2021-08,32.0005,77.7187
2021-09,16.8212,68.3779
2021-10,28.4092,79.119
2021-11,23.4612,76.6949
2021-12,31.1629,83.6042
2022-01,14.4941,72.9303
2022-02,15.2116,66.8181
2022-03,14.2973,72.1992
2022-04,5.368,56.2223
2022-05,14.7142,55.8933
2022-06,3.9159,42.4002
2022-07,8.1568,54.8512
2022-08,-3.7622,47.8158
2022-09,-20.0931,33.7039
2022-10,-13.8791,44.0824
2022-11,-6.4328,51.4429
2022-12,-6.5163,42.1877
2023-01,0.3459,50.5828
2023-02,-16.824,46.2373
2023-03,-16.995,52.2586
2023-04,-12.2857,54.0684
2023-05,-29.9364,54.1996
2023-06,-26.7672,63.548
2023-07,-21.8455,68.1942
2023-08,-34.7024,64.7317
2023-09,-35.6935,56.2636
2023-10,-35.1442,52.2886
2023-11,-28.0727,65.5989
2023-12,-21.6793,72.448
2024-01,-21.7373,74.4576
2024-02,-26.5606,82.7177
2024-03,-15.6829,89.0282
2024-04,-16.8471,80.6052
2024-05,-5.3366,88.8335
2024-06,-5.0581,96.0415
2024-07,-0.7044,97.3583
2024-08,3.8054,101.128
2024-09,5.901,105.7758
2024-10,0.3402,102.865
2024-11,-7.7887,113.7798
2024-12,-13.3734,107.7813
2025-01,-10.6491,112.3595
2025-02,-15.9667,108.6721
2025-03,-18.904,96.0839
2025-04,-17.8428,93.6359
2025-05,-19.6687,104.9003
2025-06,-21.3967,114.5225
2025-07,-23.9479,118.4064
2025-08,-27.4964,121.8959
2025-09,-33.2503,128.6764
2025-10,-31.4019,133.0211
2025-11,-24.0318,132.409
2025-12,-24.8029,131.4906
2026-01,-21.8953,133.7386
2026-02,-7.8096,130.7823
2026-03,-9.4042,129.7769
