Date,rate_NUE_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.0898,-0.6039
2016-03,19.257,5.2168
2016-04,20.1545,3.9893
2016-05,12.8686,4.6886
2016-06,13.4358,4.1237
2016-07,20.7608,7.1795
2016-08,6.9019,6.3603
2016-09,8.7685,5.6281
2016-10,6.6685,3.196
2016-11,35.1955,6.7601
2016-12,27.3828,8.3626
2017-01,24.344,10.2536
2017-02,32.0418,13.6522
2017-03,24.4616,12.7005
2017-04,26.0365,12.9818
2017-05,17.7996,13.693
2017-06,16.9229,13.5288
2017-07,15.4461,15.0481
2017-08,9.5746,14.5515
2017-09,11.6191,16.1037
2017-10,14.5827,17.9557
2017-11,13.1726,20.6805
2017-12,25.2326,21.3029
2018-01,31.8457,28.0338
2018-02,27.5009,22.1441
2018-03,18.6757,18.3021
2018-04,19.0531,18.0902
2018-05,23.3348,20.2208
2018-06,19.9039,20.3415
2018-07,27.6063,23.8746
2018-08,18.3472,27.0072
2018-09,20.8654,27.7347
2018-10,11.9392,18.1437
2018-11,13.9337,19.7418
2018-12,-1.9224,8.5778
2019-01,15.766,17.1263
2019-02,14.0109,20.3748
2019-03,10.1944,22.0514
2019-04,7.4074,26.2651
2019-05,-9.784,17.5943
2019-06,4.4786,25.308
2019-07,2.9513,26.4355
2019-08,-7.2919,23.7232
2019-09,-2.8824,26.1617
2019-10,2.8105,28.2707
2019-11,7.4484,32.1761
2019-12,7.8661,35.3247
2020-01,-8.8554,35.2749
2020-02,-20.488,23.5454
2020-03,-29.6307,7.7105
2020-04,-18.8087,21.425
2020-05,-16.292,26.7132
2020-06,-16.8617,28.4357
2020-07,-15.3713,35.3124
2020-08,-8.0183,43.9511
2020-09,-8.3179,37.6938
2020-10,-2.2497,33.4637
2020-11,9.8906,47.2943
2020-12,9.443,51.8455
2021-01,0.3413,50.305
2021-02,23.1312,53.4604
2021-03,65.4135,59.4101
2021-04,68.3364,66.6882
2021-05,108.2675,66.6274
2021-06,93.8153,69.2184
2021-07,108.4286,72.1455
2021-08,133.5524,75.992
2021-09,94.6809,66.6118
2021-10,118.9842,77.1553
2021-11,106.6747,74.6519
2021-12,121.2359,81.397
2022-01,94.9151,70.7122
2022-02,151.0082,64.6001
2022-03,181.9137,69.8532
2022-04,190.7694,54.0273
2022-05,146.5635,53.6333
2022-06,93.6799,40.2902
2022-07,150.1497,52.5094
2022-08,142.8729,45.531
2022-09,94.8431,31.5965
2022-10,137.4954,41.7445
2022-11,168.9502,48.9584
2022-12,135.4109,39.838
2023-01,201.5674,48.5632
2023-02,196.1022,44.2258
2023-03,171.7439,48.9578
2023-04,158.6107,50.6836
2023-05,128.7468,50.7741
2023-06,182.9245,59.884
2023-07,194.566,64.3798
2023-08,192.254,60.953
2023-09,164.3078,52.6248
2023-10,148.0445,48.7132
2023-11,183.302,61.6976
2023-12,188.8339,68.3392
2024-01,210.1463,71.0275
2024-02,216.6288,79.0476
2024-03,224.2541,83.99
2024-04,174.0248,75.7344
2024-05,172.6433,83.6813
2024-06,154.3937,89.2836
2024-07,160.5203,90.5002
2024-08,141.3574,94.0822
2024-09,139.7213,98.2932
2024-10,124.7595,95.412
2024-11,143.6978,105.8418
2024-12,83.627,99.9875
2025-01,101.9724,105.351
2025-02,115.0278,101.7087
2025-03,88.1147,89.4719
2025-04,85.7348,87.0451
2025-05,69.3909,97.8575
2025-06,100.5759,107.0685
2025-07,120.3718,110.7404
2025-08,127.9269,114.0337
2025-09,108.389,121.6081
2025-10,129.73,125.7153
2025-11,142.8971,125.0226
2025-12,147.8909,124.0393
2026-01,170.0088,127.2713
2026-02,72.2121,125.3185
