Date,rate_TAP_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.5112,-3.7423
2016-03,-6.1304,0.3764
2016-04,7.8675,5.1946
2016-05,4.4338,3.5695
2016-06,10.6071,4.8356
2016-07,7.7362,4.3651
2016-08,6.7328,7.2005
2016-09,8.0099,6.5176
2016-10,14.7703,5.8316
2016-11,8.6508,2.6321
2016-12,-2.6322,6.5262
2017-01,0.3101,8.6002
2017-02,-0.6386,9.8701
2017-03,4.0081,14.9815
2017-04,-0.3784,12.5254
2017-05,-0.8295,13.1716
2017-06,2.3067,14.581
2017-07,-8.6709,14.626
2017-08,-5.1902,16.4591
2017-09,-3.6034,15.9061
2017-10,-12.4358,17.2911
2017-11,-12.5227,19.4181
2017-12,-13.5249,21.7575
2018-01,-9.8234,22.6249
2018-02,-7.8013,28.3844
2018-03,-14.9334,21.0506
2018-04,-14.696,18.8566
2018-05,-18.3345,18.843
2018-06,-28.7962,22.0592
2018-07,-19.3486,20.962
2018-08,-17.1878,24.4135
2018-09,-19.2745,27.7869
2018-10,-25.4309,28.1445
2018-11,-18.8044,19.3954
2018-12,-18.0347,19.8359
2019-01,-29.5861,8.7501
2019-02,-16.312,17.203
2019-03,-21.2127,21.2677
2019-04,-20.956,23.6016
2019-05,-21.7799,25.5902
2019-06,-25.9615,17.8911
2019-07,-22.9842,26.7327
2019-08,-27.7133,25.8061
2019-09,-27.8636,24.2046
2019-10,-17.6859,24.595
2019-11,-25.0025,29.5299
2019-12,-25.2036,32.3145
2020-01,-19.5803,35.5516
2020-02,-16.6638,34.7733
2020-03,-25.3195,23.2161
2020-04,-40.0539,2.6957
2020-05,-37.5718,17.923
2020-06,-38.4059,27.1545
2020-07,-42.4714,29.2791
2020-08,-37.6104,35.3897
2020-09,-37.7978,45.4969
2020-10,-44.3213,38.8421
2020-11,-39.2888,33.8054
2020-12,-19.4947,49.4413
2021-01,-21.024,52.4925
2021-02,-13.0984,52.5474
2021-03,-21.0878,57.1165
2021-04,-8.2981,62.2404
2021-05,-2.7734,68.0147
2021-06,3.0206,67.9506
2021-07,-4.4932,71.7835
2021-08,-13.4395,73.9065
2021-09,-14.3081,78.108
2021-10,-14.3583,70.559
2021-11,-17.7065,79.7147
2021-12,-19.6508,74.8714
2022-01,-14.4115,83.8439
2022-02,-10.7181,74.2485
2022-03,-6.5705,64.4857
2022-04,-0.6209,72.8765
2022-05,2.6448,56.3809
2022-06,3.7084,54.7432
2022-07,6.0844,43.9638
2022-08,13.7433,54.5402
2022-09,-1.5204,48.4061
2022-10,-7.9844,33.808
2022-11,-6.3143,43.6413
2022-12,6.3234,51.6237
2023-01,-0.422,42.3283
2023-02,3.0417,52.4008
2023-03,2.5028,45.8599
2023-04,0.6185,52.4428
2023-05,17.6828,54.1535
2023-06,21.9336,55.8684
2023-07,28.5406,63.7729
2023-08,29.5502,67.9151
2023-09,23.0113,65.3142
2023-10,24.0889,56.4671
2023-11,13.3354,54.158
2023-12,21.2459,66.8181
2024-01,19.6158,72.7134
2024-02,23.1192,77.0248
2024-03,21.8308,84.7703
2024-04,31.7865,89.0895
2024-05,11.4536,80.3005
2024-06,6.9114,89.1407
2024-07,1.2091,96.817
2024-08,5.5536,94.9948
2024-09,10.5164,101.4737
2024-10,18.2277,104.2286
2024-11,13.2164,104.0979
2024-12,27.6089,114.1559
2025-01,20.3342,108.1307
2025-02,14.7573,112.719
2025-03,29.298,109.0154
2025-04,28.9269,97.097
2025-05,20.2846,95.2965
2025-06,12.4259,105.2137
2025-07,5.798,114.7559
2025-08,3.8905,115.142
2025-09,8.7678,122.2543
2025-10,2.1261,129.8729
2025-11,-3.0198,133.4127
2025-12,4.0826,131.7276
2026-01,6.6651,131.8756
2026-02,11.7995,131.1612
