Date,rate_TSM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,5.6833,-1.8027
2016-03,13.8641,4.5695
2016-04,-0.4879,3.6217
2016-05,4.3557,4.6859
2016-06,13.4387,4.2011
2016-07,17.8728,7.3141
2016-08,19.2431,6.5393
2016-09,24.5425,5.8417
2016-10,24.1182,3.4057
2016-11,16.5178,7.0013
2016-12,11.8235,8.6582
2017-01,19.2382,9.9058
2017-02,19.9572,13.4199
2017-03,23.7553,12.5861
2017-04,23.1257,12.9516
2017-05,30.1262,13.7442
2017-06,31.1224,14.6714
2017-07,33.1803,16.2352
2017-08,35.2296,15.7466
2017-09,35.6119,17.3266
2017-10,51.0273,19.2474
2017-11,39.242,22.0133
2017-12,37.7701,22.6523
2018-01,55.6844,28.4864
2018-02,46.897,22.6807
2018-03,46.585,18.8927
2018-04,27.3603,18.6249
2018-05,27.1944,20.8091
2018-06,23.6572,20.9812
2018-07,38.5048,24.5763
2018-08,45.2182,27.7899
2018-09,45.6942,27.6747
2018-10,24.5338,18.1983
2018-11,22.1069,19.8597
2018-12,19.298,8.8011
2019-01,21.058,17.1215
2019-02,25.0834,20.4441
2019-03,30.4961,22.1999
2019-04,38.7539,26.5012
2019-05,20.6248,17.9266
2019-06,26.6912,25.7011
2019-07,36.8286,26.9004
2019-08,36.0331,24.2426
2019-09,48.453,26.142
2019-10,63.6628,28.3311
2019-11,66.8743,32.3256
2019-12,82.3621,35.5485
2020-01,67.7586,34.7719
2020-02,66.0952,23.2511
2020-03,47.5688,7.5779
2020-04,63.1184,21.2186
2020-05,53.4719,26.5774
2020-06,73.215,28.3766
2020-07,138.8028,35.3325
2020-08,137.4017,44.0777
2020-09,141.5968,37.914
2020-10,147.3513,33.7633
2020-11,183.2116,47.7098
2020-12,216.047,52.3667
2021-01,248.2459,49.9654
2021-02,256.687,53.2453
2021-03,232.3899,60.4049
2021-04,224.3391,67.83
2021-05,222.5912,67.8968
2021-06,228.0415,70.6358
2021-07,215.1717,73.7106
2021-08,218.3436,77.7187
2021-09,197.0004,68.3779
2021-10,199.5843,79.119
2021-11,205.7671,76.6949
2021-12,212.3152,83.6042
2022-01,215.3676,72.9303
2022-02,172.685,66.8181
2022-03,164.6613,72.1992
2022-04,134.0245,56.2223
2022-05,138.2028,55.8933
2022-06,103.9995,42.4002
2022-07,119.5209,54.8512
2022-08,105.4241,47.8158
2022-09,69.0543,33.7039
2022-10,51.028,44.0824
2022-11,102.7225,51.4429
2022-12,81.9998,42.1877
2023-01,125.325,50.5828
2023-02,110.1855,46.2373
2023-03,124.2449,52.2586
2023-04,101.9535,54.0684
2023-05,134.8353,54.1996
2023-06,139.9058,63.548
2023-07,134.1894,68.1942
2023-08,119.6503,64.7317
2023-09,103.9105,56.2636
2023-10,101.4282,52.2886
2023-11,125.8616,65.5989
2023-12,141.0711,72.448
2024-01,160.2423,74.4576
2024-02,194.5438,82.7177
2024-03,210.5682,89.0282
2024-04,211.3016,80.6052
2024-05,240.0602,88.8335
2024-06,289.7976,96.0415
2024-07,269.1773,97.3583
2024-08,279.6826,101.128
2024-09,282.7155,105.7758
2024-10,316.9766,102.865
2024-11,301.2318,113.7798
2024-12,327.4388,107.7813
2025-01,349.8515,112.3595
2025-02,285.27,108.6721
2025-03,253.3613,96.0839
2025-04,252.5207,93.6359
2025-05,306.177,104.9003
2025-06,374.3097,114.5225
2025-07,402.5309,118.4064
2025-08,376.8879,121.8959
2025-09,474.6338,128.6764
2025-10,513.6998,133.0211
2025-11,491.2958,132.409
2025-12,513.8175,131.4906
2026-01,563.0416,133.7386
2026-02,646.0696,130.7823
2026-03,565.939,122.952
