Date,rate_FOXA_5D,rate_VOO_20D
2019-03,0.0,1.8931
2019-04,5.2805,6.1068
2019-05,-6.2811,-2.564
2019-06,-0.3102,5.1498
2019-07,1.904,6.2773
2019-08,-9.577,3.5649
2019-09,-13.3939,6.0034
2019-10,-10.001,8.1125
2019-11,1.6062,12.0179
2019-12,5.1338,15.1665
2020-01,5.1621,15.1166
2020-02,-13.3509,3.3872
2020-03,-32.0827,-12.4478
2020-04,-22.2179,1.2667
2020-05,-10.2865,6.555
2020-06,-16.9457,8.2774
2020-07,-19.1663,15.1541
2020-08,-11.5041,23.7928
2020-09,-10.1702,17.5355
2020-10,-13.9215,13.3054
2020-11,-5.8109,27.136
2020-12,-4.8455,31.6872
2021-01,1.8803,30.1467
2021-02,8.6017,33.3021
2021-03,17.8126,39.2519
2021-04,21.2283,46.5299
2021-05,20.1892,46.4691
2021-06,18.6631,49.0601
2021-07,13.2177,51.9872
2021-08,19.0935,55.8337
2021-09,26.8798,46.4535
2021-10,24.7166,56.997
2021-11,11.2239,54.4936
2021-12,14.6612,61.2387
2022-01,25.5939,50.5539
2022-02,28.5745,44.4418
2022-03,21.1739,49.6949
2022-04,9.5353,33.869
2022-05,8.1973,33.475
2022-06,-2.1727,20.1319
2022-07,0.6871,32.3511
2022-08,4.642,25.3728
2022-09,-6.1782,11.4383
2022-10,-11.6254,21.5862
2022-11,-0.5165,28.8001
2022-12,-6.8663,19.6797
2023-01,4.0762,28.4049
2023-02,8.0195,24.0675
2023-03,4.8597,28.7995
2023-04,2.3067,30.5253
2023-05,-4.0846,30.6158
2023-06,4.5927,39.7257
2023-07,2.7806,44.2215
2023-08,2.3273,40.7947
2023-09,-3.3108,32.4665
2023-10,-5.7461,28.5549
2023-11,-8.2897,41.5393
2023-12,-7.7818,48.1809
2024-01,0.3907,50.8692
2024-02,-7.431,58.8893
2024-03,-1.8725,63.8317
2024-04,-2.6744,55.5761
2024-05,8.0772,63.523
2024-06,7.725,69.1254
2024-07,19.0872,70.3419
2024-08,29.1717,73.9239
2024-09,33.0109,78.1349
2024-10,31.4342,75.2537
2024-11,46.8852,85.6835
2024-12,50.6849,79.8292
2025-01,58.749,85.1927
2025-02,77.6084,81.5504
2025-03,74.2045,69.3136
2025-04,52.2915,66.8869
2025-05,67.2017,77.6993
2025-06,69.5425,86.9102
2025-07,67.7016,90.5821
2025-08,78.5277,93.8755
2025-09,89.4119,101.4499
2025-10,92.9434,105.557
2025-11,94.2055,104.8643
2025-12,115.1983,103.8811
2026-01,114.3444,107.1131
2026-02,67.8196,105.1602
