Date,rate_DIS_5D,rate_VOO_20D
2016-01,-0.8066,1.4254
2016-02,-3.1159,0.6142
2016-03,1.0395,6.1243
2016-04,4.8251,4.6014
2016-05,-0.7071,5.2878
2016-06,-1.8705,4.687
2016-07,-2.8338,7.7174
2016-08,-3.9937,6.8637
2016-09,-4.9734,5.9421
2016-10,-4.6605,3.4868
2016-11,2.386,6.843
2016-12,7.979,8.2789
2017-01,13.7294,9.3935
2017-02,12.1341,12.821
2017-03,14.5845,12.0413
2017-04,15.8822,12.4367
2017-05,7.3995,13.2406
2017-06,5.2995,14.1802
2017-07,9.4698,15.6892
2017-08,0.3907,15.2834
2017-09,-2.2548,16.8657
2017-10,-2.9174,18.7799
2017-11,4.1174,21.509
2017-12,9.0785,22.1709
2018-01,9.7131,27.9258
2018-02,3.5103,22.2578
2018-03,0.5968,18.4465
2018-04,0.4784,18.162
2018-05,-0.4303,20.337
2018-06,4.8189,20.5057
2018-07,15.9556,24.0401
2018-08,13.8241,27.2093
2018-09,18.3977,27.1082
2018-10,11.7837,17.9327
2018-11,9.0182,19.5577
2018-12,5.799,8.5722
2019-01,7.4435,16.8959
2019-02,8.5057,20.2219
2019-03,6.5892,21.9603
2019-04,31.2448,26.2654
2019-05,27.4703,20.4953
2019-06,30.7993,25.3574
2019-07,35.6391,26.514
2019-08,31.0627,24.0717
2019-09,25.5298,25.9454
2019-10,24.6504,27.4086
2019-11,44.7646,31.384
2019-12,39.8016,34.5804
2020-01,32.76,33.8021
2020-02,12.3142,22.3336
2020-03,-5.8854,15.1867
2020-04,1.3174,29.6272
2020-05,3.5795,28.2305
2020-06,-3.7135,28.0341
2020-07,0.034,33.4885
2020-08,8.4347,42.106
2020-09,6.8329,38.2475
2020-10,4.2759,34.0563
2020-11,22.4071,42.9575
2020-12,43.0023,47.5016
2021-01,39.23,45.1166
2021-02,42.6636,43.0879
2021-03,38.1587,49.8512
2021-04,36.3105,56.911
2021-05,30.3722,54.6413
2021-06,27.8311,57.2758
2021-07,27.5831,60.2291
2021-08,30.9819,64.0213
2021-09,26.4423,55.5224
2021-10,22.1788,65.5435
2021-11,4.4358,65.5034
2021-12,11.5476,68.4598
2022-01,7.3763,58.7763
2022-02,11.2994,53.2596
2022-03,2.7637,58.2953
2022-04,-16.3931,52.2757
2022-05,-17.0672,51.0659
2022-06,-28.9158,38.0304
2022-07,-19.7219,50.1558
2022-08,-14.9383,43.3725
2022-09,-28.2836,29.6913
2022-10,-18.7079,39.7003
2022-11,-23.9206,46.8631
2022-12,-32.2186,40.5677
2023-01,-14.9029,48.7988
2023-02,-15.6077,45.5387
2023-03,-11.6599,49.6635
2023-04,-13.1864,48.4614
2023-05,-21.9303,48.1923
2023-06,-21.5142,57.2072
2023-07,-21.6228,61.7125
2023-08,-25.9911,59.5229
2023-09,-28.0238,51.3631
2023-10,-27.2628,47.5518
2023-11,-17.079,60.474
2023-12,-18.229,67.125
2024-01,-12.836,69.1001
2024-02,-1.1583,77.1309
2024-03,5.5078,83.2841
2024-04,-0.6901,75.177
2024-05,-8.6644,83.1784
2024-06,-12.6447,90.182
2024-07,-17.0724,90.9416
2024-08,-22.1622,97.1965
2024-09,-16.9348,98.31
2024-10,-19.8924,95.5089
2024-11,-1.9947,105.9957
2024-12,-6.6216,100.2436
2025-01,-5.0751,104.6582
2025-02,-4.4082,101.1287
2025-03,-13.5137,89.045
2025-04,-20.1551,88.6819
2025-05,-0.6478,99.6712
2025-06,2.6762,109.046
2025-07,-0.5154,112.823
2025-08,0.5755,112.1707
2025-09,-2.7266,118.6779
2025-10,-4.2904,122.8639
2025-11,-11.184,122.3204
2025-12,-2.5412,121.4705
2026-01,-3.3668,123.6468
2026-02,-9.1285,120.852
