Date,rate_JBHT_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,3.8387,-0.6039
2016-03,12.3841,5.2168
2016-04,7.3692,3.9893
2016-05,5.7461,4.6886
2016-06,2.5469,4.1237
2016-07,4.7949,7.1795
2016-08,-0.1733,6.3603
2016-09,1.8046,5.6281
2016-10,2.1224,3.196
2016-11,19.2514,6.7601
2016-12,19.5492,8.3626
2017-01,22.0114,10.2536
2017-02,19.5177,13.6522
2017-03,10.2134,12.7005
2017-04,7.117,12.9818
2017-05,1.9045,13.693
2017-06,8.8464,13.5288
2017-07,7.4211,15.0481
2017-08,16.9891,14.5515
2017-09,30.3541,16.1037
2017-10,23.5479,17.9557
2017-11,28.1899,20.6805
2017-12,31.4006,21.3029
2018-01,38.0645,28.0338
2018-02,34.1764,22.1441
2018-03,31.2066,18.3021
2018-04,30.3585,18.0902
2018-05,41.2661,20.2208
2018-06,32.595,20.3415
2018-07,29.6498,23.8746
2018-08,29.8239,27.0072
2018-09,27.8872,27.7347
2018-10,18.0402,18.1437
2018-11,13.2046,19.7418
2018-12,-1.2953,8.5778
2019-01,13.5531,17.1263
2019-02,14.0591,20.3748
2019-03,6.9286,22.0514
2019-04,-0.5077,26.2651
2019-05,-9.9805,17.5943
2019-06,-3.1045,25.308
2019-07,8.5734,26.4355
2019-08,14.6554,23.7232
2019-09,17.422,26.1617
2019-10,24.332,28.2707
2019-11,21.9326,32.1761
2019-12,22.6562,35.3247
2020-01,13.374,35.2749
2020-02,1.2774,23.5454
2020-03,-3.1829,7.7105
2020-04,6.2513,21.425
2020-05,25.8539,26.7132
2020-06,26.0822,28.4357
2020-07,35.0368,35.3124
2020-08,46.1306,43.9511
2020-09,30.604,37.6938
2020-10,25.2589,33.4637
2020-11,38.909,47.2943
2020-12,39.5707,51.8455
2021-01,37.5401,50.305
2021-02,49.4919,53.4604
2021-03,69.9886,59.4101
2021-04,71.3829,66.6882
2021-05,71.2395,66.6274
2021-06,61.5121,69.2184
2021-07,65.847,72.1455
2021-08,73.8066,75.992
2021-09,62.6856,66.6118
2021-10,90.6575,77.1553
2021-11,83.7472,74.6519
2021-12,95.1268,81.397
2022-01,82.4662,70.7122
2022-02,91.3769,64.6001
2022-03,88.0454,69.8532
2022-04,59.072,54.0273
2022-05,60.1987,53.6333
2022-06,45.3996,40.2902
2022-07,68.4282,52.5094
2022-08,59.4112,45.531
2022-09,42.5722,31.5965
2022-10,55.2359,41.7445
2022-11,66.4228,48.9584
2022-12,56.9847,39.838
2023-01,70.2057,48.5632
2023-02,62.2393,44.2258
2023-03,56.6748,48.9578
2023-04,55.8241,50.6836
2023-05,48.1389,50.7741
2023-06,59.9345,59.884
2023-07,79.3208,64.3798
2023-08,64.7045,60.953
2023-09,64.4616,52.6248
2023-10,49.27,48.7132
2023-11,60.6359,61.6976
2023-12,72.3836,68.3392
2024-01,73.4531,71.0275
2024-02,77.5622,79.0476
2024-03,70.6733,83.99
2024-04,38.668,75.7344
2024-05,37.0528,83.6813
2024-06,36.0111,89.2836
2024-07,46.7669,90.5002
2024-08,46.7021,94.0822
2024-09,45.9676,98.2932
2024-10,52.4991,95.412
2024-11,59.4541,105.8418
2024-12,43.3455,99.9875
2025-01,43.8157,105.351
2025-02,35.3614,101.7087
2025-03,23.9466,89.4719
2025-04,9.1769,87.0451
2025-05,16.3634,97.8575
2025-06,20.1945,107.0685
2025-07,20.3284,110.7404
2025-08,21.31,114.0337
2025-09,12.2934,121.6081
2025-10,41.1816,125.7153
2025-11,45.4054,125.0226
2025-12,61.9062,124.0393
2026-01,68.8817,127.2713
2026-02,97.8841,125.3185
