Date,rate_COO_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,8.2537,-1.8027
2016-03,12.9224,4.5695
2016-04,8.4725,3.6217
2016-05,13.5402,4.6859
2016-06,16.9509,4.2011
2016-07,21.278,7.3141
2016-08,20.8402,6.5393
2016-09,14.3213,5.8417
2016-10,10.8687,3.4057
2016-11,2.8067,7.0013
2016-12,9.3359,8.6582
2017-01,14.6118,9.9058
2017-02,22.4502,13.4199
2017-03,21.3562,12.5861
2017-04,20.2847,12.9516
2017-05,29.9868,13.7442
2017-06,40.381,14.6714
2017-07,40.8202,16.2352
2017-08,42.7006,15.7466
2017-09,33.2707,17.3266
2017-10,33.5051,19.2474
2017-11,32.6695,22.0133
2017-12,18.6934,22.6523
2018-01,32.4123,28.4864
2018-02,23.6044,22.6807
2018-03,21.8789,18.8927
2018-04,21.0445,18.6249
2018-05,19.0386,20.8091
2018-06,23.1525,20.9812
2018-07,35.4155,24.5763
2018-08,31.896,27.7899
2018-09,41.8571,27.6747
2018-10,31.0651,18.1983
2018-11,40.445,19.8597
2018-12,27.1733,8.8011
2019-01,38.4706,17.1215
2019-02,41.031,20.4441
2019-03,44.9126,22.1999
2019-04,40.7615,26.5012
2019-05,43.5798,17.9266
2019-06,61.2311,25.7011
2019-07,60.027,26.9004
2019-08,45.6663,24.2426
2019-09,38.7015,26.142
2019-10,35.1081,28.3311
2019-11,44.5421,32.3256
2019-12,47.3724,35.5485
2020-01,58.0563,34.7719
2020-02,46.8064,23.2511
2020-03,23.9316,7.5779
2020-04,28.4272,21.2186
2020-05,41.4305,26.5774
2020-06,25.9019,28.3766
2020-07,25.0929,35.3325
2020-08,38.4883,44.0777
2020-09,47.7931,37.914
2020-10,39.0939,33.7633
2020-11,45.4405,47.7098
2020-12,56.8071,52.3667
2021-01,56.1845,49.9654
2021-02,64.6885,53.2453
2021-03,62.7792,60.4049
2021-04,73.0677,67.83
2021-05,64.6523,67.8968
2021-06,64.8561,70.6358
2021-07,74.396,73.7106
2021-08,85.1759,77.7187
2021-09,68.696,68.3779
2021-10,69.1652,79.119
2021-11,51.8812,76.6949
2021-12,68.204,83.6042
2022-01,59.0349,72.9303
2022-02,62.498,66.8181
2022-03,65.0402,72.1992
2022-04,41.938,56.2223
2022-05,37.3636,55.8933
2022-06,22.2393,42.4002
2022-07,27.3356,54.8512
2022-08,11.6581,47.8158
2022-09,2.3412,33.7039
2022-10,5.9871,44.0824
2022-11,22.506,51.4429
2022-12,27.7248,42.1877
2023-01,34.4234,50.5828
2023-02,25.5698,46.2373
2023-03,43.0439,52.2586
2023-04,45.6413,54.0684
2023-05,41.3518,54.1996
2023-06,45.393,63.548
2023-07,47.8498,68.1942
2023-08,39.3337,64.7317
2023-09,19.4339,56.2636
2023-10,16.883,52.2886
2023-11,26.0998,65.5989
2023-12,41.2995,72.448
2024-01,38.8617,74.4576
2024-02,38.9513,82.7177
2024-03,50.0864,89.0282
2024-04,31.3426,80.6052
2024-05,38.7396,88.8335
2024-06,28.0853,96.0415
2024-07,36.639,97.3583
2024-08,54.3648,101.128
2024-09,60.5469,105.7758
2024-10,51.7927,102.865
2024-11,50.9811,113.7798
2024-12,32.4682,107.7813
2025-01,38.8037,112.3595
2025-02,29.6109,108.6721
2025-03,20.7229,96.0839
2025-04,16.7447,93.6359
2025-05,-2.4875,104.9003
2025-06,1.6421,114.5225
2025-07,0.9374,118.4064
2025-08,-3.7639,121.8959
2025-09,-2.077,128.6764
2025-10,-0.1266,133.0211
2025-11,11.3181,132.409
2025-12,16.9755,131.4906
2026-01,16.0093,133.7386
2026-02,19.1348,130.7823
2026-03,1.7223,122.952
