Date,rate_ERIE_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.386,-1.8027
2016-03,-2.9317,4.5695
2016-04,-0.2079,3.6217
2016-05,3.4822,4.6859
2016-06,4.2191,4.2011
2016-07,5.0756,7.3141
2016-08,8.9129,6.5393
2016-09,7.9139,5.8417
2016-10,8.2148,3.4057
2016-11,12.4025,7.0013
2016-12,16.7595,8.6582
2017-01,15.923,9.9058
2017-02,21.463,13.4199
2017-03,23.9507,12.5861
2017-04,24.3447,12.9516
2017-05,16.8878,13.7442
2017-06,23.0215,14.6714
2017-07,25.6406,16.2352
2017-08,17.839,15.7466
2017-09,16.8808,17.3266
2017-10,17.085,19.2474
2017-11,19.25,22.0133
2017-12,16.5768,22.6523
2018-01,15.3827,28.4864
2018-02,11.7848,22.6807
2018-03,13.2989,18.8927
2018-04,12.7948,18.6249
2018-05,8.7371,20.8091
2018-06,12.4841,20.9812
2018-07,19.5479,24.5763
2018-08,18.1876,27.7899
2018-09,21.4421,27.6747
2018-10,25.2708,18.1983
2018-11,31.3891,19.8597
2018-12,27.1439,8.8011
2019-01,39.6252,17.1215
2019-02,68.5284,20.4441
2019-03,66.9881,22.1999
2019-04,77.7836,26.5012
2019-05,97.5663,17.9266
2019-06,133.3856,25.7011
2019-07,102.5734,26.9004
2019-08,97.1582,24.2426
2019-09,65.1541,26.142
2019-10,64.9575,28.3311
2019-11,50.3205,32.3256
2019-12,46.3711,35.5485
2020-01,46.7043,34.7719
2020-02,25.1601,23.2511
2020-03,29.2982,7.5779
2020-04,57.0451,21.2186
2020-05,58.0127,26.5774
2020-06,67.1409,28.3766
2020-07,82.5071,35.3325
2020-08,83.8903,44.0777
2020-09,79.7241,37.914
2020-10,99.916,33.7633
2020-11,92.0553,47.7098
2020-12,112.4441,52.3667
2021-01,109.3422,49.9654
2021-02,106.6924,53.2453
2021-03,87.0317,60.4049
2021-04,80.7431,67.83
2021-05,68.7121,67.8968
2021-06,61.2031,70.6358
2021-07,56.7048,73.7106
2021-08,49.3065,77.7187
2021-09,49.697,68.3779
2021-10,72.665,79.119
2021-11,54.9844,76.6949
2021-12,59.9027,83.6042
2022-01,52.9384,72.9303
2022-02,44.7889,66.8181
2022-03,45.0765,72.1992
2022-04,32.3855,56.2223
2022-05,38.1048,55.8933
2022-06,57.6573,42.4002
2022-07,66.9191,54.8512
2022-08,75.5032,47.8158
2022-09,80.539,33.7039
2022-10,108.4233,44.0824
2022-11,127.5592,51.4429
2022-12,99.1094,42.1877
2023-01,95.4143,50.5828
2023-02,87.1918,46.2373
2023-03,83.249,52.2586
2023-04,71.97,54.0684
2023-05,68.5231,54.1996
2023-06,64.5625,63.548
2023-07,74.0906,68.1942
2023-08,117.5417,64.7317
2023-09,127.9378,56.2636
2023-10,113.9377,52.2886
2023-11,127.706,65.5989
2023-12,156.3998,72.448
2024-01,165.9829,74.4576
2024-02,210.8706,82.7177
2024-03,204.7201,89.0282
2024-04,189.3932,80.6052
2024-05,172.3342,88.8335
2024-06,170.6221,96.0415
2024-07,228.3182,97.3583
2024-08,275.6636,101.128
2024-09,296.2042,105.7758
2024-10,228.0784,102.865
2024-11,220.0903,113.7798
2024-12,197.6182,107.7813
2025-01,190.1341,112.3595
2025-02,206.3765,108.6721
2025-03,198.1058,96.0839
2025-04,154.6368,93.6359
2025-05,153.2295,104.9003
2025-06,143.6607,114.5225
2025-07,149.9494,118.4064
2025-08,147.3869,121.8959
2025-09,120.9898,128.6764
2025-10,103.2967,133.0211
2025-11,104.3963,132.409
2025-12,97.4471,131.4906
2026-01,95.1503,133.7386
2026-02,85.0594,130.7823
2026-03,66.0845,126.4154
