Date,rate_VMC_5D,rate_VOO_20D
2016-01,-4.22,-3.28
2016-02,10.145,-1.8027
2016-03,13.2396,4.5695
2016-04,11.6712,3.6217
2016-05,18.656,4.6859
2016-06,19.0539,4.2011
2016-07,19.8511,7.3141
2016-08,8.8166,6.5393
2016-09,7.8528,5.8417
2016-10,6.5683,3.4057
2016-11,17.5266,7.0013
2016-12,15.6171,8.6582
2017-01,17.3016,9.9058
2017-02,9.3426,13.4199
2017-03,8.4021,12.5861
2017-04,8.2335,12.9516
2017-05,11.2033,13.7442
2017-06,12.2766,14.6714
2017-07,8.501,16.2352
2017-08,6.8238,15.7466
2017-09,5.0462,17.3266
2017-10,6.693,19.2474
2017-11,10.0359,22.0133
2017-12,12.1522,22.6523
2018-01,17.7678,28.4864
2018-02,2.1337,22.6807
2018-03,-0.996,18.8927
2018-04,-3.1042,18.6249
2018-05,11.134,20.8091
2018-06,11.8599,20.9812
2018-07,-3.2166,24.5763
2018-08,-3.9498,27.7899
2018-09,-3.484,27.6747
2018-10,-12.1389,18.1983
2018-11,-7.6209,19.8597
2018-12,-13.4561,8.8011
2019-01,-10.5893,17.1215
2019-02,-1.4811,20.4441
2019-03,4.6376,22.1999
2019-04,11.2705,26.5012
2019-05,10.2599,17.9266
2019-06,20.9094,25.7011
2019-07,21.3292,26.9004
2019-08,23.6746,24.2426
2019-09,31.8504,26.142
2019-10,23.9447,28.3311
2019-11,22.8288,32.3256
2019-12,24.1769,35.5485
2020-01,21.6605,34.7719
2020-02,3.2675,23.2511
2020-03,-7.2423,7.5779
2020-04,-2.8839,21.2186
2020-05,-6.4909,26.5774
2020-06,0.1469,28.3766
2020-07,1.4957,35.3325
2020-08,3.9873,44.0777
2020-09,17.2954,37.914
2020-10,25.0302,33.7633
2020-11,20.4381,47.7098
2020-12,27.4809,52.3667
2021-01,27.7405,49.9654
2021-02,43.412,53.2453
2021-03,44.1511,60.4049
2021-04,51.5349,67.83
2021-05,55.345,67.8968
2021-06,46.7251,70.6358
2021-07,50.9865,73.7106
2021-08,55.4979,77.7187
2021-09,40.7676,68.3779
2021-10,57.4896,79.119
2021-11,58.2482,76.6949
2021-12,70.5486,83.6042
2022-01,55.4822,72.9303
2022-02,47.8541,66.8181
2022-03,49.1051,72.1992
2022-04,39.2527,56.2223
2022-05,33.0995,55.8933
2022-06,14.3744,42.4002
2022-07,32.8319,54.8512
2022-08,33.673,47.8158
2022-09,26.2461,33.7039
2022-10,30.7032,44.0824
2022-11,46.2528,51.4429
2022-12,39.1705,42.1877
2023-01,45.2084,50.5828
2023-02,42.7707,46.2373
2023-03,35.957,52.2586
2023-04,38.3548,54.0684
2023-05,54.275,54.1996
2023-06,77.1359,63.548
2023-07,72.4283,68.1942
2023-08,70.2116,64.7317
2023-09,56.8434,56.2636
2023-10,51.9676,52.2886
2023-11,65.5095,65.5989
2023-12,75.1743,72.448
2024-01,73.6324,74.4576
2024-02,103.3077,82.7177
2024-03,108.6892,89.0282
2024-04,96.0006,80.6052
2024-05,93.9826,88.8335
2024-06,87.7156,96.0415
2024-07,106.2682,97.3583
2024-08,83.7124,101.128
2024-09,86.8025,105.7758
2024-10,103.4201,102.865
2024-11,113.2904,113.7798
2024-12,89.4951,107.7813
2025-01,101.0768,112.3595
2025-02,80.5892,108.6721
2025-03,70.0459,96.0839
2025-04,90.4455,93.6359
2025-05,93.0344,104.9003
2025-06,89.1374,114.5225
2025-07,98.3449,118.4064
2025-08,109.6899,121.8959
2025-09,120.5412,128.6764
2025-10,106.6205,133.0211
2025-11,111.5683,132.409
2025-12,102.1465,131.4906
2026-01,112.1023,133.7386
2026-02,117.821,130.7823
2026-03,114.2059,129.7769
