Date,rate_XEL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,6.4561,-1.8027
2016-03,13.0613,4.5695
2016-04,5.0649,3.6217
2016-05,7.5084,4.6859
2016-06,15.7429,4.2011
2016-07,11.4695,7.3141
2016-08,3.4967,6.5393
2016-09,3.4306,5.8417
2016-10,4.1114,3.4057
2016-11,-2.4388,7.0013
2016-12,2.9409,8.6582
2017-01,4.2732,9.9058
2017-02,10.0999,13.4199
2017-03,12.2086,12.5861
2017-04,12.9446,12.9516
2017-05,19.333,13.7442
2017-06,14.1244,14.6714
2017-07,16.9097,16.2352
2017-08,21.4022,15.7466
2017-09,15.9763,17.3266
2017-10,20.5991,19.2474
2017-11,24.7719,22.0133
2017-12,16.2373,22.6523
2018-01,9.6589,28.4864
2018-02,3.7117,22.6807
2018-03,9.7468,18.8927
2018-04,12.6618,18.6249
2018-05,9.0805,20.8091
2018-06,10.1237,20.9812
2018-07,12.6281,24.5763
2018-08,15.1092,27.7899
2018-09,13.5555,27.6747
2018-10,17.4726,18.1983
2018-11,25.2013,19.8597
2018-12,17.8667,8.8011
2019-01,24.732,17.1215
2019-02,30.0066,20.4441
2019-03,33.365,22.1999
2019-04,33.2513,26.5012
2019-05,34.4334,17.9266
2019-06,39.557,25.7011
2019-07,38.9187,26.9004
2019-08,48.6477,24.2426
2019-09,50.0342,26.142
2019-10,45.7776,28.3311
2019-11,40.218,32.3256
2019-12,45.7435,35.5485
2020-01,57.7902,34.7719
2020-02,41.0943,23.2511
2020-03,36.7125,7.5779
2020-04,43.4598,21.2186
2020-05,45.9764,26.5774
2020-06,42.3388,28.3766
2020-07,56.2268,35.3325
2020-08,56.1886,44.0777
2020-09,55.1585,37.914
2020-10,56.4301,33.7633
2020-11,49.5498,47.7098
2020-12,48.1261,52.3667
2021-01,41.4182,49.9654
2021-02,28.8888,53.2453
2021-03,48.7586,60.4049
2021-04,58.6177,67.83
2021-05,56.788,67.8968
2021-06,45.9619,70.6358
2021-07,50.453,73.7106
2021-08,50.8066,77.7187
2021-09,37.4251,68.3779
2021-10,41.4639,79.119
2021-11,39.0079,76.6949
2021-12,48.0679,83.6042
2022-01,51.6721,72.9303
2022-02,45.9501,66.8181
2022-03,56.8481,72.1992
2022-04,58.4357,56.2223
2022-05,62.1501,55.8933
2022-06,52.6011,42.4002
2022-07,57.0642,54.8512
2022-08,58.6351,47.8158
2022-09,37.1512,33.7039
2022-10,39.066,44.0824
2022-11,49.4474,51.4429
2022-12,49.6598,42.1877
2023-01,46.2274,50.5828
2023-02,36.7878,46.2373
2023-03,43.5429,52.2586
2023-04,48.2816,54.0684
2023-05,37.9811,54.1996
2023-06,32.1155,63.548
2023-07,32.9473,68.1942
2023-08,20.7601,64.7317
2023-09,21.8338,56.2636
2023-10,25.9534,52.2886
2023-11,28.9839,65.5989
2023-12,32.031,72.448
2024-01,27.3652,74.4576
2024-02,11.8393,82.7177
2024-03,15.1904,89.0282
2024-04,15.0133,80.6052
2024-05,18.537,88.8335
2024-06,17.5108,96.0415
2024-07,28.1152,97.3583
2024-08,34.2957,101.128
2024-09,46.4583,105.7758
2024-10,49.3883,102.865
2024-11,61.7342,113.7798
2024-12,49.9765,107.7813
2025-01,50.0225,112.3595
2025-02,60.4624,108.6721
2025-03,60.8041,96.0839
2025-04,60.0584,93.6359
2025-05,58.1777,104.9003
2025-06,57.0156,114.5225
2025-07,68.7334,118.4064
2025-08,65.7381,121.8959
2025-09,85.3117,128.6764
2025-10,85.7857,133.0211
2025-11,87.2063,132.409
2025-12,69.0717,131.4906
2026-01,73.5141,133.7386
2026-02,89.4921,130.7823
2026-03,84.1239,121.4547
