Date,rate_DVN_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-24.7391,-0.6039
2016-03,18.2713,5.2168
2016-04,44.4116,3.9893
2016-05,40.9977,4.6886
2016-06,34.6484,4.1237
2016-07,36.3845,7.1795
2016-08,50.0887,6.3603
2016-09,46.9708,5.6281
2016-10,22.1738,3.196
2016-11,53.1891,6.7601
2016-12,40.6193,8.3626
2017-01,40.2195,10.2536
2017-02,30.5304,13.6522
2017-03,23.2771,12.7005
2017-04,15.1453,12.9818
2017-05,-1.714,13.693
2017-06,-7.4972,13.5288
2017-07,-3.3624,15.0481
2017-08,-8.7085,14.5515
2017-09,7.0707,16.1037
2017-10,7.2765,17.9557
2017-11,11.3806,20.6805
2017-12,19.0769,21.3029
2018-01,18.9907,28.0338
2018-02,-12.4463,22.1441
2018-03,-8.7392,18.3021
2018-04,4.8566,18.0902
2018-05,19.7512,20.2208
2018-06,25.8797,20.3415
2018-07,27.9876,23.8746
2018-08,21.2836,27.0072
2018-09,12.8418,27.7347
2018-10,-8.8189,18.1437
2018-11,-23.7385,19.7418
2018-12,-35.9679,8.5778
2019-01,-24.298,17.1263
2019-02,-15.4441,20.3748
2019-03,-9.1793,22.0514
2019-04,-7.2638,26.2651
2019-05,-27.2223,17.5943
2019-06,-16.7503,25.308
2019-07,-20.8213,26.4355
2019-08,-34.9464,23.7232
2019-09,-28.8244,26.1617
2019-10,-39.3401,28.2707
2019-11,-33.635,32.1761
2019-12,-20.3523,35.3247
2020-01,-33.379,35.2749
2020-02,-49.5745,23.5454
2020-03,-78.0802,7.7105
2020-04,-57.3304,21.425
2020-05,-61.7448,26.7132
2020-06,-58.2958,28.4357
2020-07,-60.2836,35.3124
2020-08,-56.6139,43.9511
2020-09,-60.8464,37.6938
2020-10,-61.8584,33.4637
2020-11,-38.5929,47.2943
2020-12,-29.3217,51.8455
2021-01,-26.4364,50.305
2021-02,-3.1758,53.4604
2021-03,-0.4548,59.4101
2021-04,6.2758,66.6882
2021-05,20.5771,66.6274
2021-06,33.4367,69.2184
2021-07,17.5459,72.1455
2021-08,34.1074,75.992
2021-09,62.7835,66.6118
2021-10,82.4333,77.1553
2021-11,90.0098,74.6519
2021-12,101.354,81.397
2022-01,129.1573,70.7122
2022-02,167.4953,64.6001
2022-03,167.6132,69.8532
2022-04,160.7366,54.0273
2022-05,232.734,53.6333
2022-06,147.9843,40.2902
2022-07,180.4235,52.5094
2022-08,212.3316,45.531
2022-09,170.3262,31.5965
2022-10,243.9333,41.7445
2022-11,201.831,48.9584
2022-12,174.495,39.838
2023-01,182.0486,48.5632
2023-02,138.5983,44.2258
2023-03,126.1924,48.9578
2023-04,136.8291,50.6836
2023-05,102.8862,50.7741
2023-06,114.5516,59.884
2023-07,138.0586,64.3798
2023-08,123.6779,60.953
2023-09,109.5662,52.6248
2023-10,103.4849,48.7132
2023-11,95.3488,61.6976
2023-12,99.0059,68.3392
2024-01,84.8385,71.0275
2024-02,92.812,79.0476
2024-03,120.3172,83.99
2024-04,123.298,75.7344
2024-05,112.8617,83.6813
2024-06,105.9518,89.2836
2024-07,103.1959,90.5002
2024-08,92.4798,94.0822
2024-09,70.0448,98.2932
2024-10,67.3505,95.412
2024-11,63.5157,105.8418
2024-12,41.4175,99.9875
2025-01,47.2959,105.351
2025-02,55.9553,101.7087
2025-03,61.5365,89.4719
2025-04,30.8373,87.0451
2025-05,29.8628,97.8575
2025-06,37.203,107.0685
2025-07,42.8475,110.7404
2025-08,54.8176,114.0337
2025-09,51.3868,121.6081
2025-10,39.8198,125.7153
2025-11,59.0421,125.0226
2025-12,57.6583,124.0393
2026-01,72.9661,127.2713
2026-02,151.7903,125.3185
