Date,rate_BG_5D,rate_VOO_20D
2016-01,-0.0874,1.4254
2016-02,-16.5384,0.6142
2016-03,0.8682,6.1243
2016-04,10.8666,4.6014
2016-05,17.5377,5.2878
2016-06,3.0485,4.687
2016-07,14.75,7.7174
2016-08,10.823,6.8637
2016-09,1.6555,5.9421
2016-10,6.2391,3.4868
2016-11,16.1252,6.843
2016-12,21.3121,8.2789
2017-01,14.9404,9.3935
2017-02,35.4716,12.821
2017-03,28.9244,12.0413
2017-04,26.9325,12.4367
2017-05,27.7516,13.2406
2017-06,17.7645,14.1802
2017-07,22.6595,15.6892
2017-08,17.8977,15.2834
2017-09,8.8414,16.8657
2017-10,7.3515,18.7799
2017-11,6.4338,21.509
2017-12,6.417,22.1709
2018-01,25.6272,27.9258
2018-02,25.0402,22.2578
2018-03,19.4115,18.4465
2018-04,15.9758,18.162
2018-05,13.4021,20.337
2018-06,13.1956,20.5057
2018-07,11.8088,24.0401
2018-08,5.8109,27.2093
2018-09,11.6956,27.1082
2018-10,5.5773,17.9327
2018-11,-1.3809,19.5577
2018-12,-7.6239,8.5722
2019-01,-4.5967,16.8959
2019-02,-4.4851,20.2219
2019-03,-4.3868,21.9603
2019-04,-5.4579,26.2654
2019-05,-2.7961,20.4953
2019-06,3.7367,25.3574
2019-07,7.117,26.514
2019-08,-2.0536,24.0717
2019-09,2.1541,25.9454
2019-10,-2.6013,27.4086
2019-11,-1.1617,31.384
2019-12,6.5691,34.5804
2020-01,-2.8525,33.8021
2020-02,-12.3075,22.3336
2020-03,-25.3563,15.1867
2020-04,-30.0599,29.6272
2020-05,-26.457,28.2305
2020-06,-26.2503,28.0341
2020-07,-23.0411,33.4885
2020-08,-16.2641,42.106
2020-09,-18.9311,38.2475
2020-10,-0.6167,34.0563
2020-11,-3.8218,42.9575
2020-12,-0.8537,47.5016
2021-01,-0.9914,45.1166
2021-02,11.3768,43.0879
2021-03,9.5799,49.8512
2021-04,16.4787,56.911
2021-05,20.9419,54.6413
2021-06,6.9326,57.2758
2021-07,6.0921,60.2291
2021-08,4.0857,64.0213
2021-09,11.7262,55.5224
2021-10,27.0583,65.5435
2021-11,19.1013,65.5034
2021-12,28.1264,68.4598
2022-01,31.4814,58.7763
2022-02,33.2727,53.2596
2022-03,32.1563,58.2953
2022-04,33.0314,52.2757
2022-05,38.0774,51.0659
2022-06,21.2722,38.0304
2022-07,23.1192,50.1558
2022-08,32.7258,43.3725
2022-09,10.3792,29.6913
2022-10,31.7199,39.7003
2022-11,33.1961,46.8631
2022-12,35.3092,40.5677
2023-01,26.1045,48.7988
2023-02,21.8791,45.5387
2023-03,17.8303,49.6635
2023-04,11.7689,48.4614
2023-05,13.86,48.1923
2023-06,15.8156,57.2072
2023-07,33.1552,61.7125
2023-08,37.476,59.5229
2023-09,30.8609,51.3631
2023-10,31.448,47.5518
2023-11,36.7778,60.474
2023-12,25.3267,67.125
2024-01,9.1323,69.1001
2024-02,17.6348,77.1309
2024-03,27.6141,83.2841
2024-04,23.6128,75.177
2024-05,29.7265,83.1784
2024-06,28.4475,90.182
2024-07,26.3119,90.9416
2024-08,22.3874,97.1965
2024-09,16.461,98.31
2024-10,1.1104,95.5089
2024-11,8.774,105.9957
2024-12,-5.8159,100.2436
2025-01,-7.7388,104.6582
2025-02,-9.0761,101.1287
2025-03,-6.2534,89.045
2025-04,-6.6969,88.6819
2025-05,-6.5521,99.6712
2025-06,-3.895,109.046
2025-07,-1.3274,112.823
2025-08,0.9963,112.1707
2025-09,-2.5517,118.6779
2025-10,13.4691,122.8639
2025-11,15.9282,122.3204
2025-12,7.3666,121.4705
2026-01,37.1788,123.6468
2026-02,37.7663,120.852
