Date,rate_TEL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-9.9104,-3.7423
2016-03,-1.651,0.3764
2016-04,4.153,5.1946
2016-05,-1.18,3.5695
2016-06,-0.1315,4.8356
2016-07,-4.8012,4.3651
2016-08,1.4384,7.2005
2016-09,7.0225,6.5176
2016-10,8.2482,5.8316
2016-11,5.5948,2.6321
2016-12,11.6019,6.5262
2017-01,14.6474,8.6002
2017-02,22.2624,9.8701
2017-03,23.7052,14.9815
2017-04,19.5832,12.5254
2017-05,21.7663,13.1716
2017-06,26.0092,14.581
2017-07,22.7792,14.626
2017-08,23.3829,16.4591
2017-09,22.6526,15.9061
2017-10,26.6301,17.2911
2017-11,38.7176,19.4181
2017-12,40.9975,21.7575
2018-01,41.2306,22.6249
2018-02,52.4131,28.3844
2018-03,45.6111,21.0506
2018-04,43.6587,18.8566
2018-05,30.5746,18.843
2018-06,34.074,22.0592
2018-07,26.5679,20.962
2018-08,29.3368,24.4135
2018-09,27.6685,27.7869
2018-10,20.1172,28.1445
2018-11,6.3356,19.3954
2018-12,6.9212,19.8359
2019-01,4.9215,8.7501
2019-02,12.7386,17.203
2019-03,15.4812,21.2677
2019-04,15.773,23.6016
2019-05,30.2016,25.5902
2019-06,16.1337,17.8911
2019-07,33.7757,26.7327
2019-08,24.2859,25.8061
2019-09,24.6837,24.2046
2019-10,24.5542,24.595
2019-11,24.0047,29.5299
2019-12,25.7182,32.3145
2020-01,29.406,35.5516
2020-02,23.885,34.7733
2020-03,11.5574,23.2161
2020-04,-20.5777,2.6957
2020-05,-4.7121,17.923
2020-06,14.8742,27.1545
2020-07,8.5363,29.2791
2020-08,20.5764,35.3897
2020-09,33.595,45.4969
2020-10,33.0572,38.8421
2020-11,30.2405,33.8054
2020-12,54.1504,49.4413
2021-01,61.8409,52.4925
2021-02,65.4216,52.5474
2021-03,77.7352,57.1165
2021-04,72.0399,62.2404
2021-05,75.7217,68.0147
2021-06,79.1634,67.9506
2021-07,76.9395,71.7835
2021-08,89.5978,73.9065
2021-09,92.76,78.108
2021-10,80.2834,70.559
2021-11,91.0159,79.7147
2021-12,92.3564,74.8714
2022-01,101.8564,83.8439
2022-02,77.7971,74.2485
2022-03,67.7158,64.4857
2022-04,62.5325,72.8765
2022-05,53.0722,56.3809
2022-06,57.1931,54.7432
2022-07,35.509,43.9638
2022-08,60.7436,54.5402
2022-09,51.7121,48.4061
2022-10,33.6777,33.808
2022-11,49.0606,43.6413
2022-12,53.1831,51.6237
2023-01,38.1114,42.3283
2023-02,56.1286,52.4008
2023-03,53.3135,45.8599
2023-04,56.6647,52.4428
2023-05,46.5622,54.1535
2023-06,45.9667,55.8684
2023-07,66.3555,63.7729
2023-08,69.7138,67.9151
2023-09,57.4733,65.3142
2023-10,45.3899,56.4671
2023-11,44.1201,54.158
2023-12,55.0314,66.8181
2024-01,64.4025,72.7134
2024-02,65.777,77.0248
2024-03,67.519,84.7703
2024-04,67.0906,89.0895
2024-05,61.2051,80.3005
2024-06,73.1512,89.1407
2024-07,71.0155,96.817
2024-08,72.4359,94.9948
2024-09,77.7255,101.4737
2024-10,69.9074,104.2286
2024-11,72.1852,104.0979
2024-12,74.9965,114.1559
2025-01,64.8989,108.1307
2025-02,70.0486,112.719
2025-03,78.5816,109.0154
2025-04,62.4773,97.097
2025-05,68.4322,95.2965
2025-06,84.3606,105.2137
2025-07,95.3195,114.7559
2025-08,130.6532,115.142
2025-09,137.1416,122.2543
2025-10,153.3237,129.8729
2025-11,180.808,133.4127
2025-12,155.2497,131.7276
2026-01,155.935,131.8756
2026-02,88.7953,120.852
