Date,rate_ARE_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-12.387,-3.7423
2016-03,-2.4764,0.3764
2016-04,10.4949,5.1946
2016-05,10.6916,3.5695
2016-06,12.6435,4.8356
2016-07,20.3377,4.3651
2016-08,26.7777,7.2005
2016-09,20.6108,6.5176
2016-10,17.8579,5.8316
2016-11,14.5461,2.6321
2016-12,13.0143,6.5262
2017-01,16.9347,8.6002
2017-02,12.6583,9.8701
2017-03,21.964,14.9815
2017-04,13.5294,12.5254
2017-05,15.0217,13.1716
2017-06,19.3117,14.581
2017-07,21.6317,14.626
2017-08,21.0272,16.4591
2017-09,20.2584,15.9061
2017-10,17.8433,17.2911
2017-11,23.165,19.4181
2017-12,25.5485,21.7575
2018-01,27.1882,22.6249
2018-02,20.9107,28.3844
2018-03,17.5896,21.0506
2018-04,19.9771,18.8566
2018-05,23.5754,18.843
2018-06,19.1259,22.0592
2018-07,19.9191,20.962
2018-08,21.1632,24.4135
2018-09,20.6679,27.7869
2018-10,16.2415,28.1445
2018-11,14.7559,19.3954
2018-12,16.3977,19.8359
2019-01,10.026,8.7501
2019-02,24.416,17.203
2019-03,28.7638,21.2677
2019-04,34.2407,23.6016
2019-05,33.8054,25.5902
2019-06,37.1179,17.8911
2019-07,34.1661,26.7327
2019-08,35.5571,25.8061
2019-09,38.7278,24.2046
2019-10,43.6615,24.595
2019-11,47.6278,29.5299
2019-12,50.4067,32.3145
2020-01,49.4372,35.5516
2020-02,49.9134,34.7733
2020-03,38.5841,23.2161
2020-04,20.0302,2.6957
2020-05,37.6469,17.923
2020-06,39.7552,27.1545
2020-07,50.1764,29.2791
2020-08,60.2161,35.3897
2020-09,49.2707,45.4969
2020-10,46.3639,38.8421
2020-11,35.1525,33.8054
2020-12,49.2875,49.4413
2021-01,58.3556,52.4925
2021-02,49.7482,52.5474
2021-03,40.1776,57.1165
2021-04,49.3579,62.2404
2021-05,58.547,68.0147
2021-06,57.3139,67.9506
2021-07,58.7467,71.7835
2021-08,74.3939,73.9065
2021-09,79.6678,78.108
2021-10,66.8897,70.559
2021-11,75.3132,79.7147
2021-12,68.4625,74.8714
2022-01,89.4178,83.8439
2022-02,64.8271,74.2485
2022-03,57.6782,64.4857
2022-04,73.0406,72.8765
2022-05,52.1852,56.3809
2022-06,36.2441,54.7432
2022-07,23.7595,43.9638
2022-08,36.9498,54.5402
2022-09,26.0458,48.4061
2022-10,17.1234,33.808
2022-11,20.7235,43.6413
2022-12,28.8864,51.6237
2023-01,21.9097,42.3283
2023-02,36.3476,52.4008
2023-03,18.9739,45.8599
2023-04,5.3677,52.4428
2023-05,2.1435,54.1535
2023-06,-5.8034,55.8684
2023-07,-3.7604,63.7729
2023-08,3.5491,67.9151
2023-09,-0.8239,65.3142
2023-10,-14.0548,56.4671
2023-11,-20.0998,54.158
2023-12,1.876,66.8181
2024-01,10.3907,72.7134
2024-02,6.5408,77.0248
2024-03,8.0379,84.7703
2024-04,10.1275,89.0895
2024-05,2.3882,80.3005
2024-06,4.3006,89.1407
2024-07,4.8795,96.817
2024-08,4.1127,94.9948
2024-09,8.1891,101.4737
2024-10,7.0613,104.2286
2024-11,1.2826,104.0979
2024-12,0.6941,114.1559
2025-01,-8.484,108.1307
2025-02,-8.5972,112.719
2025-03,-3.9061,109.0154
2025-04,-13.0747,97.097
2025-05,-29.8906,95.2965
2025-06,-32.723,105.2137
2025-07,-27.0271,114.7559
2025-08,-25.3004,115.142
2025-09,-18.7457,122.2543
2025-10,-16.2754,129.8729
2025-11,-41.5007,133.4127
2025-12,-46.328,131.7276
2026-01,-48.7118,131.8756
2026-02,-42.583,131.1612
