Date,rate_487230.KS_5D,rate_VOO_20D
2024-07,0.0,0.0
2024-08,-3.6876,1.8386
2024-09,9.7019,6.4864
2024-10,19.5199,3.5756
2024-11,27.0964,14.4904
2024-12,20.5634,8.4919
2025-01,33.4147,13.0702
2025-02,3.7974,9.3827
2025-03,-7.8399,-3.2055
2025-04,1.1296,-5.6535
2025-05,23.3468,5.611
2025-06,32.3841,15.2331
2025-07,53.3142,19.117
2025-08,41.4688,22.6065
2025-09,48.9896,29.387
2025-10,62.1785,33.7318
2025-11,43.1214,33.1196
2025-12,29.0895,32.2012
2026-01,39.5041,34.4492
2026-02,54.2745,31.493
2026-03,44.8839,18.3204
2026-04,83.0233,40.0969
2026-05,88.1665,51.548
2026-06,90.2363,47.7001
