Date,rate_OTIS_5D,rate_VOO_20D
2020-03,0.0,0.0
2020-04,3.1013,2.5343
2020-05,8.0428,16.2868
2020-06,15.0118,19.8459
2020-07,14.7302,17.244
2020-08,25.7096,19.6475
2020-09,24.33,25.6306
2020-10,17.6701,17.0201
2020-11,13.4313,11.2507
2020-12,22.4302,23.3723
2021-01,21.4716,24.1822
2021-02,14.2029,22.7125
2021-03,14.0264,25.1265
2021-04,20.4711,27.9429
2021-05,33.7953,31.2101
2021-06,32.8532,29.8835
2021-07,36.915,31.7397
2021-08,47.0,32.2981
2021-09,47.9143,34.4926
2021-10,31.0865,27.8624
2021-11,27.0466,34.0463
2021-12,25.3965,29.6626
2022-01,34.4603,35.7013
2022-02,27.5978,27.9436
2022-03,17.8639,20.3662
2022-04,15.0782,26.3072
2022-05,9.331,13.9694
2022-06,11.1063,12.7893
2022-07,7.6076,4.9812
2022-08,16.8668,12.9432
2022-09,8.4715,8.5223
2022-10,-5.0768,-2.0079
2022-11,6.5687,5.5836
2022-12,17.686,11.679
2023-01,16.3896,4.9334
2023-02,25.17,12.6004
2023-03,25.8812,7.8621
2023-04,23.9595,12.9141
2023-05,25.5913,14.2826
2023-06,18.973,15.6383
2023-07,29.3988,21.5743
2023-08,30.4431,24.6414
2023-09,24.3679,22.6709
2023-10,15.3795,16.0987
2023-11,10.0147,14.4629
2023-12,24.4838,23.9721
2024-01,27.8353,28.3478
2024-02,27.3974,31.5029
2024-03,35.942,37.1792
2024-04,39.2899,40.2581
2024-05,28.4696,33.5994
2024-06,39.3251,40.0751
2024-07,32.6299,45.6298
2024-08,31.1086,44.1156
2024-09,32.69,48.7556
2024-10,44.7588,50.6123
2024-11,37.9509,50.3354
2024-12,43.7858,57.5674
2025-01,28.6248,52.9234
2025-02,32.0259,56.121
2025-03,39.6484,53.2208
2025-04,44.9567,44.3385
2025-05,33.5992,42.9391
2025-06,33.368,50.1287
2025-07,39.9209,56.995
2025-08,17.8053,57.128
2025-09,21.2844,62.1755
2025-10,29.3377,67.5618
2025-11,29.463,69.946
2025-12,24.3745,68.5214
2026-01,22.8976,68.4467
2026-02,17.7568,107.4795
