Date,rate_SOXX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.7407,-1.8027
2016-03,6.2139,4.5695
2016-04,-0.3131,3.6217
2016-05,8.4013,4.6859
2016-06,5.4222,4.2011
2016-07,16.3088,7.3141
2016-08,19.6297,6.5393
2016-09,22.2463,5.8417
2016-10,18.2931,3.4057
2016-11,25.0955,7.0013
2016-12,26.8673,8.6582
2017-01,30.0193,9.9058
2017-02,31.3552,13.4199
2017-03,35.5238,12.5861
2017-04,32.5434,12.9516
2017-05,41.9411,13.7442
2017-06,32.6014,14.6714
2017-07,37.2014,16.2352
2017-08,39.2322,15.7466
2017-09,44.4296,17.3266
2017-10,55.1016,19.2474
2017-11,52.5802,22.0133
2017-12,48.3172,22.6523
2018-01,59.0113,28.4864
2018-02,57.1082,22.6807
2018-03,51.3218,18.8927
2018-04,40.1008,18.6249
2018-05,54.0156,20.8091
2018-06,45.1878,20.9812
2018-07,49.5767,24.5763
2018-08,51.8728,27.7899
2018-09,46.7879,27.6747
2018-10,28.0738,18.1983
2018-11,31.2615,19.8597
2018-12,21.8775,8.8011
2019-01,33.4692,17.1215
2019-02,41.0292,20.4441
2019-03,44.7623,22.1999
2019-04,60.2336,26.5012
2019-05,32.518,17.9266
2019-06,48.6211,25.7011
2019-07,55.7067,26.9004
2019-08,50.9162,24.2426
2019-09,55.3703,26.142
2019-10,63.6155,28.3311
2019-11,68.799,32.3256
2019-12,80.6053,35.5485
2020-01,73.2331,34.7719
2020-02,63.8119,23.2511
2020-03,44.4249,7.5779
2020-04,64.5687,21.2186
2020-05,75.1406,26.5774
2020-06,87.2548,28.3766
2020-07,99.0636,35.3325
2020-08,108.715,44.0777
2020-09,105.7356,37.914
2020-10,104.4447,33.7633
2020-11,140.005,47.7098
2020-12,149.5318,52.3667
2021-01,155.046,49.9654
2021-02,168.91,53.2453
2021-03,171.1798,60.4049
2021-04,167.1912,67.83
2021-05,171.293,67.8968
2021-06,182.3897,70.6358
2021-07,181.3485,73.7106
2021-08,185.5548,77.7187
2021-09,171.4918,68.3779
2021-10,186.3759,79.119
2021-11,216.3413,76.6949
2021-12,221.6037,83.6042
2022-01,181.6609,72.9303
2022-02,176.105,66.8181
2022-03,173.7999,72.1992
2022-04,129.9885,56.2223
2022-05,142.7367,55.8933
2022-06,98.0456,42.4002
2022-07,129.326,54.8512
2022-08,106.6727,47.8158
2022-09,78.0886,33.7039
2022-10,81.4388,44.0824
2022-11,114.4365,51.4429
2022-12,91.686,42.1877
2023-01,121.0997,50.5828
2023-02,122.9788,46.2373
2023-03,140.9657,52.2586
2023-04,121.8661,54.0684
2023-05,154.9915,54.1996
2023-06,169.8162,63.548
2023-07,182.7502,68.1942
2023-08,167.8501,64.7317
2023-09,147.6437,56.2636
2023-10,129.8434,52.2886
2023-11,165.2312,65.5989
2023-12,196.0871,72.448
2024-01,199.1392,74.4576
2024-02,230.549,82.7177
2024-03,241.4257,89.0282
2024-04,221.1018,80.6052
2024-05,248.7534,88.8335
2024-06,265.4432,96.0415
2024-07,246.3184,97.3583
2024-08,237.8224,101.128
2024-09,235.5604,105.7758
2024-10,215.5716,102.865
2024-11,209.4428,113.7798
2024-12,208.1426,107.7813
2025-01,209.9819,112.3595
2025-02,194.5053,108.6721
2025-03,164.5742,96.0839
2025-04,157.0532,93.6359
2025-05,184.9804,104.9003
2025-06,230.6672,114.5225
2025-07,230.4969,118.4064
2025-08,235.759,121.8959
2025-09,269.5632,128.6764
2025-10,315.2023,133.0211
2025-11,299.3551,132.409
2025-12,303.3376,131.4906
2026-01,360.9056,133.7386
2026-02,365.8623,130.7823
2026-03,332.1345,117.6098
2026-04,502.7874,139.3863
2026-05,638.3458,150.8374
2026-06,723.9181,146.9895
