Date,rate_CCL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-9.7397,-3.7423
2016-03,-4.3567,0.3764
2016-04,4.5754,5.1946
2016-05,-3.8466,3.5695
2016-06,-4.3814,4.8356
2016-07,-10.0638,4.3651
2016-08,-4.8727,7.2005
2016-09,0.5193,6.5176
2016-10,0.6974,5.8316
2016-11,-0.2068,2.6321
2016-12,3.5337,6.5262
2017-01,7.7419,8.6002
2017-02,14.1564,9.8701
2017-03,15.9528,14.9815
2017-04,19.7822,12.5254
2017-05,25.8641,13.1716
2017-06,30.7971,14.581
2017-07,29.4154,14.626
2017-08,31.5865,16.4591
2017-09,33.9515,15.9061
2017-10,23.6005,17.2911
2017-11,22.5232,19.4181
2017-12,25.9253,21.7575
2018-01,25.5392,22.6249
2018-02,33.4061,28.3844
2018-03,23.4223,21.0506
2018-04,21.8074,18.8566
2018-05,18.3121,18.843
2018-06,16.8696,22.0592
2018-07,5.5141,20.962
2018-08,7.7408,24.4135
2018-09,13.6756,27.7869
2018-10,17.0515,28.1445
2018-11,5.9102,19.3954
2018-12,12.2201,19.8359
2019-01,-8.5173,8.7501
2019-02,7.3549,17.203
2019-03,8.3285,21.2677
2019-04,-2.4492,23.6016
2019-05,4.3986,25.5902
2019-06,-3.4272,17.8911
2019-07,-12.6005,26.7327
2019-08,-11.6089,25.8061
2019-09,-15.2993,24.2046
2019-10,-18.0298,24.595
2019-11,-16.7484,29.5299
2019-12,-11.2746,32.3145
2020-01,0.3038,35.5516
2020-02,-14.1085,34.7733
2020-03,-32.773,23.2161
2020-04,-82.151,2.6957
2020-05,-69.2481,17.923
2020-06,-61.3388,27.1545
2020-07,-61.247,29.2791
2020-08,-66.1783,35.3897
2020-09,-58.3662,45.4969
2020-10,-61.1678,38.8421
2020-11,-63.6178,33.8054
2020-12,-44.9457,49.4413
2021-01,-40.0166,52.4925
2021-02,-47.3689,52.5474
2021-03,-25.2774,57.1165
2021-04,-23.3074,62.2404
2021-05,-19.7891,68.0147
2021-06,-13.1799,67.9506
2021-07,-23.9203,71.7835
2021-08,-37.2222,73.9065
2021-09,-31.236,78.108
2021-10,-23.1891,70.559
2021-11,-31.7885,79.7147
2021-12,-51.2521,74.8714
2022-01,-39.2489,83.8439
2022-02,-36.2453,74.2485
2022-03,-42.1106,64.4857
2022-04,-37.8625,72.8765
2022-05,-45.9563,56.3809
2022-06,-57.4572,54.7432
2022-07,-71.662,43.9638
2022-08,-70.4246,54.5402
2022-09,-68.0774,48.4061
2022-10,-75.3673,33.808
2022-11,-67.1077,43.6413
2022-12,-62.8746,51.6237
2023-01,-69.3827,42.3283
2023-02,-55.7763,52.4008
2023-03,-58.0966,45.8599
2023-04,-59.1987,52.4428
2023-05,-61.2238,54.1535
2023-06,-50.7233,55.8684
2023-07,-20.8041,63.7729
2023-08,-24.1196,67.9151
2023-09,-33.4238,65.3142
2023-10,-41.6185,56.4671
2023-11,-51.5523,54.158
2023-12,-31.6751,66.8181
2024-01,-19.236,72.7134
2024-02,-26.637,77.0248
2024-03,-29.8726,84.7703
2024-04,-28.4274,89.0895
2024-05,-36.0544,80.3005
2024-06,-32.9878,89.1407
2024-07,-20.9219,96.817
2024-08,-29.4491,94.9948
2024-09,-25.841,101.4737
2024-10,-18.7416,104.2286
2024-11,-1.0317,104.0979
2024-12,14.9309,114.1559
2025-01,12.4896,108.1307
2025-02,24.7749,112.719
2025-03,7.7142,109.0154
2025-04,-12.7784,97.097
2025-05,-16.0883,95.2965
2025-06,4.7619,105.2137
2025-07,29.1628,114.7559
2025-08,30.8438,115.142
2025-09,43.2439,122.2543
2025-10,27.0584,129.8729
2025-11,28.9301,133.4127
2025-12,15.7417,131.7276
2026-01,36.1635,131.8756
2026-02,85.0546,120.852
