Date,rate_WDAY_5D,rate_VOO_20D
2016-01,-8.2795,1.4254
2016-02,-4.9184,0.6142
2016-03,16.2945,6.1243
2016-04,8.9339,4.6014
2016-05,9.0835,5.2878
2016-06,9.6192,4.687
2016-07,19.4849,7.7174
2016-08,19.1983,6.8637
2016-09,26.1421,5.9421
2016-10,16.7696,3.4868
2016-11,12.2198,6.843
2016-12,-12.5077,8.2789
2017-01,11.1974,9.3935
2017-02,9.7476,12.821
2017-03,9.3862,12.0413
2017-04,14.1762,12.4367
2017-05,29.5432,13.2406
2017-06,23.8559,14.1802
2017-07,28.9025,15.6892
2017-08,36.7251,15.2834
2017-09,29.7161,16.8657
2017-10,35.1905,18.7799
2017-11,24.0599,21.509
2017-12,21.4861,22.1709
2018-01,42.1327,27.9258
2018-02,39.234,22.2578
2018-03,38.1248,18.4465
2018-04,32.8464,18.162
2018-05,38.0515,20.337
2018-06,26.5691,20.5057
2018-07,28.6458,24.0401
2018-08,58.9225,27.2093
2018-09,48.598,27.1082
2018-10,26.9169,17.9327
2018-11,43.7669,19.5577
2018-12,38.7958,8.5722
2019-01,56.5939,16.8959
2019-02,69.0445,20.2219
2019-03,63.1287,21.9603
2019-04,72.255,26.2654
2019-05,58.9484,20.4953
2019-06,54.1843,25.3574
2019-07,43.2689,26.514
2019-08,26.2176,24.0717
2019-09,20.4928,25.9454
2019-10,14.5249,27.4086
2019-11,26.1141,31.384
2019-12,15.2839,34.5804
2020-01,29.0782,33.8021
2020-02,20.4776,22.3336
2020-03,-9.3336,15.1867
2020-04,-3.9773,29.6272
2020-05,6.7437,28.2305
2020-06,5.122,28.0341
2020-07,0.143,33.4885
2020-08,31.0385,42.106
2020-09,16.8516,38.2475
2020-10,19.0495,34.0563
2020-11,15.3083,42.9575
2020-12,21.5703,47.5016
2021-01,17.5713,45.1166
2021-02,36.069,43.0879
2021-03,33.2985,49.8512
2021-04,31.9726,56.911
2021-05,21.8367,54.6413
2021-06,26.8434,57.2758
2021-07,24.1447,60.2291
2021-08,44.2481,64.0213
2021-09,37.7453,55.5224
2021-10,55.0328,65.5435
2021-11,45.8845,65.5034
2021-12,40.0347,68.4598
2022-01,23.8506,58.7763
2022-02,12.9729,53.2596
2022-03,12.0126,58.2953
2022-04,4.1266,52.2757
2022-05,-11.943,51.0659
2022-06,-22.7855,38.0304
2022-07,-13.916,50.1558
2022-08,-8.4864,43.3725
2022-09,-15.2751,29.6913
2022-10,-13.0879,39.7003
2022-11,-24.1893,46.8631
2022-12,-23.6097,40.5677
2023-01,-16.86,48.7988
2023-02,-14.7912,45.5387
2023-03,-10.7086,49.6635
2023-04,-16.247,48.4614
2023-05,-3.6097,48.1923
2023-06,-1.9719,57.2072
2023-07,0.0115,61.7125
2023-08,0.042,59.5229
2023-09,-12.1069,51.3631
2023-10,-13.2843,47.5518
2023-11,11.0521,60.474
2023-12,13.13,67.125
2024-01,19.1221,69.1001
2024-02,20.3461,77.1309
2024-03,11.2976,83.2841
2024-04,-0.2366,75.177
2024-05,-13.8386,83.1784
2024-06,-8.7813,90.182
2024-07,-9.1951,90.9416
2024-08,5.234,97.1965
2024-09,0.782,98.31
2024-10,-3.2904,95.5089
2024-11,3.3835,105.9957
2024-12,6.616,100.2436
2025-01,8.2499,104.6582
2025-02,8.7023,101.1287
2025-03,-2.0162,89.045
2025-04,5.2077,88.6819
2025-05,6.3145,99.6712
2025-06,2.9491,109.046
2025-07,-1.6297,112.823
2025-08,-2.2822,112.1707
2025-09,1.9326,118.6779
2025-10,-3.0616,122.8639
2025-11,-12.8278,122.3204
2025-12,-13.0781,121.4705
2026-01,-28.7437,123.6468
2026-02,-45.3822,120.852
