Date,rate_TTD_5D,rate_VOO_20D
2016-09,0.0,0.0
2016-10,-15.034,-2.1645
2016-11,-5.1133,1.4311
2016-12,0.6004,3.088
2017-01,7.696,4.3357
2017-02,51.4445,7.8497
2017-03,26.9316,7.0159
2017-04,23.8965,7.3814
2017-05,78.3759,8.174
2017-06,55.3915,9.1012
2017-07,59.9501,10.6651
2017-08,53.9496,10.1765
2017-09,73.8123,11.7564
2017-10,80.6139,13.6772
2017-11,30.7257,16.4431
2017-12,20.0129,17.0821
2018-01,25.9743,22.9162
2018-02,44.8685,17.1105
2018-03,25.8677,13.3225
2018-04,28.4624,13.0547
2018-05,112.6653,15.2389
2018-06,127.5371,15.411
2018-07,99.5698,19.0061
2018-08,228.5277,22.2197
2018-09,239.7076,22.1046
2018-10,170.7553,12.6282
2018-11,204.7598,14.2895
2018-12,142.3672,3.2309
2019-01,191.8913,11.5514
2019-02,295.1373,14.8739
2019-03,286.4567,16.6297
2019-04,322.2217,20.931
2019-05,270.2535,12.3564
2019-06,315.0814,20.1309
2019-07,369.3199,21.3303
2019-08,328.4791,18.6724
2019-09,220.2338,20.5718
2019-10,236.7067,22.7609
2019-11,333.5428,26.7554
2019-12,319.4575,29.9783
2020-01,326.5568,29.2017
2020-02,346.8849,17.6809
2020-03,194.8782,2.0077
2020-04,340.6579,15.6484
2020-05,361.2917,21.0072
2020-06,491.584,22.8064
2020-07,545.0589,29.7624
2020-08,575.7879,38.5076
2020-09,615.6469,32.3438
2020-10,667.8054,28.1932
2020-11,1100.4775,42.1396
2020-12,948.3806,46.7965
2021-01,885.4559,44.3952
2021-02,918.8267,47.6752
2021-03,710.8218,54.8347
2021-04,793.189,62.2598
2021-05,609.1016,62.3266
2021-06,818.8644,65.0656
2021-07,858.2199,68.1405
2021-08,822.4859,72.1485
2021-09,698.3116,62.8077
2021-10,738.648,73.5488
2021-11,1041.5417,71.1247
2021-12,897.2331,78.034
2022-01,646.3135,67.3601
2022-02,803.5647,61.2479
2022-03,623.7144,66.629
2022-04,507.9324,50.6521
2022-05,430.5668,50.3231
2022-06,322.0896,36.83
2022-07,348.5514,49.281
2022-08,518.1651,42.2456
2022-09,482.3404,28.1337
2022-10,413.0976,38.5122
2022-11,397.1084,45.8727
2022-12,322.9443,36.6175
2023-01,373.5623,45.0126
2023-02,417.3483,40.6671
2023-03,457.3611,46.6884
2023-04,482.7026,48.4982
2023-05,528.2097,48.6294
2023-06,585.0421,57.9779
2023-07,701.2409,62.624
2023-08,595.3547,59.1615
2023-09,572.1862,50.6934
2023-10,504.3175,46.7184
2023-11,494.3079,60.0288
2023-12,501.201,66.8778
2024-01,466.3618,68.8874
2024-02,600.5814,77.1475
2024-03,610.1646,83.458
2024-04,566.7651,75.035
2024-05,639.8002,83.2633
2024-06,671.6196,90.4713
2024-07,603.5797,91.7882
2024-08,710.946,95.5578
2024-09,742.972,100.2056
2024-10,815.8384,97.2948
2024-11,870.5602,108.2096
2024-12,779.414,102.2111
2025-01,780.2252,106.7894
2025-02,417.0825,103.1019
2025-03,299.244,90.5137
2025-04,288.4358,88.0657
2025-05,440.9209,99.3302
2025-06,413.7185,108.9523
2025-07,515.8256,112.8362
2025-08,284.1509,116.3257
2025-09,242.1184,123.1062
2025-10,248.7162,127.451
2025-11,172.6331,126.8388
2025-12,160.1312,125.9204
2026-01,106.7356,128.1684
2026-02,61.6513,125.2121
2026-03,84.5018,120.8452
