Date,rate_PRU_5D,rate_VOO_20D
2016-01,0.8002,1.4254
2016-02,-1.5754,0.6142
2016-03,5.8441,6.1243
2016-04,10.9156,4.6014
2016-05,13.6785,5.2878
2016-06,0.3563,4.687
2016-07,5.9167,7.7174
2016-08,13.5237,6.8637
2016-09,15.2819,5.9421
2016-10,18.118,3.4868
2016-11,40.8537,6.843
2016-12,41.5355,8.2789
2017-01,36.7241,9.3935
2017-02,44.7415,12.821
2017-03,36.6239,12.0413
2017-04,34.7696,12.4367
2017-05,32.7721,13.2406
2017-06,34.9569,14.1802
2017-07,39.3762,15.6892
2017-08,26.5345,15.2834
2017-09,30.4178,16.8657
2017-10,34.0505,18.7799
2017-11,41.5868,21.509
2017-12,38.8273,22.1709
2018-01,41.7599,27.9258
2018-02,26.7436,22.2578
2018-03,22.5304,18.4465
2018-04,24.948,18.162
2018-05,14.1767,20.337
2018-06,9.7171,20.5057
2018-07,18.0254,24.0401
2018-08,15.4095,27.2093
2018-09,18.4809,27.1082
2018-10,12.1714,17.9327
2018-11,13.8562,19.5577
2018-12,-1.307,8.5722
2019-01,11.5422,16.8959
2019-02,16.8862,20.2219
2019-03,9.9024,21.9603
2019-04,22.395,26.2654
2019-05,11.3097,20.4953
2019-06,20.7007,25.3574
2019-07,20.5661,26.514
2019-08,-3.4803,24.0717
2019-09,8.4891,25.9454
2019-10,7.832,27.4086
2019-11,11.7289,31.384
2019-12,11.6049,34.5804
2020-01,8.162,33.8021
2020-02,-6.3633,22.3336
2020-03,-38.8848,15.1867
2020-04,-25.6998,29.6272
2020-05,-25.5663,28.2305
2020-06,-23.0413,28.0341
2020-07,-19.3053,33.4885
2020-08,-12.7818,42.106
2020-09,-14.0059,38.2475
2020-10,-15.0548,34.0563
2020-11,-5.4225,42.9575
2020-12,-5.2934,47.5016
2021-01,-1.9706,45.1166
2021-02,11.4076,43.0879
2021-03,17.5076,49.8512
2021-04,26.4326,56.911
2021-05,34.6023,54.6413
2021-06,30.6477,57.2758
2021-07,27.3951,60.2291
2021-08,35.5207,64.0213
2021-09,34.1708,55.5224
2021-10,39.8291,65.5435
2021-11,30.9502,65.5034
2021-12,35.7292,68.4598
2022-01,40.0505,58.7763
2022-02,39.8497,53.2596
2022-03,47.9835,58.2953
2022-04,37.5566,52.2757
2022-05,40.4407,51.0659
2022-06,26.0154,38.0304
2022-07,31.3244,50.1558
2022-08,26.9573,43.3725
2022-09,13.368,29.6913
2022-10,38.686,39.7003
2022-11,34.4772,46.8631
2022-12,31.718,40.5677
2023-01,38.5774,48.7988
2023-02,39.6386,45.5387
2023-03,37.2319,49.6635
2023-04,43.8477,48.4614
2023-05,31.2782,48.1923
2023-06,46.7418,57.2072
2023-07,59.9343,61.7125
2023-08,58.0694,59.5229
2023-09,57.9706,51.3631
2023-10,50.6088,47.5518
2023-11,62.0766,60.474
2023-12,71.219,67.125
2024-01,72.4818,69.1001
2024-02,87.1216,77.1309
2024-03,100.603,83.2841
2024-04,91.9931,75.177
2024-05,110.4221,83.1784
2024-06,103.8791,90.182
2024-07,116.9388,90.9416
2024-08,111.1115,97.1965
2024-09,104.1149,98.31
2024-10,106.5814,95.5089
2024-11,115.0984,105.9957
2024-12,96.0412,100.2436
2025-01,98.8308,104.6582
2025-02,90.9445,101.1287
2025-03,84.4816,89.045
2025-04,74.4016,88.6819
2025-05,77.9774,99.6712
2025-06,83.3461,109.046
2025-07,76.0493,112.823
2025-08,83.3881,112.1707
2025-09,72.8128,118.6779
2025-10,72.6327,122.8639
2025-11,81.2799,122.3204
2025-12,88.3266,121.4705
2026-01,84.6214,123.6468
2026-02,62.8548,120.852
