Date,rate_CEG_5D,rate_VOO_20D
2022-01,0.0,0.0
2022-02,18.4054,0.1551
2022-03,5.0984,-5.0292
2022-04,25.492,2.0768
2022-05,21.5367,-7.6424
2022-06,26.2777,-6.6792
2022-07,10.2963,-11.7588
2022-08,23.357,-3.1127
2022-09,52.9618,-6.1821
2022-10,48.2594,-14.4561
2022-11,64.681,-6.3391
2022-12,57.2807,-0.1691
2023-01,39.165,-5.9018
2023-02,34.8812,1.5917
2023-03,16.5512,-2.4936
2023-04,21.8835,2.4448
2023-05,18.2835,3.8404
2023-06,35.6259,5.1772
2023-07,37.6554,10.6444
2023-08,42.7073,13.3489
2023-09,57.8437,11.4217
2023-10,57.6707,5.3878
2023-11,63.2461,3.9868
2023-12,67.915,12.7521
2024-01,60.9633,16.6697
2024-02,73.0858,19.4137
2024-03,126.7834,24.4081
2024-04,143.4354,26.9765
2024-05,136.4891,20.722
2024-06,173.2761,26.4461
2024-07,152.4748,31.2643
2024-08,114.377,29.6666
2024-09,133.9285,33.6405
2024-10,210.3959,35.08
2024-11,195.6036,34.6082
2024-12,189.4716,40.8734
2025-01,147.815,36.478
2025-02,226.9425,39.1402
2025-03,168.0741,36.3604
2025-04,119.082,28.3068
2025-05,151.2671,26.9901
2025-06,216.2036,33.3208
2025-07,212.8507,39.3145
2025-08,240.746,39.2945
2025-09,203.393,43.6377
2025-10,240.5211,48.2537
2025-11,260.2291,50.189
2025-12,238.1675,48.7575
2026-01,227.8393,48.5382
2026-02,109.6932,61.4489
