Date,rate_BIIB_5D,rate_VOO_20D
2016-01,0.5334,1.4254
2016-02,-7.9821,0.6142
2016-03,-6.4787,6.1243
2016-04,0.4535,4.6014
2016-05,6.3872,5.2878
2016-06,-11.689,4.687
2016-07,7.6382,7.7174
2016-08,11.4112,6.8637
2016-09,12.8445,5.9421
2016-10,-0.1557,3.4868
2016-11,0.4717,6.843
2016-12,-2.8592,8.2789
2017-01,-4.8343,9.3935
2017-02,-0.6817,12.821
2017-03,-5.9708,12.0413
2017-04,-6.3529,12.4367
2017-05,-13.7304,13.2406
2017-06,-4.8083,14.1802
2017-07,1.662,15.6892
2017-08,11.0018,15.2834
2017-09,9.2732,16.8657
2017-10,8.1483,18.7799
2017-11,11.3755,21.509
2017-12,9.6946,22.1709
2018-01,19.1246,27.9258
2018-02,8.216,22.2578
2018-03,0.7079,18.4465
2018-04,0.648,18.162
2018-05,8.1015,20.337
2018-06,6.3433,20.5057
2018-07,22.1026,24.0401
2018-08,28.2013,27.2093
2018-09,27.2792,27.1082
2018-10,17.1602,17.9327
2018-11,24.7607,19.5577
2018-12,11.8769,8.5722
2019-01,23.7305,16.8959
2019-02,20.9824,20.2219
2019-03,-13.2374,21.9603
2019-04,-15.4875,26.2654
2019-05,-18.7993,20.4953
2019-06,-13.0009,25.3574
2019-07,-11.3234,26.514
2019-08,-14.5853,24.0717
2019-09,-10.9244,25.9454
2019-10,16.9178,27.4086
2019-11,16.9574,31.384
2019-12,15.3957,34.5804
2020-01,4.2683,33.8021
2020-02,26.8049,22.3336
2020-03,31.6867,15.1867
2020-04,23.4278,29.6272
2020-05,21.3058,28.2305
2020-06,6.1197,28.0341
2020-07,8.8739,33.4885
2020-08,11.4278,42.106
2020-09,8.6442,38.2475
2020-10,3.8055,34.0563
2020-11,-20.8986,42.9575
2020-12,-19.1355,47.5016
2021-01,-11.0798,45.1166
2021-02,-16.4691,43.0879
2021-03,-13.1056,49.8512
2021-04,-16.7637,56.911
2021-05,-16.4621,54.6413
2021-06,17.4503,57.2758
2021-07,13.4466,60.2291
2021-08,17.4634,64.0213
2021-09,-1.9298,55.5224
2021-10,-7.5607,65.5435
2021-11,-18.2189,65.5034
2021-12,-16.4931,68.4598
2022-01,-21.2964,58.7763
2022-02,-26.2869,53.2596
2022-03,-26.0729,58.2953
2022-04,-27.0309,52.2757
2022-05,-26.9668,51.0659
2022-06,-27.7468,38.0304
2022-07,-25.4629,50.1558
2022-08,-32.0133,43.3725
2022-09,-23.3579,29.6913
2022-10,-21.603,39.7003
2022-11,-22.218,46.8631
2022-12,-23.8167,40.5677
2023-01,-20.2605,48.7988
2023-02,-23.0944,45.5387
2023-03,-20.3832,49.6635
2023-04,-17.0987,48.4614
2023-05,-16.7797,48.1923
2023-06,-21.628,57.2072
2023-07,-25.4395,61.7125
2023-08,-26.787,59.5229
2023-09,-29.3446,51.3631
2023-10,-30.6237,47.5518
2023-11,-33.7119,60.474
2023-12,-26.3356,67.125
2024-01,-29.5416,69.1001
2024-02,-37.7509,77.1309
2024-03,-37.7811,83.2841
2024-04,-37.5363,75.177
2024-05,-34.2263,83.1784
2024-06,-31.8949,90.182
2024-07,-36.8705,90.9416
2024-08,-36.8199,97.1965
2024-09,-39.8583,98.31
2024-10,-45.6542,95.5089
2024-11,-49.3538,105.9957
2024-12,-51.3537,100.2436
2025-01,-53.771,104.6582
2025-02,-54.3964,101.1287
2025-03,-54.4667,89.045
2025-04,-54.2747,88.6819
2025-05,-50.4803,99.6712
2025-06,-50.1374,109.046
2025-07,-51.6728,112.823
2025-08,-49.6469,112.1707
2025-09,-46.265,118.6779
2025-10,-40.4763,122.8639
2025-11,-29.3417,122.3204
2025-12,-31.4504,121.4705
2026-01,-29.6752,123.6468
2026-02,-24.7464,120.852
