Date,rate_TDY_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.3578,-1.8027
2016-03,3.8841,4.5695
2016-04,8.2215,3.6217
2016-05,12.4812,4.6859
2016-06,11.2779,4.2011
2016-07,16.2328,7.3141
2016-08,16.4662,6.5393
2016-09,15.4191,5.8417
2016-10,13.6146,3.4057
2016-11,30.3754,7.0013
2016-12,25.938,8.6582
2017-01,23.8126,9.9058
2017-02,30.5781,13.4199
2017-03,23.543,12.5861
2017-04,30.1274,12.9516
2017-05,25.2222,13.7442
2017-06,20.1136,14.6714
2017-07,27.1501,16.2352
2017-08,38.3975,15.7466
2017-09,44.8068,17.3266
2017-10,52.4224,19.2474
2017-11,64.5144,22.0133
2017-12,57.4725,22.6523
2018-01,63.5362,28.4864
2018-02,56.8855,22.6807
2018-03,55.845,18.8927
2018-04,53.7843,18.6249
2018-05,63.6855,20.8091
2018-06,59.5735,20.9812
2018-07,73.7426,24.5763
2018-08,85.3269,27.7899
2018-09,89.9911,27.6747
2018-10,68.0822,18.1983
2018-11,68.5404,19.8597
2018-12,53.6988,8.8011
2019-01,64.8085,17.1215
2019-02,71.7019,20.4441
2019-03,70.5623,22.1999
2019-04,76.9312,26.5012
2019-05,66.1575,17.9266
2019-06,91.0501,25.7011
2019-07,100.8995,26.9004
2019-08,110.3874,24.2426
2019-09,116.9564,26.142
2019-10,119.5085,28.3311
2019-11,125.0697,32.3256
2019-12,125.4214,35.5485
2020-01,134.7303,34.7719
2020-02,114.4482,23.2511
2020-03,87.0746,7.5779
2020-04,103.2503,21.2186
2020-05,131.228,26.5774
2020-06,90.2436,28.3766
2020-07,86.0666,35.3325
2020-08,88.6758,44.0777
2020-09,85.0912,37.914
2020-10,83.0138,33.7633
2020-11,121.9481,47.7098
2020-12,128.0468,52.3667
2021-01,105.8252,49.9654
2021-02,112.0264,53.2453
2021-03,134.3196,60.4049
2021-04,151.3307,67.83
2021-05,133.2964,67.8968
2021-06,130.8958,70.6358
2021-07,147.471,73.7106
2021-08,151.0443,77.7187
2021-09,130.7465,68.3779
2021-10,139.2949,79.119
2021-11,119.4555,76.6949
2021-12,129.1162,83.6042
2022-01,119.3211,72.9303
2022-02,121.8086,66.8181
2022-03,142.3384,72.1992
2022-04,119.5968,56.2223
2022-05,104.7409,55.8933
2022-06,88.3636,42.4002
2022-07,95.352,54.8512
2022-08,82.7512,47.8158
2022-09,66.4998,33.7039
2022-10,95.3534,44.0824
2022-11,104.9644,51.4429
2022-12,93.9164,42.1877
2023-01,104.5284,50.5828
2023-02,106.0771,46.2373
2023-03,113.0908,52.2586
2023-04,96.2247,54.0684
2023-05,83.0446,54.1996
2023-06,92.6187,63.548
2023-07,79.2457,68.1942
2023-08,94.0057,64.7317
2023-09,88.517,56.2636
2023-10,71.9902,52.2886
2023-11,84.2111,65.5989
2023-12,103.0004,72.448
2024-01,89.3766,74.4576
2024-02,92.3964,82.7177
2024-03,92.3851,89.0282
2024-04,70.1814,80.6052
2024-05,76.3437,88.8335
2024-06,71.638,96.0415
2024-07,85.8577,97.3583
2024-08,89.8256,101.128
2024-09,91.0897,105.7758
2024-10,97.8908,102.865
2024-11,109.9036,113.7798
2024-12,99.8078,107.7813
2025-01,119.0713,112.3595
2025-02,119.5587,108.6721
2025-03,111.1521,96.0839
2025-04,96.8077,93.6359
2025-05,109.7217,104.9003
2025-06,114.3752,114.5225
2025-07,129.4718,118.4064
2025-08,123.0492,121.8959
2025-09,141.7182,128.6764
2025-10,116.2454,133.0211
2025-11,104.119,132.409
2025-12,107.8217,131.4906
2026-01,151.3019,133.7386
2026-02,174.5315,130.7823
2026-03,162.7993,126.4154
