Date,rate_NVR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.6159,-1.8027
2016-03,2.7694,4.5695
2016-04,-1.9444,3.6217
2016-05,1.3129,4.6859
2016-06,3.5568,4.2011
2016-07,-1.3175,7.3141
2016-08,-2.0628,6.5393
2016-09,-4.4952,5.8417
2016-10,-9.8892,3.4057
2016-11,-4.9391,7.0013
2016-12,-0.1098,8.6582
2017-01,10.0756,9.9058
2017-02,13.7485,13.4199
2017-03,22.0005,12.5861
2017-04,20.8581,12.9516
2017-05,28.6909,13.7442
2017-06,34.0102,14.6714
2017-07,42.7375,16.2352
2017-08,46.1212,15.7466
2017-09,50.9991,17.3266
2017-10,69.9995,19.2474
2017-11,76.2166,22.0133
2017-12,74.5635,22.6523
2018-01,55.7245,28.4864
2018-02,38.1197,22.6807
2018-03,34.7892,18.8927
2018-04,47.4653,18.6249
2018-05,40.9218,20.8091
2018-06,38.6828,20.9812
2018-07,27.9,24.5763
2018-08,23.0477,27.7899
2018-09,13.3571,27.6747
2018-10,2.7391,18.1983
2018-11,11.7024,19.8597
2018-12,10.7923,8.8011
2019-01,20.1443,17.1215
2019-02,17.8816,20.4441
2019-03,23.8308,22.1999
2019-04,39.618,26.5012
2019-05,40.7233,17.9266
2019-06,46.9829,25.7011
2019-07,44.7973,26.9004
2019-08,54.2052,24.2426
2019-09,57.9897,26.142
2019-10,53.3933,28.3311
2019-11,58.5354,32.3256
2019-12,57.9698,35.5485
2020-01,57.1283,34.7719
2020-02,49.9942,23.2511
2020-03,5.9523,7.5779
2020-04,27.579,21.2186
2020-05,31.8772,26.5774
2020-06,32.8264,28.3766
2020-07,59.0855,35.3325
2020-08,67.3879,44.0777
2020-09,62.9165,37.914
2020-10,56.8995,33.7633
2020-11,57.6472,47.7098
2020-12,59.8558,52.3667
2021-01,72.6979,49.9654
2021-02,73.542,53.2453
2021-03,80.2563,60.4049
2021-04,90.5212,67.83
2021-05,84.2964,67.8968
2021-06,86.149,70.6358
2021-07,93.7934,73.7106
2021-08,90.838,77.7187
2021-09,75.5411,68.3779
2021-10,78.059,79.119
2021-11,88.5984,76.6949
2021-12,111.1015,83.6042
2022-01,89.6601,72.9303
2022-02,75.4326,66.8181
2022-03,57.3996,72.1992
2022-04,53.5292,56.2223
2022-05,55.3465,55.8933
2022-06,39.2569,42.4002
2022-07,52.0536,54.8512
2022-08,42.8628,47.8158
2022-09,37.2343,33.7039
2022-10,45.3348,44.0824
2022-11,58.3251,51.4429
2022-12,56.7498,42.1877
2023-01,77.7383,50.5828
2023-02,73.6964,46.2373
2023-03,86.169,52.2586
2023-04,94.0154,54.0684
2023-05,83.6471,54.1996
2023-06,108.3794,63.548
2023-07,105.7805,68.1942
2023-08,106.8653,64.7317
2023-09,92.8056,56.2636
2023-10,74.2371,52.2886
2023-11,96.9115,65.5989
2023-12,122.3102,72.448
2024-01,123.3639,74.4576
2024-02,138.9504,82.7177
2024-03,151.9223,89.0282
2024-04,130.5698,80.6052
2024-05,136.6757,88.8335
2024-06,132.5345,96.0415
2024-07,161.9143,97.3583
2024-08,177.1981,101.128
2024-09,194.3863,105.7758
2024-10,173.2801,102.865
2024-11,174.0587,113.7798
2024-12,142.1164,107.7813
2025-01,136.028,112.3595
2025-02,112.3739,108.6721
2025-03,111.3272,96.0839
2025-04,106.9435,93.6359
2025-05,105.719,104.9003
2025-06,112.363,114.5225
2025-07,115.9447,118.4064
2025-08,130.6185,121.8959
2025-09,127.1545,128.6764
2025-10,103.0373,133.0211
2025-11,110.3929,132.409
2025-12,103.5736,131.4906
2026-01,112.0711,133.7386
2026-02,107.9623,130.7823
2026-03,82.7536,126.4154
