Date,rate_006800.KS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-5.6488,-1.8027
2016-03,-0.3974,4.5695
2016-04,0.3497,3.6217
2016-05,-3.8382,4.6859
2016-06,-4.864,4.2011
2016-07,11.3427,7.3141
2016-08,-3.7507,6.5393
2016-09,-5.0338,5.8417
2016-10,-5.2631,3.4057
2016-11,-14.5685,7.0013
2016-12,-9.1847,8.6582
2017-01,11.3376,9.9058
2017-02,11.999,13.4199
2017-03,12.5672,12.5861
2017-04,10.2995,12.9516
2017-05,16.8184,13.7442
2017-06,34.9323,14.6714
2017-07,30.6873,16.2352
2017-08,20.7237,15.7466
2017-09,16.0351,17.3266
2017-10,19.0564,19.2474
2017-11,19.2662,22.0133
2017-12,8.7467,22.6523
2018-01,32.666,28.4864
2018-02,8.4781,22.6807
2018-03,7.4655,18.8927
2018-04,13.7027,18.6249
2018-05,8.8353,20.8091
2018-06,-1.5708,20.9812
2018-07,-5.9079,24.5763
2018-08,-4.8246,27.7899
2018-09,-1.7824,27.6747
2018-10,-25.3595,18.1983
2018-11,-16.5693,19.8597
2018-12,-20.4629,8.8011
2019-01,-6.9293,17.1215
2019-02,-7.1012,20.4441
2019-03,-9.7478,22.1999
2019-04,-3.7651,26.5012
2019-05,-7.8677,17.9266
2019-06,1.2202,25.7011
2019-07,-6.7173,26.9004
2019-08,-7.7935,24.2426
2019-09,-6.8761,26.142
2019-10,-11.08,28.3311
2019-11,-9.8358,32.3256
2019-12,4.1021,35.5485
2020-01,-5.0743,34.7719
2020-02,-12.5497,23.2511
2020-03,-27.087,7.5779
2020-04,-21.6782,21.2186
2020-05,-13.4202,26.5774
2020-06,-6.191,28.3766
2020-07,11.0626,35.3325
2020-08,30.658,44.0777
2020-09,18.6083,37.914
2020-10,16.7545,33.7633
2020-11,31.9029,47.7098
2020-12,33.4831,52.3667
2021-01,33.7756,49.9654
2021-02,30.9352,53.2453
2021-03,37.7006,60.4049
2021-04,39.0863,67.83
2021-05,37.1012,67.8968
2021-06,30.0473,70.6358
2021-07,22.7417,73.7106
2021-08,20.9007,77.7187
2021-09,18.3898,68.3779
2021-10,18.4266,79.119
2021-11,16.7896,76.6949
2021-12,21.5717,83.6042
2022-01,13.2876,72.9303
2022-02,22.4783,66.8181
2022-03,19.5278,72.1992
2022-04,12.1797,56.2223
2022-05,13.5508,55.8933
2022-06,-8.001,42.4002
2022-07,-8.3242,54.8512
2022-08,-8.628,47.8158
2022-09,-16.5866,33.7039
2022-10,-11.217,44.0824
2022-11,-6.9054,51.4429
2022-12,-12.0233,42.1877
2023-01,-1.3175,50.5828
2023-02,3.5923,46.2373
2023-03,-6.4319,52.2586
2023-04,0.5916,54.0684
2023-05,5.7974,54.1996
2023-06,4.7322,63.548
2023-07,0.3408,68.1942
2023-08,-3.5958,64.7317
2023-09,-6.6133,56.2636
2023-10,-4.3719,52.2886
2023-11,3.8946,65.5989
2023-12,10.5274,72.448
2024-01,13.8888,74.4576
2024-02,30.2942,82.7177
2024-03,18.3245,89.0282
2024-04,11.2894,80.6052
2024-05,5.6164,88.8335
2024-06,7.1703,96.0415
2024-07,13.4016,97.3583
2024-08,22.1899,101.128
2024-09,22.8533,105.7758
2024-10,31.9517,102.865
2024-11,24.4223,113.7798
2024-12,16.5127,107.7813
2025-01,22.1524,112.3595
2025-02,26.4317,108.6721
2025-03,43.2177,96.0839
2025-04,84.243,93.6359
2025-05,140.7604,104.9003
2025-06,230.3662,114.5225
2025-07,192.2402,118.4064
2025-08,191.5526,121.8959
2025-09,223.2256,128.6764
2025-10,295.8288,133.0211
2025-11,226.8075,132.409
2025-12,247.2138,131.4906
2026-01,531.8618,133.7386
2026-02,956.7734,130.7823
2026-03,808.4634,117.6098
2026-04,848.378,139.3863
2026-05,792.1919,150.8374
2026-06,516.85,146.5232
2026-07,395.2477,145.3136
2026-08,436.3089,153.7614
