Date,rate_REG_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,8.3015,-3.7423
2016-03,3.8307,0.3764
2016-04,6.4778,5.1946
2016-05,2.565,3.5695
2016-06,7.2651,4.8356
2016-07,15.3487,4.3651
2016-08,15.2495,7.2005
2016-09,7.1262,6.5176
2016-10,2.8197,5.8316
2016-11,-6.9457,2.6321
2016-12,-12.0774,6.5262
2017-01,-6.4106,8.6002
2017-02,-6.2799,9.8701
2017-03,-5.5369,14.9815
2017-04,-7.9616,12.5254
2017-05,-11.4842,13.1716
2017-06,-13.6793,14.581
2017-07,-10.4965,14.626
2017-08,-3.2501,16.4591
2017-09,-6.1021,15.9061
2017-10,-9.6612,17.2911
2017-11,-9.1095,19.4181
2017-12,0.7895,21.7575
2018-01,2.4097,22.6249
2018-02,-10.2464,28.3844
2018-03,-10.0641,21.0506
2018-04,-8.692,18.8566
2018-05,-7.9502,18.843
2018-06,-9.1517,22.0592
2018-07,-2.0335,20.962
2018-08,0.4764,24.4135
2018-09,5.1237,27.7869
2018-10,2.5165,28.1445
2018-11,1.7565,19.3954
2018-12,1.9496,19.8359
2019-01,-6.079,8.7501
2019-02,3.3337,17.203
2019-03,5.6222,21.2677
2019-04,11.2246,23.6016
2019-05,10.3186,25.5902
2019-06,10.7432,17.8911
2019-07,11.7552,26.7327
2019-08,10.2097,25.8061
2019-09,10.4839,24.2046
2019-10,18.3293,24.595
2019-11,14.2668,29.5299
2019-12,13.46,32.3145
2020-01,9.7814,35.5516
2020-02,7.7561,34.7733
2020-03,2.7167,23.2161
2020-04,-36.4997,2.6957
2020-05,-26.0604,17.923
2020-06,-14.1751,27.1545
2020-07,-12.4577,29.2791
2020-08,-22.0039,35.3897
2020-09,-23.5901,45.4969
2020-10,-23.1791,38.8421
2020-11,-30.2483,33.8054
2020-12,-8.0998,49.4413
2021-01,-8.6881,52.4925
2021-02,-5.8404,52.5474
2021-03,11.0184,57.1165
2021-04,19.0914,62.2404
2021-05,31.2399,68.0147
2021-06,36.2831,67.9506
2021-07,33.8191,71.7835
2021-08,34.5251,73.9065
2021-09,41.3713,78.108
2021-10,42.5554,70.559
2021-11,46.1245,79.7147
2021-12,40.0885,74.8714
2022-01,54.3509,83.8439
2022-02,46.1223,74.2485
2022-03,31.634,64.4857
2022-04,46.6183,72.8765
2022-05,39.885,56.3809
2022-06,36.3691,54.7432
2022-07,23.1387,43.9638
2022-08,29.6973,54.5402
2022-09,23.5045,48.4061
2022-10,10.214,33.808
2022-11,26.5847,43.6413
2022-12,33.9099,51.6237
2023-01,28.382,42.3283
2023-02,37.4697,52.4008
2023-03,28.1697,45.8599
2023-04,25.9503,52.4428
2023-05,24.5439,54.1535
2023-06,15.5781,55.8684
2023-07,27.7219,63.7729
2023-08,35.6039,67.9151
2023-09,28.3254,65.3142
2023-10,23.3003,56.4671
2023-11,25.555,54.158
2023-12,32.1224,66.8181
2024-01,39.431,72.7134
2024-02,32.071,77.0248
2024-03,27.8101,84.7703
2024-04,24.5749,89.0895
2024-05,23.2013,80.3005
2024-06,27.7346,89.1407
2024-07,29.8075,96.817
2024-08,43.5435,94.9948
2024-09,51.7456,101.4737
2024-10,51.5639,104.2286
2024-11,49.5051,104.0979
2024-12,57.7436,114.1559
2025-01,55.2219,108.1307
2025-02,50.3392,112.719
2025-03,60.0201,109.0154
2025-04,54.4363,97.097
2025-05,51.5415,95.2965
2025-06,50.5212,105.2137
2025-07,49.3803,114.7559
2025-08,47.629,115.142
2025-09,51.4369,122.2543
2025-10,51.6108,129.8729
2025-11,44.5866,133.4127
2025-12,48.1641,131.7276
2026-01,45.5613,131.8756
2026-02,55.4501,120.852
