Date,rate_UBER_5D,rate_VOO_20D
2019-05,0.0,0.0
2019-06,12.9374,2.3757
2019-07,0.2072,3.575
2019-08,-22.0752,0.9172
2019-09,-22.9524,2.8166
2019-10,-15.6322,5.0057
2019-11,-18.5511,9.0002
2019-12,-15.8368,12.2231
2020-01,4.7724,11.4464
2020-02,-2.6504,-0.0743
2020-03,-19.502,-15.7475
2020-04,-10.072,-2.1068
2020-05,9.4055,3.252
2020-06,-6.849,5.0512
2020-07,-8.719,12.0071
2020-08,2.0411,20.7523
2020-09,10.4238,14.5886
2020-10,0.5186,10.4379
2020-11,49.2415,24.3844
2020-12,50.7354,29.0413
2021-01,48.116,26.64
2021-02,48.1153,29.9199
2021-03,53.58,37.0795
2021-04,51.848,44.5046
2021-05,39.0099,44.5714
2021-06,35.5816,47.3104
2021-07,16.4196,50.3852
2021-08,4.3389,54.3933
2021-09,19.0899,45.0525
2021-10,15.7122,55.7936
2021-11,-0.117,53.3695
2021-12,10.3823,60.2788
2022-01,-1.8064,49.6049
2022-02,-5.436,43.4927
2022-03,-6.0234,48.8738
2022-04,-16.9394,32.8969
2022-05,-38.4124,32.5679
2022-06,-44.7551,19.0748
2022-07,-35.5026,31.5258
2022-08,-19.9814,24.4904
2022-09,-25.8248,10.3785
2022-10,-25.0127,20.757
2022-11,-17.4088,28.1175
2022-12,-29.4979,18.8623
2023-01,-11.0278,27.2574
2023-02,-4.1194,22.9119
2023-03,-8.5086,28.9332
2023-04,-10.2083,30.743
2023-05,9.789,30.8742
2023-06,24.6779,40.2226
2023-07,42.2746,44.8688
2023-08,35.1982,41.4063
2023-09,31.0135,32.9382
2023-10,22.7608,28.9632
2023-11,59.3136,42.2735
2023-12,72.7756,49.1226
2024-01,81.7939,51.1322
2024-02,119.6256,59.3923
2024-03,110.7049,65.7028
2024-04,79.8044,57.2798
2024-05,73.8611,65.5081
2024-06,94.3711,72.716
2024-07,71.1322,74.0329
2024-08,92.9343,77.8026
2024-09,96.8169,82.4504
2024-10,87.2915,79.5396
2024-11,85.7314,90.4544
2024-12,54.6517,84.4559
2025-01,70.497,89.0341
2025-02,92.6909,85.3466
2025-03,83.4616,72.7585
2025-04,102.6748,70.3104
2025-05,109.0893,81.5749
2025-06,130.1439,91.1971
2025-07,114.8468,95.081
2025-08,127.9216,98.5705
2025-09,136.4375,105.351
2025-10,131.1872,109.6957
2025-11,108.2267,109.0836
2025-12,93.1212,108.1651
2026-01,88.0735,110.4131
2026-02,76.1924,107.4569
2026-03,75.0887,97.5442
