Date,rate_BMY_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-2.6313,-1.8027
2016-03,0.6727,4.5695
2016-04,12.955,3.6217
2016-05,9.6329,4.6859
2016-06,11.3317,4.2011
2016-07,11.5375,7.3141
2016-08,-15.6063,6.5393
2016-09,-18.9522,5.8417
2016-10,-21.0812,3.4057
2016-11,-10.3975,7.0013
2016-12,-6.2356,8.6582
2017-01,-20.0487,9.9058
2017-02,-6.1806,13.4199
2017-03,-9.6743,12.5861
2017-04,-5.6327,12.9516
2017-05,-8.8641,13.7442
2017-06,-5.4342,14.6714
2017-07,-2.4796,16.2352
2017-08,3.8622,15.7466
2017-09,9.2954,17.3266
2017-10,5.9918,19.2474
2017-11,8.3057,22.0133
2017-12,4.701,22.6523
2018-01,7.4368,28.4864
2018-02,13.2829,22.6807
2018-03,7.8041,18.8927
2018-04,-10.6606,18.6249
2018-05,-9.4969,20.8091
2018-06,-4.5254,20.9812
2018-07,2.1957,24.5763
2018-08,5.1938,27.7899
2018-09,7.6837,27.6747
2018-10,-11.8093,18.1983
2018-11,-6.4796,19.8597
2018-12,-8.8899,8.8011
2019-01,-12.5086,17.1215
2019-02,-8.1528,20.4441
2019-03,-15.0387,22.1999
2019-04,-16.1833,26.5012
2019-05,-17.7181,17.9266
2019-06,-17.3327,25.7011
2019-07,-17.1916,26.9004
2019-08,-10.0296,24.2426
2019-09,-4.8613,26.142
2019-10,8.5108,28.3311
2019-11,7.5286,32.3256
2019-12,21.0258,35.5485
2020-01,19.115,34.7719
2020-02,11.4029,23.2511
2020-03,4.9363,7.5779
2020-04,15.2443,21.2186
2020-05,12.922,26.5774
2020-06,10.9331,28.3766
2020-07,13.8355,35.3325
2020-08,20.4311,44.0777
2020-09,16.4245,37.914
2020-10,13.4475,33.7633
2020-11,20.8584,47.7098
2020-12,20.7417,52.3667
2021-01,22.0717,49.9654
2021-02,21.4717,53.2453
2021-03,25.6414,60.4049
2021-04,23.8409,67.83
2021-05,29.9928,67.8968
2021-06,31.7199,70.6358
2021-07,34.2805,73.7106
2021-08,31.7874,77.7187
2021-09,17.2208,68.3779
2021-10,15.4399,79.119
2021-11,5.8168,76.6949
2021-12,22.8644,83.6042
2022-01,28.5971,72.9303
2022-02,35.6565,66.8181
2022-03,44.8184,72.1992
2022-04,48.6207,56.2223
2022-05,48.3427,55.8933
2022-06,51.8205,42.4002
2022-07,44.8545,54.8512
2022-08,31.8511,47.8158
2022-09,38.5958,33.7039
2022-10,51.56,44.0824
2022-11,56.4021,51.4429
2022-12,39.5777,42.1877
2023-01,41.5653,50.5828
2023-02,33.9643,46.2373
2023-03,34.2445,52.2586
2023-04,33.3535,54.0684
2023-05,28.2131,54.1996
2023-06,26.9243,63.548
2023-07,24.2745,68.1942
2023-08,22.9573,64.7317
2023-09,15.5267,56.2636
2023-10,3.5699,52.2886
2023-11,-0.7739,65.5989
2023-12,3.0931,72.448
2024-01,-0.6302,74.4576
2024-02,3.2036,82.7177
2024-03,10.234,89.0282
2024-04,-9.5058,80.6052
2024-05,-15.2928,88.8335
2024-06,-14.2354,96.0415
2024-07,2.0851,97.3583
2024-08,7.1227,101.128
2024-09,10.8872,105.7758
2024-10,23.2321,102.865
2024-11,30.7465,113.7798
2024-12,24.6073,107.7813
2025-01,33.7198,112.3595
2025-02,34.9239,108.6721
2025-03,37.6998,96.0839
2025-04,17.2845,93.6359
2025-05,12.7097,104.9003
2025-06,7.9618,114.5225
2025-07,6.7063,118.4064
2025-08,16.0137,121.8959
2025-09,10.7728,128.6764
2025-10,17.5759,133.0211
2025-11,25.3933,132.409
2025-12,37.2295,131.4906
2026-01,44.5308,133.7386
2026-02,63.313,130.7823
2026-03,56.5648,126.4154
