Date,rate_CINF_5D,rate_VOO_20D
2016-01,4.077,1.4254
2016-02,11.6209,0.6142
2016-03,10.8784,6.1243
2016-04,8.9937,4.6014
2016-05,12.1605,5.2878
2016-06,20.0688,4.687
2016-07,16.936,7.7174
2016-08,18.2982,6.8637
2016-09,14.3962,5.9421
2016-10,5.999,3.4868
2016-11,14.475,6.843
2016-12,12.4935,8.2789
2017-01,4.424,9.3935
2017-02,7.6589,12.821
2017-03,6.6588,12.0413
2017-04,6.1297,12.4367
2017-05,2.8927,13.2406
2017-06,6.8594,14.1802
2017-07,11.9269,15.6892
2017-08,12.056,15.2834
2017-09,11.8358,16.8657
2017-10,1.9862,18.7799
2017-11,9.0481,21.509
2017-12,9.7578,22.1709
2018-01,12.184,27.9258
2018-02,6.1564,22.2578
2018-03,4.9139,18.4465
2018-04,-0.7466,18.162
2018-05,-2.1665,20.337
2018-06,-4.9295,20.5057
2018-07,7.6802,24.0401
2018-08,8.9306,27.2093
2018-09,9.5192,27.1082
2018-10,6.6733,17.9327
2018-11,8.6433,19.5577
2018-12,3.3889,8.5722
2019-01,8.2383,16.8959
2019-02,15.5937,20.2219
2019-03,14.7378,21.9603
2019-04,28.0403,26.2654
2019-05,27.0405,20.4953
2019-06,29.5424,25.3574
2019-07,29.8766,26.514
2019-08,35.3531,24.0717
2019-09,40.2328,25.9454
2019-10,35.2231,27.4086
2019-11,27.2652,31.384
2019-12,25.117,34.5804
2020-01,24.3654,33.8021
2020-02,24.8103,22.3336
2020-03,17.7174,15.1867
2020-04,17.1878,29.6272
2020-05,22.713,28.2305
2020-06,27.9303,28.0341
2020-07,53.9048,33.4885
2020-08,56.7399,42.106
2020-09,52.844,38.2475
2020-10,46.8776,34.0563
2020-11,51.791,42.9575
2020-12,66.7235,47.5016
2021-01,53.6486,45.1166
2021-02,71.7954,43.0879
2021-03,85.4149,49.8512
2021-04,96.53,56.911
2021-05,108.0092,54.6413
2021-06,96.0571,57.2758
2021-07,96.7076,60.2291
2021-08,104.4258,64.0213
2021-09,88.8992,55.5224
2021-10,99.4775,65.5435
2021-11,85.7428,65.5034
2021-12,85.7237,68.4598
2022-01,88.5359,58.7763
2022-02,90.231,53.2596
2022-03,101.7226,58.2953
2022-04,94.8813,52.2757
2022-05,97.6514,51.0659
2022-06,83.8513,38.0304
2022-07,49.5318,50.1558
2022-08,48.3112,43.3725
2022-09,37.3677,29.6913
2022-10,57.831,39.7003
2022-11,59.4597,46.8631
2022-12,49.479,40.5677
2023-01,58.9106,48.7988
2023-02,71.7152,45.5387
2023-03,71.0025,49.6635
2023-04,61.6294,48.4614
2023-05,48.338,48.1923
2023-06,45.7527,57.2072
2023-07,60.5594,61.7125
2023-08,57.2297,59.5229
2023-09,57.0553,51.3631
2023-10,52.6876,47.5518
2023-11,56.8779,60.474
2023-12,58.4443,67.125
2024-01,69.0334,69.1001
2024-02,70.5566,77.1309
2024-03,86.2544,83.2841
2024-04,72.9511,75.177
2024-05,73.6664,83.1784
2024-06,76.15,90.182
2024-07,84.919,90.9416
2024-08,87.8905,97.1965
2024-09,83.9778,98.31
2024-10,87.8978,95.5089
2024-11,112.2578,105.9957
2024-12,90.9898,100.2436
2025-01,81.3532,104.6582
2025-02,94.7929,101.1287
2025-03,88.5358,89.045
2025-04,77.027,88.6819
2025-05,91.0347,99.6712
2025-06,87.427,109.046
2025-07,85.0004,112.823
2025-08,86.1596,112.1707
2025-09,91.8935,118.6779
2025-10,86.8622,122.8639
2025-11,101.7677,122.3204
2025-12,96.8273,121.4705
2026-01,93.111,123.6468
2026-02,96.039,120.852
