Date,rate_PLTR_5D,rate_VOO_20D
2020-09,0.0,0.0
2020-10,6.8252,-4.1507
2020-11,179.444,9.7958
2020-12,105.0149,14.4527
2021-01,174.7261,12.0514
2021-02,67.4229,15.3313
2021-03,53.2492,22.4909
2021-04,45.1395,29.916
2021-05,39.5781,29.9827
2021-06,55.6907,32.7218
2021-07,24.5925,35.7966
2021-08,48.6255,39.8047
2021-09,32.2937,30.4639
2021-10,39.8249,41.2049
2021-11,9.3483,38.7808
2021-12,-3.7095,45.6902
2022-01,-27.3149,35.0163
2022-02,-36.0112,28.9041
2022-03,-23.8491,34.2852
2022-04,-41.4072,18.3083
2022-05,-49.4278,17.9793
2022-06,-44.6885,4.4862
2022-07,-34.7912,16.9372
2022-08,-50.2873,9.9018
2022-09,-45.4065,-4.2101
2022-10,-39.0959,6.1684
2022-11,-46.7325,13.5289
2022-12,-53.0992,4.2737
2023-01,-40.9697,12.6688
2023-02,-39.3112,8.3233
2023-03,-33.1632,14.3446
2023-04,-37.74,16.1544
2023-05,20.2319,16.2856
2023-06,24.7093,25.634
2023-07,60.4441,30.2802
2023-08,19.8913,26.8177
2023-09,27.4339,18.3495
2023-10,17.2161,14.3746
2023-11,58.1217,27.6849
2023-12,34.1555,34.534
2024-01,24.9433,36.5436
2024-02,93.7087,44.8037
2024-03,75.744,51.1142
2024-04,66.1761,42.6911
2024-05,62.5181,50.9195
2024-06,88.2722,58.1274
2024-07,97.8173,59.4443
2024-08,129.2565,63.214
2024-09,167.7677,67.8618
2024-10,195.4359,64.951
2024-11,370.5279,75.8658
2024-12,422.4466,69.8672
2025-01,461.124,74.4455
2025-02,468.8566,70.758
2025-03,456.9019,58.1699
2025-04,669.9969,55.7218
2025-05,743.6501,66.9863
2025-06,759.4461,76.6085
2025-07,883.4139,80.4924
2025-08,858.7065,83.9819
2025-09,999.5637,90.7624
2025-10,1090.5861,95.1071
2025-11,885.9327,94.4949
2025-12,925.7484,93.5765
2026-01,734.2296,95.8245
2026-02,670.3367,92.8683
2026-03,704.5433,91.8629
