Date,rate_MLM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,14.9451,-0.6039
2016-03,21.3746,5.2168
2016-04,22.3324,3.9893
2016-05,31.1563,4.6886
2016-06,27.8348,4.1237
2016-07,30.8697,7.1795
2016-08,15.3459,6.3603
2016-09,11.1665,5.6281
2016-10,13.9541,3.196
2016-11,32.9948,6.7601
2016-12,31.3695,8.3626
2017-01,36.1442,10.2536
2017-02,25.4257,13.6522
2017-03,24.9321,12.7005
2017-04,24.448,12.9818
2017-05,25.21,13.693
2017-06,22.7779,13.5288
2017-07,23.5558,15.0481
2017-08,15.0824,14.5515
2017-09,11.231,16.1037
2017-10,16.3653,17.9557
2017-11,11.3213,20.6805
2017-12,17.6418,21.3029
2018-01,21.4238,28.0338
2018-02,7.8547,22.1441
2018-03,9.5141,18.3021
2018-04,2.6595,18.0902
2018-05,17.5461,20.2208
2018-06,17.1107,20.3415
2018-07,4.0678,23.8746
2018-08,3.7639,27.0072
2018-09,-4.9565,27.7347
2018-10,-10.4371,18.1437
2018-11,0.1929,19.7418
2018-12,-9.7642,8.5778
2019-01,-7.2426,17.1263
2019-02,-1.3263,20.3748
2019-03,5.8934,22.0514
2019-04,16.5544,26.2651
2019-05,10.4286,17.5943
2019-06,20.2821,25.308
2019-07,28.9077,26.4355
2019-08,31.589,23.7232
2019-09,42.0589,26.1617
2019-10,34.8172,28.2707
2019-11,37.5556,32.1761
2019-12,42.3718,35.3247
2020-01,34.3413,35.2749
2020-02,15.4482,23.5454
2020-03,-4.3326,7.7105
2020-04,-3.7104,21.425
2020-05,-2.3765,26.7132
2020-06,4.953,28.4357
2020-07,5.1255,35.3124
2020-08,3.1111,43.9511
2020-09,19.4271,37.6938
2020-10,34.7207,33.4637
2020-11,33.9564,47.2943
2020-12,42.4145,51.8455
2021-01,44.1345,50.305
2021-02,68.1839,53.4604
2021-03,66.3804,59.4101
2021-04,73.7155,66.6882
2021-05,77.8439,66.6274
2021-06,70.7757,69.2184
2021-07,75.1181,72.1455
2021-08,82.7363,75.992
2021-09,62.6291,66.6118
2021-10,85.6861,77.1553
2021-11,89.637,74.6519
2021-12,105.5115,81.397
2022-01,80.1577,70.7122
2022-02,74.7583,64.6001
2022-03,76.225,69.8532
2022-04,61.2016,54.0273
2022-05,53.891,53.6333
2022-06,35.0442,40.2902
2022-07,58.2692,52.5094
2022-08,55.7983,45.531
2022-09,43.6375,31.5965
2022-10,49.1983,41.7445
2022-11,62.3269,48.9584
2022-12,48.9628,39.838
2023-01,58.5033,48.5632
2023-02,57.838,44.2258
2023-03,55.3001,48.9578
2023-04,58.1362,50.6836
2023-05,72.7795,50.7741
2023-06,99.3395,59.884
2023-07,91.6179,64.3798
2023-08,90.7997,60.953
2023-09,74.4249,52.6248
2023-10,72.9159,48.7132
2023-11,95.6611,61.6976
2023-12,108.9087,68.3392
2024-01,112.8856,71.0275
2024-02,140.4015,79.0476
2024-03,154.087,83.99
2024-04,141.3647,75.7344
2024-05,133.7108,83.6813
2024-06,120.2829,89.2836
2024-07,139.7954,90.5002
2024-08,114.5972,94.0822
2024-09,116.5543,98.2932
2024-10,136.9781,95.412
2024-11,138.6158,105.8418
2024-12,104.5455,99.9875
2025-01,115.4526,105.351
2025-02,90.3367,101.7087
2025-03,87.8097,89.4719
2025-04,104.8088,87.0451
2025-05,112.929,97.8575
2025-06,112.692,107.0685
2025-07,121.5665,110.7404
2025-08,136.2938,114.0337
2025-09,141.9257,121.6081
2025-10,134.0523,125.7153
2025-11,136.6296,125.0226
2025-12,135.4665,124.0393
2026-01,146.5316,127.2713
2026-02,168.7847,125.3185
