Date,rate_CI_5D,rate_VOO_20D
2016-01,-7.77,-3.28
2016-02,0.4607,-1.8027
2016-03,-1.1029,4.5695
2016-04,0.0948,3.6217
2016-05,-7.4383,4.6859
2016-06,-6.2394,4.2011
2016-07,-4.6754,7.3141
2016-08,-4.3919,6.5393
2016-09,-2.3168,5.8417
2016-10,-10.7043,3.4057
2016-11,2.4768,7.0013
2016-12,1.261,8.6582
2017-01,10.8355,9.9058
2017-02,11.9994,13.4199
2017-03,9.2838,12.5861
2017-04,15.9892,12.9516
2017-05,18.5526,13.7442
2017-06,21.8795,14.6714
2017-07,25.1437,16.2352
2017-08,29.9388,15.7466
2017-09,31.9196,17.3266
2017-10,37.6177,19.2474
2017-11,45.9359,22.0133
2017-12,38.2224,22.6523
2018-01,40.2277,28.4864
2018-02,30.4535,22.6807
2018-03,10.8128,18.8927
2018-04,13.1074,18.6249
2018-05,11.0652,20.8091
2018-06,11.0493,20.9812
2018-07,16.8326,24.5763
2018-08,22.0102,27.7899
2018-09,34.1337,27.6747
2018-10,36.6385,18.1983
2018-11,41.6062,19.8597
2018-12,19.4444,8.8011
2019-01,25.0933,17.1215
2019-02,8.7522,20.4441
2019-03,0.0173,22.1999
2019-04,-1.2267,26.5012
2019-05,-7.9464,17.9266
2019-06,-1.8353,25.7011
2019-07,5.8713,26.9004
2019-08,-4.1264,24.2426
2019-09,-5.3916,26.142
2019-10,11.3251,28.3311
2019-11,24.4029,32.3256
2019-12,26.7219,35.5485
2020-01,18.7126,34.7719
2020-02,12.542,23.2511
2020-03,8.7722,7.5779
2020-04,20.0253,21.2186
2020-05,20.6678,26.5774
2020-06,14.404,28.3766
2020-07,5.0258,35.3325
2020-08,7.7772,44.0777
2020-09,2.8335,37.914
2020-10,1.3288,33.7633
2020-11,26.8225,47.7098
2020-12,25.8096,52.3667
2021-01,30.7228,49.9654
2021-02,25.9504,53.2453
2021-03,45.0979,60.4049
2021-04,48.7308,67.83
2021-05,53.8243,67.8968
2021-06,40.7667,70.6358
2021-07,35.6776,73.7106
2021-08,24.6584,77.7187
2021-09,18.1626,68.3779
2021-10,25.775,79.119
2021-11,12.6737,76.6949
2021-12,35.1243,83.6042
2022-01,35.1279,72.9303
2022-02,38.9569,66.8181
2022-03,40.156,72.1992
2022-04,43.7443,56.2223
2022-05,55.6351,55.8933
2022-06,52.8349,42.4002
2022-07,58.9562,54.8512
2022-08,62.8704,47.8158
2022-09,59.3052,33.7039
2022-10,84.6007,44.0824
2022-11,86.8822,51.4429
2022-12,87.8817,42.1877
2023-01,78.5799,50.5828
2023-02,63.9073,46.2373
2023-03,43.4833,52.2586
2023-04,41.7357,54.0684
2023-05,37.9825,54.1996
2023-06,56.6246,63.548
2023-07,64.0482,68.1942
2023-08,52.9473,64.7317
2023-09,58.4539,56.2636
2023-10,70.5772,52.2886
2023-11,44.4307,65.5989
2023-12,64.614,72.448
2024-01,64.7668,74.4576
2024-02,83.2546,82.7177
2024-03,97.8551,89.0282
2024-04,93.5453,80.6052
2024-05,85.9289,88.8335
2024-06,78.3024,96.0415
2024-07,87.2625,97.3583
2024-08,93.4819,101.128
2024-09,85.1674,105.7758
2024-10,67.5556,102.865
2024-11,79.1001,113.7798
2024-12,46.6198,107.7813
2025-01,55.7401,112.3595
2025-02,62.9523,108.6721
2025-03,73.7615,96.0839
2025-04,78.8893,93.6359
2025-05,65.9656,104.9003
2025-06,73.4504,114.5225
2025-07,39.8205,118.4064
2025-08,56.9328,121.8959
2025-09,50.6725,128.6764
2025-10,27.4134,133.0211
2025-11,44.2532,132.409
2025-12,43.6167,131.4906
2026-01,42.6732,133.7386
2026-02,50.4744,130.7823
2026-03,50.5966,129.7769
