Date,rate_META_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,12.478,-3.7423
2016-03,1.3266,0.3764
2016-04,6.5815,5.1946
2016-05,6.2851,3.5695
2016-06,6.0798,4.8356
2016-07,0.9904,4.3651
2016-08,9.7711,7.2005
2016-09,10.1612,6.5176
2016-10,10.8357,5.8316
2016-11,10.7944,2.6321
2016-12,-2.4058,6.5262
2017-01,-2.2561,8.6002
2017-02,13.3812,9.8701
2017-03,15.9538,14.9815
2017-04,18.7542,12.5254
2017-05,26.1923,13.1716
2017-06,23.8853,14.581
2017-07,22.108,14.626
2017-08,36.0626,16.4591
2017-09,35.9617,15.9061
2017-10,33.347,17.2911
2017-11,40.9227,19.4181
2017-12,33.3804,21.7575
2018-01,33.0105,22.6249
2018-02,44.0965,28.3844
2018-03,29.7491,21.0506
2018-04,16.8351,18.8566
2018-05,26.4647,18.843
2018-06,40.0851,22.0592
2018-07,38.9816,20.962
2018-08,21.6539,24.4135
2018-09,23.8496,27.7869
2018-10,13.8123,28.1445
2018-11,5.9402,19.3954
2018-12,-1.9968,19.8359
2019-01,-8.583,8.7501
2019-02,15.8495,17.203
2019-03,13.0405,21.2677
2019-04,17.1622,23.6016
2019-05,33.5656,25.5902
2019-06,22.0441,17.8911
2019-07,32.1505,26.7327
2019-08,31.2167,25.8061
2019-09,25.7243,24.2046
2019-10,18.5044,24.595
2019-11,30.0637,29.5299
2019-12,34.7828,32.3145
2020-01,36.4561,35.5516
2020-02,33.5017,34.7733
2020-03,26.6194,23.2161
2020-04,4.5609,2.6957
2020-05,32.4023,17.923
2020-06,51.101,27.1545
2020-07,53.8045,29.2791
2020-08,63.195,35.3897
2020-09,88.7508,45.4969
2020-10,68.9379,38.8421
2020-11,65.533,33.8054
2020-12,79.0685,49.4413
2021-01,69.4431,52.4925
2021-02,61.4332,52.5474
2021-03,62.2165,57.1165
2021-04,81.768,62.2404
2021-05,96.4552,68.0147
2021-06,97.3987,67.9506
2021-07,110.958,71.7835
2021-08,110.4285,73.9065
2021-09,123.8934,78.108
2021-10,99.4013,70.559
2021-11,90.4592,79.7147
2021-12,78.0728,74.8714
2022-01,91.66,83.8439
2022-02,80.5814,74.2485
2022-03,14.4973,64.4857
2022-04,26.3009,72.8765
2022-05,12.2966,56.3809
2022-06,5.5184,54.7432
2022-07,-10.5461,43.9638
2022-08,-10.4699,54.5402
2022-09,-7.2961,48.4061
2022-10,-23.8624,33.808
2022-11,-46.3746,43.6413
2022-12,-31.4518,51.6237
2023-01,-31.1358,42.3283
2023-02,-11.913,52.4008
2023-03,-0.0792,45.8599
2023-04,22.1149,52.4428
2023-05,39.825,54.1535
2023-06,56.244,55.8684
2023-07,63.821,63.7729
2023-08,83.4274,67.9151
2023-09,67.6276,65.3142
2023-10,69.0562,56.4671
2023-11,74.8467,54.158
2023-12,81.297,66.8181
2024-01,96.6374,72.7134
2024-02,118.2021,77.0248
2024-03,176.3692,84.7703
2024-04,168.6005,89.0895
2024-05,138.5789,80.3005
2024-06,152.1342,89.1407
2024-07,171.7687,96.817
2024-08,166.3851,94.9948
2024-09,177.3229,101.4737
2024-10,205.0623,104.2286
2024-11,198.2311,104.0979
2024-12,200.1191,114.1559
2025-01,204.3363,108.1307
2025-02,256.0139,112.719
2025-03,242.9187,109.0154
2025-04,199.6169,97.097
2025-05,190.8242,95.2965
2025-06,227.1732,105.2137
2025-07,261.4672,114.7559
2025-08,274.5695,115.142
2025-09,266.589,122.2543
2025-10,254.0343,129.8729
2025-11,218.0383,133.4127
2025-12,212.5572,131.7276
2026-01,220.3602,131.8756
2026-02,80.21,120.852
