Date,rate_CSX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,5.0708,-0.6039
2016-03,9.3762,5.2168
2016-04,13.342,3.9893
2016-05,7.095,4.6886
2016-06,4.5605,4.1237
2016-07,12.7137,7.1795
2016-08,10.9858,6.3603
2016-09,18.3577,5.6281
2016-10,16.5333,3.196
2016-11,34.994,6.7601
2016-12,32.2961,8.3626
2017-01,70.7947,10.2536
2017-02,72.9208,13.6522
2017-03,60.6476,12.7005
2017-04,70.9881,12.9818
2017-05,77.3368,13.693
2017-06,73.9563,13.5288
2017-07,53.5874,15.0481
2017-08,53.4493,14.5515
2017-09,62.9875,16.1037
2017-10,48.8007,17.9557
2017-11,62.0454,20.6805
2017-12,57.1824,21.3029
2018-01,62.2099,28.0338
2018-02,51.0371,22.1441
2018-03,54.4332,18.3021
2018-04,62.4513,18.0902
2018-05,74.2674,20.2208
2018-06,69.2452,20.3415
2018-07,84.8582,23.8746
2018-08,90.975,27.0072
2018-09,90.6918,27.7347
2018-10,74.5544,18.1437
2018-11,81.6012,19.7418
2018-12,53.2024,8.5778
2019-01,62.0048,17.1263
2019-02,77.1321,20.3748
2019-03,80.0971,22.0514
2019-04,89.2187,26.2651
2019-05,74.7059,17.5943
2019-06,79.4511,25.308
2019-07,61.3828,26.4355
2019-08,52.2536,23.7232
2019-09,57.3649,26.1617
2019-10,58.2862,28.2707
2019-11,59.655,32.1761
2019-12,60.1211,35.3247
2020-01,68.9265,35.2749
2020-02,54.4172,23.5454
2020-03,24.5985,7.7105
2020-04,43.4988,21.425
2020-05,54.118,26.7132
2020-06,49.0695,28.4357
2020-07,51.4998,35.3124
2020-08,61.2878,43.9511
2020-09,62.5695,37.6938
2020-10,64.0154,33.4637
2020-11,85.6322,47.2943
2020-12,85.4558,51.8455
2021-01,75.2602,50.305
2021-02,85.5907,53.4604
2021-03,93.8135,59.4101
2021-04,100.7707,66.6882
2021-05,97.7693,66.6274
2021-06,88.5032,69.2184
2021-07,88.4083,72.1455
2021-08,88.1771,75.992
2021-09,70.7307,66.6118
2021-10,106.2298,77.1553
2021-11,96.0441,74.6519
2021-12,111.0688,81.397
2022-01,90.5792,70.7122
2022-02,88.0372,64.6001
2022-03,106.2629,69.8532
2022-04,87.7885,54.0273
2022-05,73.2224,53.6333
2022-06,57.3843,40.2902
2022-07,74.1843,52.5094
2022-08,70.0445,45.531
2022-09,42.3281,31.5965
2022-10,54.5909,41.7445
2022-11,73.6148,48.9584
2022-12,63.6207,39.838
2023-01,63.3038,48.5632
2023-02,60.7771,44.2258
2023-03,57.0908,48.9578
2023-04,60.0304,50.6836
2023-05,59.9847,50.7741
2023-06,77.0071,59.884
2023-07,72.0381,64.3798
2023-08,55.7128,60.953
2023-09,57.8475,52.6248
2023-10,52.5776,48.7132
2023-11,65.0109,61.6976
2023-12,76.2554,68.3392
2024-01,81.4908,71.0275
2024-02,92.4865,79.0476
2024-03,87.0478,83.99
2024-04,66.7683,75.7344
2024-05,69.2863,83.6813
2024-06,67.0633,89.2836
2024-07,74.5443,90.5002
2024-08,70.2496,94.0822
2024-09,71.5367,98.2932
2024-10,66.3821,95.412
2024-11,80.6222,105.8418
2024-12,58.7502,99.9875
2025-01,61.7012,105.351
2025-02,57.5071,101.7087
2025-03,44.2808,89.4719
2025-04,37.1872,87.0451
2025-05,54.6048,97.8575
2025-06,59.1563,107.0685
2025-07,72.6971,110.7404
2025-08,57.9785,114.0337
2025-09,72.4985,121.6081
2025-10,74.2971,125.7153
2025-11,71.0487,125.0226
2025-12,74.6939,124.0393
2026-01,81.9699,127.2713
2026-02,119.2722,125.3185
