Date,rate_XLE_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-3.6468,-1.8027
2016-03,8.0626,4.5695
2016-04,16.0153,3.6217
2016-05,11.7668,4.6859
2016-06,14.1746,4.2011
2016-07,10.6561,7.3141
2016-08,11.5903,6.5393
2016-09,15.6861,5.8417
2016-10,10.9119,3.4057
2016-11,19.2142,7.0013
2016-12,20.8949,8.6582
2017-01,15.4603,9.9058
2017-02,12.0267,13.4199
2017-03,10.7499,12.595
2017-04,6.8381,12.9613
2017-05,2.6901,13.7534
2017-06,3.7999,14.6827
2017-07,6.3046,16.2471
2017-08,0.1957,15.758
2017-09,13.0113,17.3373
2017-10,11.482,19.2576
2017-11,12.8744,22.0231
2017-12,19.6612,22.6617
2018-01,23.1254,28.4954
2018-02,8.9704,22.6894
2018-03,12.05,18.8948
2018-04,22.2003,18.6278
2018-05,25.0869,20.8119
2018-06,26.6108,20.9852
2018-07,27.7008,24.5809
2018-08,22.4749,27.7944
2018-09,26.431,27.6804
2018-10,11.3695,18.2076
2018-11,9.2862,19.8686
2018-12,-2.7823,8.7997
2019-01,8.1865,17.1208
2019-02,10.4109,20.4433
2019-03,14.1611,22.1936
2019-04,13.7221,26.5033
2019-05,0.8608,17.8993
2019-06,12.2632,25.6364
2019-07,10.1968,26.8373
2019-08,0.8698,24.1809
2019-09,6.808,26.0695
2019-10,4.5429,28.2602
2019-11,6.0715,32.2561
2019-12,14.4263,35.4812
2020-01,1.5923,34.7065
2020-02,-13.9462,23.1871
2020-03,-43.4577,7.4617
2020-04,-24.8015,21.0845
2020-05,-22.7065,26.4459
2020-06,-23.1358,28.2537
2020-07,-26.3604,35.2158
2020-08,-26.67,43.9263
2020-09,-36.8504,37.7747
2020-10,-38.7456,33.6303
2020-11,-20.7892,47.579
2020-12,-16.8634,52.2478
2021-01,-13.4676,49.849
2021-02,6.1926,53.1308
2021-03,9.2006,60.2979
2021-04,9.7215,67.7445
2021-05,15.8215,67.8125
2021-06,20.3667,70.5397
2021-07,10.047,73.616
2021-08,7.6986,77.6086
2021-09,17.119,68.2602
2021-10,28.8356,79.0102
2021-11,21.9765,76.5877
2021-12,25.2606,83.513
2022-01,48.3438,72.841
2022-02,58.0728,66.7299
2022-03,71.8922,72.1132
2022-04,68.0397,56.1395
2022-05,93.9399,55.8116
2022-06,59.8666,42.3155
2022-07,74.421,54.7726
2022-08,78.1165,47.7381
2022-09,60.3926,33.6164
2022-10,99.4843,43.9964
2022-11,100.8063,51.358
2022-12,93.438,42.133
2023-01,97.7431,50.5292
2023-02,82.9955,46.1843
2023-03,81.8775,52.2846
2023-04,85.9661,54.0962
2023-05,66.465,54.2271
2023-06,77.1423,63.5849
2023-07,89.9879,68.2316
2023-08,92.1242,64.7687
2023-09,95.7171,56.2987
2023-10,83.5035,52.3238
2023-11,81.3203,65.666
2023-12,80.5999,72.5238
2024-01,78.8459,74.5331
2024-02,83.865,82.7924
2024-03,102.1238,89.1127
2024-04,99.1881,80.6882
2024-05,97.5444,88.9157
2024-06,93.7741,96.1279
2024-07,97.2168,97.4503
2024-08,92.2459,101.2191
2024-09,85.5992,105.879
2024-10,86.3966,102.9506
2024-11,100.1236,113.8646
2024-12,80.0881,107.8446
2025-01,83.4944,112.4232
2025-02,89.7364,108.7283
2025-03,95.4967,96.126
2025-04,67.6767,93.6819
2025-05,69.2105,104.946
2025-06,76.8659,114.5673
2025-07,81.1609,118.451
2025-08,87.0538,121.9401
2025-09,85.6898,128.7217
2025-10,82.4585,133.0684
2025-11,86.5469,132.4565
2025-12,85.2347,131.5331
2026-01,110.6799,133.7812
2026-02,129.7716,130.82
2026-03,152.1193,117.6477
2026-04,144.3901,139.4238
2026-05,142.5937,147.2963
