Date,rate_SWK_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-4.4626,-1.8027
2016-03,7.3008,4.5695
2016-04,11.6957,3.6217
2016-05,12.6769,4.6859
2016-06,8.6062,4.2011
2016-07,17.2652,7.3141
2016-08,17.5343,6.5393
2016-09,14.8835,5.8417
2016-10,4.9859,3.4057
2016-11,9.4323,7.0013
2016-12,5.0521,8.6582
2017-01,13.1134,9.9058
2017-02,15.6101,13.4199
2017-03,19.564,12.5861
2017-04,21.2515,12.9516
2017-05,21.3089,13.7442
2017-06,23.2597,14.6714
2017-07,22.0001,16.2352
2017-08,24.3113,15.7466
2017-09,29.1456,17.3266
2017-10,36.7652,19.2474
2017-11,42.4508,22.0133
2017-12,40.7538,22.6523
2018-01,36.3,28.4864
2018-02,29.205,22.6807
2018-03,23.9768,18.8927
2018-04,13.832,18.6249
2018-05,11.5006,20.8091
2018-06,6.4418,20.9812
2018-07,19.5079,24.5763
2018-08,11.9061,27.7899
2018-09,16.7414,27.6747
2018-10,-7.4432,18.1983
2018-11,4.4738,19.8597
2018-12,-4.4774,8.8011
2019-01,0.9851,17.1215
2019-02,5.7068,20.4441
2019-03,9.0544,22.1999
2019-04,17.07,26.5012
2019-05,1.2656,17.9266
2019-06,15.5463,25.7011
2019-07,17.499,26.9004
2019-08,6.5976,24.2426
2019-09,16.8308,26.142
2019-10,22.119,28.3311
2019-11,27.8287,32.3256
2019-12,33.6813,35.5485
2020-01,27.8658,34.7719
2020-02,14.8354,23.2511
2020-03,-19.6949,7.5779
2020-04,-10.8665,21.2186
2020-05,1.7452,26.5774
2020-06,13.5917,28.3766
2020-07,24.7286,35.3325
2020-08,31.3085,44.0777
2020-09,31.4298,37.914
2020-10,34.1041,33.7633
2020-11,48.6058,47.7098
2020-12,43.2231,52.3667
2021-01,38.4749,49.9654
2021-02,38.9178,53.2453
2021-03,58.3937,60.4049
2021-04,63.061,67.83
2021-05,69.945,67.8968
2021-06,60.2554,70.6358
2021-07,53.1777,73.7106
2021-08,49.4773,77.7187
2021-09,37.3976,68.3779
2021-10,40.3184,79.119
2021-11,36.5189,76.6949
2021-12,46.837,83.6042
2022-01,35.383,72.9303
2022-02,25.6718,66.8181
2022-03,8.3491,72.1992
2022-04,-6.9453,56.2223
2022-05,-7.9853,55.8933
2022-06,-17.9514,42.4002
2022-07,-23.6553,54.8512
2022-08,-30.6139,47.8158
2022-09,-37.8866,33.7039
2022-10,-34.7032,44.0824
2022-11,-30.8857,51.4429
2022-12,-36.1345,42.1877
2023-01,-23.5895,50.5828
2023-02,-26.5097,46.2373
2023-03,-29.8208,52.2586
2023-04,-24.4493,54.0684
2023-05,-34.1447,54.1996
2023-06,-15.1556,63.548
2023-07,-9.9567,68.1942
2023-08,-14.3326,64.7317
2023-09,-21.1131,56.2636
2023-10,-19.5021,52.2886
2023-11,-12.9866,65.5989
2023-12,-6.0211,72.448
2024-01,-10.5512,74.4576
2024-02,-14.2697,82.7177
2024-03,-5.0513,89.0282
2024-04,-11.2847,80.6052
2024-05,-15.2828,88.8335
2024-06,-21.4191,96.0415
2024-07,4.1931,97.3583
2024-08,0.9794,101.128
2024-09,9.4292,105.7758
2024-10,-7.6923,102.865
2024-11,-9.4612,113.7798
2024-12,-17.9163,107.7813
2025-01,-9.7936,112.3595
2025-02,-11.281,108.6721
2025-03,-20.2322,96.0839
2025-04,-37.5432,93.6359
2025-05,-31.5453,104.9003
2025-06,-27.9772,114.5225
2025-07,-27.9059,118.4064
2025-08,-20.5702,121.8959
2025-09,-19.4635,128.6764
2025-10,-26.4478,133.0211
2025-11,-22.0935,132.409
2025-12,-17.9462,131.4906
2026-01,-12.9581,133.7386
2026-02,-4.1876,130.7823
2026-03,-18.2615,126.4154
