Date,rate_AON_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,7.9993,-0.6039
2016-03,14.991,5.2168
2016-04,12.0807,3.9893
2016-05,13.5316,4.6886
2016-06,11.1329,4.1237
2016-07,7.5725,7.1795
2016-08,10.6509,6.3603
2016-09,10.5264,5.6281
2016-10,8.1765,3.196
2016-11,10.705,6.7601
2016-12,7.4618,8.3626
2017-01,8.8993,10.2536
2017-02,11.096,13.6522
2017-03,13.0341,12.7005
2017-04,13.5722,12.9818
2017-05,23.0429,13.693
2017-06,23.5143,13.5288
2017-07,27.284,15.0481
2017-08,26.6662,14.5515
2017-09,31.5631,16.1037
2017-10,27.959,17.9557
2017-11,23.853,20.6805
2017-12,17.2971,21.3029
2018-01,24.7516,28.0338
2018-02,22.0285,22.1441
2018-03,21.217,18.3021
2018-04,22.6241,18.0902
2018-05,19.5428,20.2208
2018-06,16.5367,20.3415
2018-07,21.6732,23.8746
2018-08,22.9873,27.0072
2018-09,29.8921,27.7347
2018-10,31.2255,18.1437
2018-11,37.6663,19.7418
2018-12,20.2336,8.5778
2019-01,29.5229,17.1263
2019-02,40.9611,20.3748
2019-03,39.0981,22.0514
2019-04,45.9209,26.2651
2019-05,44.6906,17.5943
2019-06,53.7359,25.308
2019-07,49.728,26.4355
2019-08,52.8418,23.7232
2019-09,51.8402,26.1617
2019-10,50.6416,28.2707
2019-11,57.4536,32.1761
2019-12,59.7098,35.3247
2020-01,69.1973,35.2749
2020-02,58.2586,23.5454
2020-03,24.4434,7.7105
2020-04,30.1027,21.425
2020-05,47.5506,26.7132
2020-06,43.3229,28.4357
2020-07,52.0923,35.3124
2020-08,47.249,43.9511
2020-09,50.9015,37.6938
2020-10,34.0889,33.4637
2020-11,48.6064,47.2943
2020-12,52.2388,51.8455
2021-01,46.6848,50.305
2021-02,63.4237,53.4604
2021-03,63.9543,59.4101
2021-04,78.2485,66.6882
2021-05,78.2374,66.6274
2021-06,66.7281,69.2184
2021-07,80.7075,72.1455
2021-08,97.8496,75.992
2021-09,95.5068,66.6118
2021-10,117.4504,77.1553
2021-11,99.4239,74.6519
2021-12,101.1073,81.397
2022-01,83.9424,70.7122
2022-02,93.0364,64.6001
2022-03,113.6387,69.8532
2022-04,87.8419,54.0273
2022-05,78.6397,53.6333
2022-06,73.6975,40.2902
2022-07,86.655,52.5094
2022-08,78.028,45.531
2022-09,69.7583,31.5965
2022-10,77.7036,41.7445
2022-11,93.4369,48.9584
2022-12,87.1683,39.838
2023-01,99.0748,48.5632
2023-02,88.7147,44.2258
2023-03,94.5239,48.9578
2023-04,99.764,50.6836
2023-05,88.2322,50.7741
2023-06,109.5079,59.884
2023-07,92.492,64.3798
2023-08,100.3126,60.953
2023-09,93.6536,52.6248
2023-10,84.1451,48.7132
2023-11,94.4558,61.6976
2023-12,71.3265,68.3392
2024-01,76.0503,71.0275
2024-02,85.4813,79.0476
2024-03,94.8746,83.99
2024-04,64.2287,75.7344
2024-05,63.2987,83.6813
2024-06,69.4963,89.2836
2024-07,88.8173,90.5002
2024-08,96.9718,94.0822
2024-09,98.2717,98.2932
2024-10,109.132,95.412
2024-11,122.3776,105.8418
2024-12,102.8631,99.9875
2025-01,109.4427,105.351
2025-02,130.2388,101.7087
2025-03,123.3252,89.4719
2025-04,97.449,87.0451
2025-05,106.5042,97.8575
2025-06,97.0103,107.0685
2025-07,95.4953,110.7404
2025-08,101.1755,114.0337
2025-09,95.4693,121.6081
2025-10,85.8835,125.7153
2025-11,92.2676,125.0226
2025-12,90.8537,124.0393
2026-01,89.1017,127.2713
2026-02,78.7049,125.3185
