Date,rate_BAX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,6.0505,-1.8027
2016-03,8.0219,4.5695
2016-04,13.6566,3.6217
2016-05,8.2742,4.6859
2016-06,12.1817,4.2011
2016-07,17.1687,7.3141
2016-08,12.1265,6.5393
2016-09,12.972,5.8417
2016-10,11.651,3.4057
2016-11,3.5621,7.0013
2016-12,3.3429,8.6582
2017-01,11.3516,9.9058
2017-02,17.4349,13.4199
2017-03,18.6558,12.5861
2017-04,26.1321,12.9516
2017-05,33.0761,13.7442
2017-06,33.8859,14.6714
2017-07,31.9713,16.2352
2017-08,34.0523,15.7466
2017-09,33.9263,17.3266
2017-10,36.0038,19.2474
2017-11,36.9977,22.0133
2017-12,33.6229,22.6523
2018-01,47.3828,28.4864
2018-02,37.1108,22.6807
2018-03,30.6246,18.8927
2018-04,38.4028,18.6249
2018-05,40.0597,20.8091
2018-06,44.491,20.9812
2018-07,40.3652,24.5763
2018-08,43.1337,27.7899
2018-09,47.0024,27.6747
2018-10,18.1051,18.1983
2018-11,29.2567,19.8597
2018-12,24.0275,8.8011
2019-01,35.8702,17.1215
2019-02,39.4534,20.4441
2019-03,50.5632,22.1999
2019-04,40.1044,26.5012
2019-05,33.9443,17.9266
2019-06,48.8428,25.7011
2019-07,51.4535,26.9004
2019-08,57.7592,24.2426
2019-09,55.6217,26.142
2019-10,35.4619,28.3311
2019-11,43.9132,32.3256
2019-12,46.2552,35.5485
2020-01,55.0251,34.7719
2020-02,44.3906,23.2511
2020-03,39.6036,7.5779
2020-04,51.8811,21.2186
2020-05,53.0104,26.5774
2020-06,45.838,28.3766
2020-07,45.4442,35.3325
2020-08,47.0169,44.0777
2020-09,35.0882,37.914
2020-10,29.7373,33.7633
2020-11,26.7366,47.7098
2020-12,33.6247,52.3667
2021-01,27.427,49.9654
2021-02,28.8197,53.2453
2021-03,39.3332,60.4049
2021-04,40.936,67.83
2021-05,34.4678,67.8968
2021-06,31.7626,70.6358
2021-07,26.1355,73.7106
2021-08,23.9165,77.7187
2021-09,30.8124,68.3779
2021-10,27.9728,79.119
2021-11,20.4771,76.6949
2021-12,38.7758,83.6042
2022-01,37.6009,72.9303
2022-02,36.7965,66.8181
2022-03,24.4152,72.1992
2022-04,13.7166,56.2223
2022-05,21.503,55.8933
2022-06,2.8944,42.4002
2022-07,-6.0812,54.8512
2022-08,-7.9255,47.8158
2022-09,-13.1446,33.7039
2022-10,-12.1938,44.0824
2022-11,-8.5116,51.4429
2022-12,-16.8693,42.1877
2023-01,-25.2928,50.5828
2023-02,-33.9422,46.2373
2023-03,-32.5026,52.2586
2023-04,-20.2397,54.0684
2023-05,-31.6652,54.1996
2023-06,-22.6468,63.548
2023-07,-22.9593,68.1942
2023-08,-30.1106,64.7317
2023-09,-34.7262,56.2636
2023-10,-43.5759,52.2886
2023-11,-36.2319,65.5989
2023-12,-31.2978,72.448
2024-01,-30.9217,74.4576
2024-02,-26.1087,82.7177
2024-03,-22.5563,89.0282
2024-04,-26.6486,80.6052
2024-05,-37.2906,88.8335
2024-06,-37.0548,96.0415
2024-07,-32.2001,97.3583
2024-08,-26.7709,101.128
2024-09,-25.3488,105.7758
2024-10,-29.5409,102.865
2024-11,-32.5338,113.7798
2024-12,-41.0762,107.7813
2025-01,-33.7965,112.3595
2025-02,-29.1664,108.6721
2025-03,-28.7881,96.0839
2025-04,-34.9034,93.6359
2025-05,-35.2714,104.9003
2025-06,-35.0809,114.5225
2025-07,-53.1166,118.4064
2025-08,-45.1995,121.8959
2025-09,-48.7598,128.6764
2025-10,-58.0977,133.0211
2025-11,-56.9915,132.409
2025-12,-55.6754,131.4906
2026-01,-52.9708,133.7386
2026-02,-51.8287,130.7823
2026-03,-54.5972,127.7382
