Date,rate_ITA_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.5414,-1.8027
2016-03,3.8206,4.5695
2016-04,7.1399,3.6217
2016-05,7.5699,4.6859
2016-06,7.2534,4.2011
2016-07,10.0499,7.3141
2016-08,9.3233,6.5393
2016-09,7.5869,5.8417
2016-10,7.8261,3.4057
2016-11,17.8262,7.0013
2016-12,14.4724,8.6582
2017-01,14.8618,9.9058
2017-02,21.2708,13.4199
2017-03,18.0995,12.5861
2017-04,20.9207,12.9516
2017-05,22.8592,13.7442
2017-06,21.501,14.6714
2017-07,26.1311,16.2352
2017-08,29.3755,15.7466
2017-09,33.8121,17.3266
2017-10,34.0753,19.2474
2017-11,36.5338,22.0133
2017-12,36.9512,22.6523
2018-01,46.3435,28.4864
2018-02,44.269,22.6807
2018-03,39.552,18.8927
2018-04,34.2322,18.6249
2018-05,37.7796,20.8091
2018-06,32.25,20.9812
2018-07,40.3096,24.5763
2018-08,40.1687,27.7899
2018-09,45.5192,27.6747
2018-10,27.7431,18.1983
2018-11,27.0769,19.8597
2018-12,13.8946,8.8011
2019-01,27.7019,17.1215
2019-02,36.4912,20.4441
2019-03,29.7544,22.1999
2019-04,35.4241,26.5012
2019-05,29.6379,17.9266
2019-06,37.1381,25.7011
2019-07,36.9779,26.9004
2019-08,40.2991,24.2426
2019-09,41.5851,26.142
2019-10,37.8594,28.3311
2019-11,44.1278,32.3256
2019-12,38.3729,35.5485
2020-01,41.0641,34.7719
2020-02,23.7546,23.2511
2020-03,-11.1799,7.5779
2020-04,-3.4741,21.2186
2020-05,2.1102,26.5774
2020-06,2.4162,28.3766
2020-07,-2.5882,35.3325
2020-08,3.8806,44.0777
2020-09,-1.2951,37.914
2020-10,-5.8766,33.7633
2020-11,15.264,47.7098
2020-12,18.1277,52.3667
2021-01,10.8219,49.9654
2021-02,18.7195,53.2453
2021-03,29.2714,60.4049
2021-04,31.6872,67.83
2021-05,35.9505,67.8968
2021-06,34.678,70.6358
2021-07,32.242,73.7106
2021-08,29.3419,77.7187
2021-09,27.4697,68.3779
2021-10,27.3538,79.119
2021-11,19.1966,76.6949
2021-12,24.8285,83.6042
2022-01,22.4924,72.9303
2022-02,35.1688,66.8181
2022-03,33.5716,72.1992
2022-04,23.6026,56.2223
2022-05,22.4818,55.8933
2022-06,18.9306,42.4002
2022-07,24.2069,54.8512
2022-08,21.4022,47.8158
2022-09,9.0868,33.7039
2022-10,28.1018,44.0824
2022-11,33.3685,51.4429
2022-12,33.1839,42.1877
2023-01,36.1255,50.5828
2023-02,35.7517,46.2373
2023-03,36.097,52.2586
2023-04,34.3679,54.0684
2023-05,27.7558,54.1996
2023-06,37.0905,63.548
2023-07,37.9115,68.1942
2023-08,35.6917,64.7317
2023-09,23.6999,56.2636
2023-10,27.9748,52.2886
2023-11,39.2841,65.5989
2023-12,47.1643,72.448
2024-01,42.1045,74.4576
2024-02,47.7021,82.7177
2024-03,52.1815,89.0282
2024-04,49.282,80.6052
2024-05,55.8538,88.8335
2024-06,51.1206,96.0415
2024-07,63.3149,97.3583
2024-08,67.8617,101.128
2024-09,69.654,105.7758
2024-10,63.1035,102.865
2024-11,75.0378,113.7798
2024-12,63.3915,107.7813
2025-01,75.3787,112.3595
2025-02,72.6984,108.6721
2025-03,70.4472,96.0839
2025-04,74.0317,93.6359
2025-05,95.8028,104.9003
2025-06,107.6814,114.5225
2025-07,115.4784,118.4064
2025-08,116.4696,121.8959
2025-09,128.0448,128.6764
2025-10,134.0367,133.0211
2025-11,121.385,132.409
2025-12,130.6912,131.4906
2026-01,148.5144,133.7386
2026-02,159.3529,130.7823
2026-03,131.8057,117.6098
2026-04,130.5185,139.3863
2026-05,147.1856,150.8374
2026-06,153.5008,146.5232
2026-07,149.4154,145.3136
2026-08,136.5405,150.6618
2026-09,130.3605,148.9744
