Date,rate_LEU_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-2.1691,-1.8027
2016-03,229.9452,4.5695
2016-04,93.0819,3.6217
2016-05,65.7199,4.6859
2016-06,67.9514,4.2011
2016-07,51.6516,7.3141
2016-08,59.3842,6.5393
2016-09,75.585,5.8417
2016-10,63.8075,3.4057
2016-11,164.7211,7.0013
2016-12,146.5175,8.6582
2017-01,97.2874,9.9058
2017-02,116.1497,13.4199
2017-03,107.2053,12.5861
2017-04,72.0228,12.9516
2017-05,61.9113,13.7442
2017-06,34.2187,14.6714
2017-07,31.4793,16.2352
2017-08,16.9471,15.7466
2017-09,14.3922,17.3266
2017-10,21.6585,19.2474
2017-11,29.6514,22.0133
2017-12,20.4056,22.6523
2018-01,15.1199,28.4864
2018-02,5.8591,22.6807
2018-03,5.1774,18.8927
2018-04,7.3562,18.6249
2018-05,4.7077,20.8091
2018-06,1.2091,20.9812
2018-07,-9.1131,24.5763
2018-08,-32.7868,27.7899
2018-09,-19.5467,27.6747
2018-10,-34.0904,18.1983
2018-11,-14.3593,19.8597
2018-12,-48.0282,8.8011
2019-01,-17.1583,17.1215
2019-02,-1.8033,20.4441
2019-03,-11.8097,22.1999
2019-04,6.3129,26.5012
2019-05,-4.6173,17.9266
2019-06,3.0732,25.7011
2019-07,2.9191,26.9004
2019-08,2.624,24.2426
2019-09,15.1764,26.142
2019-10,58.1881,28.3311
2019-11,68.7665,32.3256
2019-12,112.381,35.5485
2020-01,92.996,34.7719
2020-02,141.3113,23.2511
2020-03,51.5942,7.5779
2020-04,99.2596,21.2186
2020-05,151.4891,26.5774
2020-06,191.8569,28.3766
2020-07,325.0921,35.3325
2020-08,213.358,44.0777
2020-09,134.3877,37.914
2020-10,169.0272,33.7633
2020-11,310.8344,47.7098
2020-12,526.0144,52.3667
2021-01,442.1342,49.9654
2021-02,518.603,53.2453
2021-03,516.3021,60.4049
2021-04,486.9372,67.83
2021-05,458.1861,67.8968
2021-06,534.4233,70.6358
2021-07,472.375,73.7106
2021-08,604.8701,77.7187
2021-09,830.7979,68.3779
2021-10,1246.8325,79.119
2021-11,1201.5107,76.6949
2021-12,1055.6751,83.6042
2022-01,893.5187,72.9303
2022-02,922.555,66.8181
2022-03,652.142,72.1992
2022-04,512.5509,56.2223
2022-05,458.5405,55.8933
2022-06,434.582,42.4002
2022-07,608.4824,54.8512
2022-08,953.0936,47.8158
2022-09,756.8328,33.7039
2022-10,878.5107,44.0824
2022-11,677.4869,51.4429
2022-12,557.6897,42.1877
2023-01,722.9017,50.5828
2023-02,789.0531,46.2373
2023-03,532.3995,52.2586
2023-04,469.9511,54.0684
2023-05,468.3757,54.1996
2023-06,521.8214,63.548
2023-07,611.4317,68.1942
2023-08,789.5908,64.7317
2023-09,953.6855,56.2636
2023-10,875.7068,52.2886
2023-11,810.9659,65.5989
2023-12,881.7361,72.448
2024-01,797.753,74.4576
2024-02,622.5694,82.7177
2024-03,629.2569,89.0282
2024-04,647.2808,80.6052
2024-05,756.474,88.8335
2024-06,631.3758,96.0415
2024-07,641.2101,97.3583
2024-08,566.3094,101.128
2024-09,815.3876,105.7758
2024-10,1617.6731,102.865
2024-11,1392.4346,113.7798
2024-12,983.0235,107.7813
2025-01,1226.9594,112.3595
2025-02,1350.5703,108.6721
2025-03,886.2967,96.0839
2025-04,989.6739,93.6359
2025-05,1879.7684,104.9003
2025-06,2733.4831,114.5225
2025-07,3203.988,118.4064
2025-08,2968.4783,121.8959
2025-09,4577.2815,128.6764
2025-10,5396.9041,133.0211
2025-11,3746.9664,132.409
2025-12,3472.3822,131.4906
2026-01,3962.1595,133.7386
2026-02,2833.7289,130.7823
2026-03,2394.0569,117.6098
2026-04,2907.4149,139.3863
2026-05,2481.1874,150.8374
2026-06,2256.5365,146.5232
2026-07,2364.9879,145.3136
2026-08,2546.167,152.7306
