Date,rate_LRCX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-6.6674,-3.7423
2016-03,0.5412,0.3764
2016-04,10.497,5.1946
2016-05,-0.6446,3.5695
2016-06,8.2261,4.8356
2016-07,7.0312,4.3651
2016-08,15.9899,7.2005
2016-09,18.7994,6.5176
2016-10,17.1681,5.8316
2016-11,17.0743,2.6321
2016-12,18.5557,6.5262
2017-01,26.0212,8.6002
2017-02,38.098,9.8701
2017-03,37.5886,14.9815
2017-04,45.3927,12.5254
2017-05,65.7148,13.1716
2017-06,69.6741,14.581
2017-07,50.3668,14.626
2017-08,64.4521,16.4591
2017-09,70.8492,15.9061
2017-10,86.1688,17.2911
2017-11,99.8572,19.4181
2017-12,80.9529,21.7575
2018-01,74.5123,22.6249
2018-02,76.2239,28.3844
2018-03,74.1681,21.0506
2018-04,83.6738,18.8566
2018-05,69.3243,18.843
2018-06,77.706,22.0592
2018-07,50.2902,20.962
2018-08,60.2232,24.4135
2018-09,47.1187,27.7869
2018-10,27.3811,28.1445
2018-11,27.9367,19.3954
2018-12,31.4054,19.8359
2019-01,15.0705,8.7501
2019-02,45.4769,17.203
2019-03,47.6011,21.2677
2019-04,53.8729,23.6016
2019-05,68.4273,25.5902
2019-06,42.7596,17.8911
2019-07,56.2126,26.7327
2019-08,66.5761,25.8061
2019-09,68.8712,24.2046
2019-10,84.0556,24.595
2019-11,120.0877,29.5299
2019-12,108.5951,32.3145
2020-01,126.9923,35.5516
2020-02,128.8565,34.7733
2020-03,122.6504,23.2161
2020-04,68.4908,2.6957
2020-05,75.9213,17.923
2020-06,101.1775,27.1545
2020-07,134.3565,29.2791
2020-08,175.5057,35.3897
2020-09,145.9389,45.4969
2020-10,143.2839,38.8421
2020-11,142.9056,33.8054
2020-12,228.7573,49.4413
2021-01,229.0565,52.4925
2021-02,245.3981,52.5474
2021-03,307.7311,57.1165
2021-04,330.9588,62.2404
2021-05,313.2307,68.0147
2021-06,327.2295,67.9506
2021-07,312.7256,71.7835
2021-08,310.8532,73.9065
2021-09,282.2952,78.108
2021-10,260.1998,70.559
2021-11,258.3762,79.7147
2021-12,329.5339,74.8714
2022-01,341.5732,83.8439
2022-02,258.1098,74.2485
2022-03,225.2026,64.4857
2022-04,214.0806,72.8765
2022-05,175.9029,56.3809
2022-06,197.1333,54.7432
2022-07,130.8481,43.9638
2022-08,191.8638,54.5402
2022-09,148.7274,48.4061
2022-10,110.1371,33.808
2022-11,135.4384,43.6413
2022-12,162.3746,51.6237
2023-01,137.3199,42.3283
2023-02,197.3674,52.4008
2023-03,173.1799,45.8599
2023-04,193.7955,52.4428
2023-05,188.1314,54.1535
2023-06,238.4497,55.8684
2023-07,249.1936,63.7729
2023-08,285.8162,67.9151
2023-09,275.2563,65.3142
2023-10,233.478,56.4671
2023-11,220.3722,54.158
2023-12,278.5623,66.8181
2024-01,308.5287,72.7134
2024-02,330.6781,77.0248
2024-03,403.972,84.7703
2024-04,401.0415,89.0895
2024-05,339.4737,80.3005
2024-06,368.4345,89.1407
2024-07,430.7181,96.817
2024-08,312.2045,94.9948
2024-09,304.6085,101.4737
2024-10,291.2701,104.2286
2024-11,264.46,104.0979
2024-12,257.5352,114.1559
2025-01,248.3237,108.1307
2025-02,288.2988,112.719
2025-03,265.1678,109.0154
2025-04,245.3813,97.097
2025-05,238.005,95.2965
2025-06,278.3242,105.2137
2025-07,352.5563,114.7559
2025-08,347.4447,115.142
2025-09,361.8816,122.2543
2025-10,555.3129,129.8729
2025-11,617.4469,133.4127
2025-12,600.1799,131.7276
2026-01,669.9544,131.8756
2026-02,453.5626,120.852
