Date,rate_LW_5D,rate_VOO_20D
2016-11,10.08,1.7189
2016-12,20.3071,3.3758
2017-01,12.6417,4.6235
2017-02,14.5103,8.1375
2017-03,19.3211,7.3037
2017-04,15.7647,7.6692
2017-05,26.1423,8.4618
2017-06,16.3845,9.389
2017-07,14.4087,10.9528
2017-08,17.2748,10.4643
2017-09,19.1732,12.0442
2017-10,27.8254,13.965
2017-11,34.4119,16.7309
2017-12,36.9235,17.3699
2018-01,39.5786,23.204
2018-02,27.0954,17.3983
2018-03,35.0317,13.6103
2018-04,49.2971,13.3425
2018-05,43.6382,15.5267
2018-06,51.9685,15.6988
2018-07,53.324,19.2939
2018-08,45.6201,22.5075
2018-09,41.5144,22.3923
2018-10,64.0536,12.9159
2018-11,58.9081,14.5773
2018-12,50.2416,3.5187
2019-01,46.2449,11.8392
2019-02,38.6181,15.1617
2019-03,48.3314,16.9175
2019-04,37.1973,21.2188
2019-05,15.4447,12.6442
2019-06,22.9247,20.4187
2019-07,29.5167,21.618
2019-08,35.3311,18.9602
2019-09,38.7619,20.8596
2019-10,48.0812,23.0487
2019-11,57.9578,27.0432
2019-12,60.2465,30.2661
2020-01,68.8598,29.4895
2020-02,59.0604,17.9687
2020-03,3.6345,2.2955
2020-04,11.5773,15.9362
2020-05,9.4861,21.295
2020-06,16.2315,23.0942
2020-07,8.9161,30.0501
2020-08,14.1418,38.7953
2020-09,20.0975,32.6316
2020-10,14.5785,28.4809
2020-11,30.7503,42.4274
2020-12,41.5447,47.0843
2021-01,33.5215,44.683
2021-02,42.2791,47.9629
2021-03,37.3813,55.1225
2021-04,41.9943,62.5476
2021-05,45.1304,62.6144
2021-06,41.0915,65.3534
2021-07,16.2186,68.4282
2021-08,13.5366,72.4363
2021-09,6.7259,63.0955
2021-10,-1.9606,73.8366
2021-11,-9.4087,71.4125
2021-12,10.8283,78.3218
2022-01,12.1031,67.6479
2022-02,16.195,61.5357
2022-03,4.6529,66.9168
2022-04,15.3368,50.9399
2022-05,18.1073,50.6109
2022-06,24.6316,37.1178
2022-07,38.508,49.5688
2022-08,38.1393,42.5334
2022-09,33.8864,28.4215
2022-10,48.6401,38.8
2022-11,49.5608,46.1605
2022-12,53.1105,36.9053
2023-01,70.3454,45.3004
2023-02,71.1692,40.9549
2023-03,76.7959,46.9762
2023-04,88.0641,48.786
2023-05,86.3936,48.9172
2023-06,91.5439,58.2656
2023-07,71.6728,62.9118
2023-08,61.0245,59.4493
2023-09,52.1563,50.9812
2023-10,47.1812,47.0062
2023-11,63.7485,60.3166
2023-12,76.1132,67.1656
2024-01,66.088,69.1752
2024-02,65.4931,77.4353
2024-03,71.7147,83.7458
2024-04,33.7537,75.3228
2024-05,41.8877,83.5511
2024-06,34.6958,90.7591
2024-07,-4.0525,92.0759
2024-08,0.7657,95.8456
2024-09,5.3392,100.4934
2024-10,26.3112,97.5826
2024-11,27.0698,108.4974
2024-12,9.7221,102.4989
2025-01,-1.0584,107.0771
2025-02,-13.2232,103.3897
2025-03,-10.7001,90.8015
2025-04,-11.4164,88.3535
2025-05,-4.4478,99.6179
2025-06,-11.1333,109.2401
2025-07,-2.0931,113.124
2025-08,0.6551,116.6135
2025-09,1.6089,123.394
2025-10,8.5559,127.7387
2025-11,5.0543,127.1266
2025-12,-25.488,126.2082
2026-01,-16.7092,128.4562
2026-02,-11.7587,125.4999
2026-03,-14.2364,124.4945
