Date,rate_ADM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.1591,-3.7423
2016-03,0.2672,0.3764
2016-04,2.9386,5.1946
2016-05,11.901,3.5695
2016-06,18.2466,4.8356
2016-07,14.5965,4.3651
2016-08,16.8005,7.2005
2016-09,12.614,6.5176
2016-10,8.7003,5.8316
2016-11,19.5304,2.6321
2016-12,12.356,6.5262
2017-01,14.6837,8.6002
2017-02,8.8703,9.8701
2017-03,15.796,14.9815
2017-04,13.5761,12.5254
2017-05,11.9624,13.1716
2017-06,2.519,14.581
2017-07,1.2957,14.626
2017-08,5.9189,16.4591
2017-09,3.7154,15.9061
2017-10,4.2935,17.2911
2017-11,-0.5342,19.4181
2017-12,0.7827,21.7575
2018-01,-1.1054,22.6249
2018-02,4.8097,28.3844
2018-03,4.9412,21.0506
2018-04,10.1349,18.8566
2018-05,13.9708,18.843
2018-06,11.2804,22.0592
2018-07,15.9872,20.962
2018-08,21.2127,24.4135
2018-09,27.124,27.7869
2018-10,25.5715,28.1445
2018-11,21.3542,19.3954
2018-12,15.7103,19.8359
2019-01,2.6204,8.7501
2019-02,12.3586,17.203
2019-03,9.3853,21.2677
2019-04,9.7818,23.6016
2019-05,13.102,25.5902
2019-06,-1.0392,17.8911
2019-07,6.9381,26.7327
2019-08,6.1297,25.8061
2019-09,-1.095,24.2046
2019-10,4.8541,24.595
2019-11,10.2005,29.5299
2019-12,12.1846,32.3145
2020-01,20.8445,35.5516
2020-02,16.2863,34.7733
2020-03,-1.5285,23.2161
2020-04,-11.3905,2.6957
2020-05,-7.8952,17.923
2020-06,3.1004,27.1545
2020-07,4.418,29.2791
2020-08,13.3901,35.3897
2020-09,20.2029,45.4969
2020-10,23.722,38.8421
2020-11,22.3587,33.8054
2020-12,33.1365,49.4413
2021-01,33.3754,52.4925
2021-02,33.011,52.5474
2021-03,51.3461,57.1165
2021-04,51.448,62.2404
2021-05,64.9621,68.0147
2021-06,77.3626,67.9506
2021-07,57.4849,71.7835
2021-08,54.0713,73.9065
2021-09,54.0703,78.108
2021-10,56.2133,70.559
2021-11,62.5914,79.7147
2021-12,58.0985,74.8714
2022-01,71.9699,83.8439
2022-02,91.0685,74.2485
2022-03,97.0248,64.4857
2022-04,128.8062,72.8765
2022-05,123.0995,56.3809
2022-06,115.3412,54.7432
2022-07,88.5435,43.9638
2022-08,106.6762,54.5402
2022-09,114.4071,48.4061
2022-10,95.6525,33.808
2022-11,135.775,43.6413
2022-12,120.19,51.6237
2023-01,122.4222,42.3283
2023-02,98.4186,52.4008
2023-03,88.5653,45.8599
2023-04,88.5391,52.4428
2023-05,83.1532,54.1535
2023-06,66.2912,55.8684
2023-07,77.309,63.7729
2023-08,98.4572,67.9151
2023-09,86.3762,65.3142
2023-10,75.2887,56.4671
2023-11,65.1169,54.158
2023-12,74.0147,66.8181
2024-01,66.6424,72.7134
2024-02,30.4288,77.0248
2024-03,25.4866,84.7703
2024-04,43.951,89.0895
2024-05,34.3498,80.3005
2024-06,44.5007,89.1407
2024-07,39.9094,96.817
2024-08,39.1528,94.9948
2024-09,41.0929,101.4737
2024-10,37.3083,104.2286
2024-11,25.7265,104.0979
2024-12,26.5415,114.1559
2025-01,16.8564,108.1307
2025-02,18.3409,112.719
2025-03,10.0536,109.0154
2025-04,12.314,97.097
2025-05,10.7369,95.2965
2025-06,13.4314,105.2137
2025-07,27.8188,114.7559
2025-08,26.1702,115.142
2025-09,47.6945,122.2543
2025-10,39.3139,129.8729
2025-11,41.9824,133.4127
2025-12,42.7986,131.7276
2026-01,35.3086,131.8756
2026-02,61.6521,131.1612
