Date,rate_CDW_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,3.3983,-0.6039
2016-03,6.3522,5.2168
2016-04,-3.0172,3.9893
2016-05,8.0261,4.6886
2016-06,0.3832,4.1237
2016-07,7.2682,7.1795
2016-08,10.7925,6.3603
2016-09,12.25,5.6281
2016-10,9.0146,3.196
2016-11,23.6779,6.7601
2016-12,23.4057,8.3626
2017-01,22.0331,10.2536
2017-02,37.6967,13.6522
2017-03,32.1409,12.7005
2017-04,33.0727,12.9818
2017-05,33.7217,13.693
2017-06,36.7421,13.5288
2017-07,36.5875,15.0481
2017-08,34.9076,14.5515
2017-09,38.6686,16.1037
2017-10,44.9165,17.9557
2017-11,43.3739,20.6805
2017-12,40.4733,21.3029
2018-01,51.1654,28.0338
2018-02,45.6408,22.1441
2018-03,38.6799,18.3021
2018-04,39.1638,18.0902
2018-05,54.9473,20.2208
2018-06,54.3333,20.3415
2018-07,58.5867,23.8746
2018-08,63.4698,27.0072
2018-09,65.9994,27.7347
2018-10,65.8995,18.1437
2018-11,69.2442,19.7418
2018-12,46.0748,8.5778
2019-01,50.0708,17.1263
2019-02,68.0279,20.3748
2019-03,70.4147,22.0514
2019-04,84.4838,26.2651
2019-05,70.3009,17.5943
2019-06,89.8903,25.308
2019-07,99.6227,26.4355
2019-08,93.1671,23.7232
2019-09,106.0735,26.1617
2019-10,111.2345,28.2707
2019-11,120.7672,32.1761
2019-12,130.5383,35.3247
2020-01,110.5414,35.2749
2020-02,82.7278,23.5454
2020-03,47.5864,7.7105
2020-04,74.2,21.425
2020-05,73.4504,26.7132
2020-06,80.042,28.4357
2020-07,78.5172,35.3124
2020-08,73.5437,43.9511
2020-09,81.0141,37.6938
2020-10,83.9906,33.4637
2020-11,94.6637,47.2943
2020-12,94.7912,51.8455
2021-01,94.5991,50.305
2021-02,130.3006,53.4604
2021-03,140.7726,59.4101
2021-04,156.3306,66.6882
2021-05,135.8472,66.6274
2021-06,146.5873,69.2184
2021-07,156.2783,72.1455
2021-08,178.1387,75.992
2021-09,149.7726,66.6118
2021-10,153.6422,77.1553
2021-11,155.5449,74.6519
2021-12,173.8119,81.397
2022-01,150.3643,70.7122
2022-02,126.9993,64.6001
2022-03,133.545,69.8532
2022-04,111.2793,54.0273
2022-05,118.8956,53.6333
2022-06,101.4834,40.2902
2022-07,130.5003,52.5094
2022-08,115.702,45.531
2022-09,95.7962,31.5965
2022-10,115.3163,41.7445
2022-11,134.1029,48.9584
2022-12,119.9391,39.838
2023-01,141.423,48.5632
2023-02,148.1115,44.2258
2023-03,137.0832,48.9578
2023-04,104.8213,50.6836
2023-05,106.7435,50.7741
2023-06,119.5436,59.884
2023-07,122.3405,64.3798
2023-08,149.9816,60.953
2023-09,137.152,52.6248
2023-10,133.9682,48.7132
2023-11,145.3032,61.6976
2023-12,162.6109,68.3392
2024-01,161.9182,71.0275
2024-02,183.126,79.0476
2024-03,191.9935,83.99
2024-04,174.1191,75.7344
2024-05,152.5271,83.6813
2024-06,151.1264,89.2836
2024-07,143.1515,90.5002
2024-08,150.6879,94.0822
2024-09,151.4188,98.2932
2024-10,107.8675,95.412
2024-11,93.9314,105.8418
2024-12,90.8503,99.9875
2025-01,118.3578,105.351
2025-02,95.0195,101.7087
2025-03,74.581,89.4719
2025-04,74.1522,87.0451
2025-05,95.4567,97.8575
2025-06,92.6666,107.0685
2025-07,87.2412,110.7404
2025-08,76.8252,114.0337
2025-09,70.9695,121.6081
2025-10,70.3909,125.7153
2025-11,54.2978,125.0226
2025-12,45.2531,124.0393
2026-01,34.7982,127.2713
2026-02,-11.394,125.3185
