Date,rate_XLP_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.062,-1.8027
2016-03,6.1878,4.5695
2016-04,2.8923,3.6217
2016-05,3.0123,4.6859
2016-06,9.0265,4.2011
2016-07,6.9355,7.3141
2016-08,5.4392,6.5393
2016-09,4.4727,5.8417
2016-10,3.2242,3.4057
2016-11,-1.3481,7.0013
2016-12,3.2808,8.6582
2017-01,4.773,9.9058
2017-02,9.4539,13.4199
2017-03,9.4808,12.5861
2017-04,10.0792,12.9516
2017-05,12.4037,13.7442
2017-06,10.9004,14.6714
2017-07,11.0861,16.2352
2017-08,9.3203,15.7466
2017-09,9.4658,17.3266
2017-10,7.2415,19.2474
2017-11,12.8583,22.0133
2017-12,16.5,22.6523
2018-01,17.7274,28.4864
2018-02,8.1572,22.6807
2018-03,8.0992,18.8927
2018-04,3.3468,18.6249
2018-05,1.6463,20.8091
2018-06,7.8277,20.9812
2018-07,11.824,24.5763
2018-08,11.9176,27.7899
2018-09,14.2761,27.6747
2018-10,16.1353,18.1983
2018-11,18.2793,19.8597
2018-12,9.2322,8.8011
2019-01,14.5737,17.1215
2019-02,16.2286,20.4441
2019-03,21.4867,22.1999
2019-04,24.4064,26.5012
2019-05,19.34,17.9266
2019-06,27.0102,25.7011
2019-07,29.3033,26.9004
2019-08,31.4336,24.2426
2019-09,34.551,26.142
2019-10,33.2434,28.3311
2019-11,34.3541,32.3256
2019-12,39.0595,35.5485
2020-01,38.6975,34.7719
2020-02,26.6093,23.2511
2020-03,19.0636,7.5779
2020-04,26.9894,21.2186
2020-05,28.6037,26.5774
2020-06,27.7825,28.3766
2020-07,36.0731,35.3325
2020-08,41.6415,44.0777
2020-09,38.5425,37.914
2020-10,33.9101,33.7633
2020-11,43.2816,47.7098
2020-12,44.8951,52.3667
2021-01,36.9864,49.9654
2021-02,34.7088,53.2453
2021-03,45.506,60.4049
2021-04,47.494,67.83
2021-05,49.3557,67.8968
2021-06,47.7826,70.6358
2021-07,50.3097,73.7106
2021-08,51.1371,77.7187
2021-09,44.1949,68.3779
2021-10,48.5765,79.119
2021-11,45.8998,76.6949
2021-12,60.4119,83.6042
2022-01,57.2269,72.9303
2022-02,54.2526,66.8181
2022-03,56.2505,72.1992
2022-04,59.0726,56.2223
2022-05,51.846,55.8933
2022-06,47.5934,42.4002
2022-07,51.6559,54.8512
2022-08,48.2006,47.8158
2022-09,35.6581,33.7039
2022-10,47.389,44.0824
2022-11,55.7969,51.4429
2022-12,50.9065,42.1877
2023-01,48.6752,50.5828
2023-02,44.6676,46.2373
2023-03,50.2127,52.2586
2023-04,55.1046,54.0684
2023-05,44.9767,54.1996
2023-06,48.5028,63.548
2023-07,51.1184,68.1942
2023-08,44.6308,64.7317
2023-09,37.301,56.2636
2023-10,35.0154,52.2886
2023-11,40.1978,65.5989
2023-12,43.5412,72.448
2024-01,44.8575,74.4576
2024-02,47.4057,82.7177
2024-03,51.7811,89.0282
2024-04,49.5768,80.6052
2024-05,52.7233,88.8335
2024-06,51.8563,96.0415
2024-07,53.8744,97.3583
2024-08,62.5195,101.128
2024-09,63.7458,105.7758
2024-10,57.4929,102.865
2024-11,63.022,113.7798
2024-12,54.6229,107.7813
2025-01,54.8453,112.3595
2025-02,62.3528,108.6721
2025-03,59.8607,96.0839
2025-04,59.6349,93.6359
2025-05,61.0572,104.9003
2025-06,57.9893,114.5225
2025-07,55.1486,118.4064
2025-08,56.6059,121.8959
2025-09,52.5136,128.6764
2025-10,48.0179,133.0211
2025-11,53.5893,132.409
2025-12,51.0946,131.4906
2026-01,61.9697,133.7386
2026-02,74.0196,130.7823
2026-03,58.8344,117.6098
2026-04,62.8661,139.3863
2026-05,59.6709,150.8374
2026-06,59.5126,146.5232
2026-07,67.2469,139.5994
