Date,rate_PFE_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-5.6655,-3.7423
2016-03,-2.3355,0.3764
2016-04,-1.5909,5.1946
2016-05,7.5617,3.5695
2016-06,13.6145,4.8356
2016-07,13.955,4.3651
2016-08,17.4233,7.2005
2016-09,8.0366,6.5176
2016-10,4.6295,5.8316
2016-11,-4.4539,2.6321
2016-12,-1.9274,6.5262
2017-01,1.4086,8.6002
2017-02,-0.2355,9.8701
2017-03,8.4369,14.9815
2017-04,7.2096,12.5254
2017-05,5.411,13.1716
2017-06,2.7536,14.581
2017-07,5.3542,14.626
2017-08,3.4719,16.4591
2017-09,7.0404,15.9061
2017-10,12.1663,17.2911
2017-11,10.2332,19.4181
2017-12,14.1741,21.7575
2018-01,13.1722,22.6249
2018-02,15.5957,28.3844
2018-03,11.2444,21.0506
2018-04,10.3887,18.8566
2018-05,9.7352,18.843
2018-06,13.0735,22.0592
2018-07,12.7265,20.962
2018-08,24.6647,24.4135
2018-09,28.7825,27.7869
2018-10,36.3779,28.1445
2018-11,33.4712,19.3954
2018-12,41.3117,19.8359
2019-01,32.3384,8.7501
2019-02,30.2268,17.203
2019-03,30.8765,21.2677
2019-04,28.5222,23.6016
2019-05,21.6311,25.5902
2019-06,24.3982,17.8911
2019-07,30.5235,26.7327
2019-08,14.508,25.8061
2019-09,6.1155,24.2046
2019-10,5.6197,24.595
2019-11,14.3089,29.5299
2019-12,15.4575,32.3145
2020-01,17.105,35.5516
2020-02,12.1052,34.7733
2020-03,0.3856,23.2161
2020-04,-4.6397,2.6957
2020-05,13.1542,17.923
2020-06,7.5049,27.1545
2020-07,2.1553,29.2791
2020-08,17.61,35.3897
2020-09,12.4156,45.4969
2020-10,10.6445,38.8421
2020-11,7.7562,33.8054
2020-12,27.1522,49.4413
2021-01,18.3383,52.4925
2021-02,16.0479,52.5474
2021-03,8.9619,57.1165
2021-04,17.2483,62.2404
2021-05,24.5502,68.0147
2021-06,24.942,67.9506
2021-07,27.9908,71.7835
2021-08,39.3097,73.9065
2021-09,49.196,78.108
2021-10,38.4516,70.559
2021-11,40.1815,79.7147
2021-12,76.1813,74.8714
2022-01,89.1162,83.8439
2022-02,70.1388,74.2485
2022-03,45.852,64.4857
2022-04,63.7157,72.8765
2022-05,54.9802,56.3809
2022-06,65.8968,54.7432
2022-07,64.8603,43.9638
2022-08,59.9614,54.5402
2022-09,46.6891,48.4061
2022-10,37.1185,33.808
2022-11,49.9376,43.6413
2022-12,60.1281,51.6237
2023-01,59.9092,42.3283
2023-02,37.8892,52.4008
2023-03,25.599,45.8599
2023-04,27.2371,52.4428
2023-05,21.98,54.1535
2023-06,19.3104,55.8684
2023-07,14.896,63.7729
2023-08,12.6668,67.9151
2023-09,13.064,65.3142
2023-10,4.6852,56.4671
2023-11,-3.7566,54.158
2023-12,-7.4735,66.8181
2024-01,-7.7823,72.7134
2024-02,-11.1654,77.0248
2024-03,-13.3354,84.7703
2024-04,-9.513,89.0895
2024-05,-11.1834,80.3005
2024-06,-4.8574,89.1407
2024-07,-6.2734,96.817
2024-08,6.0499,94.9948
2024-09,0.3155,101.4737
2024-10,-0.8641,104.2286
2024-11,-2.8626,104.0979
2024-12,-4.9813,114.1559
2025-01,-3.7798,108.1307
2025-02,0.8979,112.719
2025-03,0.5418,109.0154
2025-04,-6.6532,97.097
2025-05,-8.9165,95.2965
2025-06,-5.6004,105.2137
2025-07,0.6748,114.7559
2025-08,-0.3772,115.142
2025-09,5.0061,122.2543
2025-10,15.3484,129.8729
2025-11,4.3775,133.4127
2025-12,12.4246,131.7276
2026-01,10.6704,131.8756
2026-02,28.58,131.1612
