Date,rate_TEAM_5D,rate_VOO_20D
2016-01,-23.904,-3.28
2016-02,-0.4424,-1.8027
2016-03,5.7438,4.5695
2016-04,-2.4754,3.6217
2016-05,-4.5125,4.6859
2016-06,9.3288,4.2011
2016-07,25.1296,7.3141
2016-08,20.0515,6.5393
2016-09,19.5929,5.8417
2016-10,5.4421,3.4057
2016-11,5.9289,7.0013
2016-12,-6.1424,8.6582
2017-01,8.2024,9.9058
2017-02,10.6635,13.4199
2017-03,15.6601,12.5861
2017-04,32.0084,12.9516
2017-05,34.9049,13.7442
2017-06,30.6964,14.6714
2017-07,31.4253,16.2352
2017-08,28.9916,15.7466
2017-09,26.093,17.3266
2017-10,71.8378,19.2474
2017-11,62.8359,22.0133
2017-12,56.1825,22.6523
2018-01,82.5299,28.4864
2018-02,80.4047,22.6807
2018-03,76.2261,18.8927
2018-04,80.125,18.6249
2018-05,102.0686,20.8091
2018-06,94.7057,20.9812
2018-07,121.9268,24.5763
2018-08,171.0429,27.7899
2018-09,183.9526,27.6747
2018-10,120.0067,18.1983
2018-11,145.1179,19.8597
2018-12,149.6071,8.8011
2019-01,171.5324,17.1215
2019-02,191.6147,20.4441
2019-03,199.7021,22.1999
2019-04,188.8073,26.5012
2019-05,224.7893,17.9266
2019-06,232.0142,25.7011
2019-07,249.7579,26.9004
2019-08,230.2728,24.2426
2019-09,203.2464,26.142
2019-10,187.7793,28.3311
2019-11,198.5891,32.3256
2019-12,178.782,35.5485
2020-01,236.0162,34.7719
2020-02,226.7017,23.2511
2020-03,205.1504,7.5779
2020-04,241.2143,21.2186
2020-05,301.1882,26.5774
2020-06,284.8521,28.3766
2020-07,272.0093,35.3325
2020-08,298.5321,44.0777
2020-09,272.8242,37.914
2020-10,287.9737,33.7633
2020-11,349.8962,47.7098
2020-12,361.4614,52.3667
2021-01,350.2042,49.9654
2021-02,357.1566,53.2453
2021-03,300.2565,60.4049
2021-04,345.7383,67.83
2021-05,332.4914,67.8968
2021-06,370.6575,70.6358
2021-07,488.5979,73.7106
2021-08,556.3496,77.7187
2021-09,591.2669,68.3779
2021-10,699.0842,79.119
2021-11,548.3506,76.6949
2021-12,549.244,83.6042
2022-01,445.919,72.9303
2022-02,408.9123,66.8181
2022-03,383.891,72.1992
2022-04,266.3794,56.2223
2022-05,186.287,55.8933
2022-06,200.0118,42.4002
2022-07,232.1828,54.8512
2022-08,289.5621,47.8158
2022-09,228.2917,33.7039
2022-10,213.363,44.0824
2022-11,101.7731,51.4429
2022-12,96.1207,42.1877
2023-01,144.8648,50.5828
2023-02,147.1941,46.2373
2023-03,155.7298,52.2586
2023-04,119.0959,54.0684
2023-05,166.5467,54.1996
2023-06,145.7255,63.548
2023-07,164.667,68.1942
2023-08,194.8085,64.7317
2023-09,189.0567,56.2636
2023-10,157.339,52.2886
2023-11,170.2862,65.5989
2023-12,234.4091,72.448
2024-01,248.6052,74.4576
2024-02,187.4056,82.7177
2024-03,168.568,89.0282
2024-04,135.7098,80.6052
2024-05,113.374,88.8335
2024-06,139.3288,96.0415
2024-07,137.5512,97.3583
2024-08,121.5829,101.128
2024-09,111.3975,105.7758
2024-10,149.6794,102.865
2024-11,246.8208,113.7798
2024-12,218.1445,107.7813
2025-01,298.4468,112.3595
2025-02,266.7034,108.6721
2025-03,171.9986,96.0839
2025-04,190.9468,93.6359
2025-05,163.0649,104.9003
2025-06,155.9198,114.5225
2025-07,140.3818,118.4064
2025-08,121.7654,121.8959
2025-09,98.3025,128.6764
2025-10,109.5394,133.0211
2025-11,84.1369,132.409
2025-12,98.8937,131.4906
2026-01,44.4161,133.7386
2026-02,-8.3843,130.7823
2026-03,-9.937,129.7769
