Date,rate_NFLX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-14.518,-3.7423
2016-03,-3.1616,0.3764
2016-04,5.2258,5.1946
2016-05,-11.5079,3.5695
2016-06,2.3485,4.8356
2016-07,-2.9201,4.3651
2016-08,-4.8365,7.2005
2016-09,-1.1903,6.5176
2016-10,0.1195,5.8316
2016-11,25.2362,2.6321
2016-12,16.871,6.5262
2017-01,21.9378,8.6002
2017-02,36.7347,9.8701
2017-03,35.885,14.9815
2017-04,38.3145,12.5254
2017-05,42.8467,13.1716
2017-06,47.2213,14.581
2017-07,32.5452,14.626
2017-08,59.3899,16.4591
2017-09,50.1513,15.9061
2017-10,53.3477,17.2911
2017-11,64.7743,19.4181
2017-12,52.809,21.7575
2018-01,54.7481,22.6249
2018-02,110.656,28.3844
2018-03,126.1115,21.0506
2018-04,125.2193,18.8566
2018-05,134.1594,18.843
2018-06,163.6918,22.0592
2018-07,180.8318,20.962
2018-08,137.7255,24.4135
2018-09,153.63,27.7869
2018-10,158.2822,28.1445
2018-11,111.0352,19.3954
2018-12,87.3935,19.8359
2019-01,73.0236,8.7501
2019-02,117.18,17.203
2019-03,125.0992,21.2677
2019-04,127.8752,23.6016
2019-05,131.9312,25.5902
2019-06,107.2592,17.8911
2019-07,123.3797,26.7327
2019-08,88.0735,25.8061
2019-09,71.0733,24.2046
2019-10,55.5458,24.595
2019-11,64.2004,29.5299
2019-12,78.6437,32.3145
2020-01,82.0153,35.5516
2020-02,92.3335,34.7733
2020-03,103.6994,23.2161
2020-04,98.9591,2.6957
2020-05,124.7601,17.923
2020-06,128.108,27.1545
2020-07,157.3848,29.2791
2020-08,156.2195,35.3897
2020-09,188.5072,45.4969
2020-10,170.3171,38.8421
2020-11,141.1382,33.8054
2020-12,153.2174,49.4413
2021-01,168.6204,52.4925
2021-02,165.0236,52.5474
2021-03,168.0063,57.1165
2021-04,159.9313,62.2404
2021-05,145.0465,68.0147
2021-06,136.0087,67.9506
2021-07,150.0997,71.7835
2021-08,140.439,73.9065
2021-09,168.0784,78.108
2021-10,179.8251,70.559
2021-11,208.0121,79.7147
2021-12,176.6855,74.8714
2022-01,167.4251,83.8439
2022-02,101.1802,74.2485
2022-03,68.8255,64.4857
2022-04,62.3551,72.8765
2022-05,-17.6654,56.3809
2022-06,-16.3313,54.7432
2022-07,-21.7582,43.9638
2022-08,-1.2998,54.5402
2022-09,0.3865,48.4061
2022-10,2.7369,33.808
2022-11,25.0844,43.6413
2022-12,37.9227,51.6237
2023-01,27.8977,42.3283
2023-02,56.6008,52.4008
2023-03,35.0439,45.8599
2023-04,48.384,52.4428
2023-05,38.6929,54.1535
2023-06,71.9597,55.8684
2023-07,87.0212,63.7729
2023-08,85.2739,67.9151
2023-09,84.8755,65.3142
2023-10,57.9157,56.4671
2023-11,75.0404,54.158
2023-12,93.1387,66.8181
2024-01,100.89,72.7134
2024-02,132.9449,77.0248
2024-03,152.7379,84.7703
2024-04,149.154,89.0895
2024-05,122.424,80.3005
2024-06,157.2608,89.1407
2024-07,168.4677,96.817
2024-08,147.5162,94.9948
2024-09,176.2263,101.4737
2024-10,176.4182,104.2286
2024-11,194.1961,104.0979
2024-12,242.9252,114.1559
2025-01,242.4075,108.1307
2025-02,272.7918,112.719
2025-03,271.7516,109.0154
2025-04,249.6503,97.097
2025-05,324.1696,95.2965
2025-06,348.7158,105.2137
2025-07,377.54,114.7559
2025-08,324.7629,115.142
2025-09,340.0449,122.2543
2025-10,323.6246,129.8729
2025-11,302.1754,133.4127
2025-12,289.7913,131.7276
2026-01,232.8172,131.8756
2026-02,211.8795,120.852
