Date,rate_PM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,2.6675,-3.7423
2016-03,3.6966,0.3764
2016-04,12.7593,5.1946
2016-05,7.7536,3.5695
2016-06,7.5681,4.8356
2016-07,9.3911,4.3651
2016-08,6.829,7.2005
2016-09,6.4601,6.5176
2016-10,3.2513,5.8316
2016-11,1.7085,2.6321
2016-12,-7.2385,6.5262
2017-01,-1.5807,8.6002
2017-02,3.3355,9.8701
2017-03,18.422,14.9815
2017-04,21.1424,12.5254
2017-05,17.3198,13.1716
2017-06,27.183,14.581
2017-07,23.1622,14.626
2017-08,20.3069,16.4591
2017-09,21.2939,15.9061
2017-10,14.4058,17.2911
2017-11,6.3065,19.4181
2017-12,5.9871,21.7575
2018-01,8.8022,22.6249
2018-02,7.9524,28.3844
2018-03,7.1412,21.0506
2018-04,2.5748,18.8566
2018-05,-16.2854,18.843
2018-06,-18.8616,22.0592
2018-07,-14.3666,20.962
2018-08,-8.7893,24.4135
2018-09,-16.6992,27.7869
2018-10,-10.7412,28.1445
2018-11,-3.2809,19.3954
2018-12,-5.1843,19.8359
2019-01,-25.4874,8.7501
2019-02,-14.6987,17.203
2019-03,-0.986,21.2677
2019-04,1.1078,23.6016
2019-05,-1.697,25.5902
2019-06,-11.5748,17.8911
2019-07,-9.0131,26.7327
2019-08,-3.5797,25.8061
2019-09,-15.6259,24.2046
2019-10,-7.1604,24.595
2019-11,-0.8669,29.5299
2019-12,-0.8984,32.3145
2020-01,3.0983,35.5516
2020-02,0.1377,34.7733
2020-03,-0.872,23.2161
2020-04,-9.6244,2.6957
2020-05,-6.6951,17.923
2020-06,-5.9205,27.1545
2020-07,-6.1829,29.2791
2020-08,3.0755,35.3897
2020-09,6.0097,45.4969
2020-10,0.945,38.8421
2020-11,-3.3218,33.8054
2020-12,4.9188,49.4413
2021-01,14.3074,52.4925
2021-02,8.9304,52.5474
2021-03,16.8892,57.1165
2021-04,25.8311,62.2404
2021-05,35.3055,68.0147
2021-06,37.2857,67.9506
2021-07,42.808,71.7835
2021-08,42.4505,73.9065
2021-09,46.7417,78.108
2021-10,37.2759,70.559
2021-11,32.9545,79.7147
2021-12,23.1997,74.8714
2022-01,36.144,83.8439
2022-02,47.4255,74.2485
2022-03,44.2101,64.4857
2022-04,38.7914,72.8765
2022-05,42.8786,56.3809
2022-06,50.5181,54.7432
2022-07,43.0814,43.9638
2022-08,40.7607,54.5402
2022-09,37.4017,48.4061
2022-10,19.6226,33.808
2022-11,31.9066,43.6413
2022-12,46.9215,51.6237
2023-01,46.3902,42.3283
2023-02,51.8648,52.4008
2023-03,39.9508,45.8599
2023-04,40.9353,52.4428
2023-05,43.5004,54.1535
2023-06,29.7819,55.8684
2023-07,41.9842,63.7729
2023-08,42.4333,67.9151
2023-09,38.2573,65.3142
2023-10,35.2516,56.4671
2023-11,29.6728,54.158
2023-12,36.6841,66.8181
2024-01,38.2284,72.7134
2024-02,36.674,77.0248
2024-03,31.2437,84.7703
2024-04,35.1684,89.0895
2024-05,41.6105,80.3005
2024-06,49.0329,89.1407
2024-07,54.0753,96.817
2024-08,78.1259,94.9948
2024-09,86.1774,101.4737
2024-10,83.3261,104.2286
2024-11,97.7649,104.0979
2024-12,100.4814,114.1559
2025-01,82.5135,108.1307
2025-02,96.6292,112.719
2025-03,133.4565,109.0154
2025-04,138.4754,97.097
2025-05,155.1838,95.2965
2025-06,169.5411,105.2137
2025-07,169.5225,114.7559
2025-08,146.0433,115.142
2025-09,151.0472,122.2543
2025-10,140.3856,129.8729
2025-11,121.1729,133.4127
2025-12,138.1764,131.7276
2026-01,150.1693,131.8756
2026-02,188.4129,131.1612
