Date,rate_JCI_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,7.7406,-3.7423
2016-03,9.73,0.3764
2016-04,8.7881,5.1946
2016-05,12.1101,3.5695
2016-06,23.1056,4.8356
2016-07,18.2453,4.3651
2016-08,23.9432,7.2005
2016-09,19.563,6.5176
2016-10,15.8812,5.8316
2016-11,12.8831,2.6321
2016-12,23.7928,6.5262
2017-01,10.3753,8.6002
2017-02,13.0537,9.8701
2017-03,12.589,14.9815
2017-04,10.9314,12.5254
2017-05,8.6448,13.1716
2017-06,9.8757,14.581
2017-07,13.0277,14.626
2017-08,0.3927,16.4591
2017-09,3.3208,15.9061
2017-10,6.1319,17.2911
2017-11,8.2375,19.4181
2017-12,-2.0223,21.7575
2018-01,1.9099,22.6249
2018-02,6.3698,28.3844
2018-03,-4.3018,21.0506
2018-04,-3.8258,18.8566
2018-05,-1.7818,18.843
2018-06,-7.7669,22.0592
2018-07,-6.1403,20.962
2018-08,5.9461,24.4135
2018-09,6.0098,27.7869
2018-10,0.7533,28.1445
2018-11,-4.5421,19.3954
2018-12,-0.2867,19.8359
2019-01,-12.7535,8.7501
2019-02,-1.7793,17.203
2019-03,4.2938,21.2677
2019-04,11.2958,23.6016
2019-05,18.1346,25.5902
2019-06,15.3834,17.8911
2019-07,27.406,26.7327
2019-08,27.1272,25.8061
2019-09,28.5561,24.2046
2019-10,31.0357,24.595
2019-11,32.9971,29.5299
2019-12,29.3041,32.3145
2020-01,24.6652,35.5516
2020-02,20.3147,34.7733
2020-03,11.1528,23.2161
2020-04,-21.3131,2.6957
2020-05,-12.4198,17.923
2020-06,0.1367,27.1545
2020-07,9.2725,29.2791
2020-08,23.8759,35.3897
2020-09,32.1097,45.4969
2020-10,32.439,38.8421
2020-11,36.8355,33.8054
2020-12,49.3109,49.4413
2021-01,52.0174,52.4925
2021-02,65.1767,52.5474
2021-03,84.3371,57.1165
2021-04,94.2942,62.2404
2021-05,100.671,68.0147
2021-06,114.101,67.9506
2021-07,121.2103,71.7835
2021-08,127.059,73.9065
2021-09,134.3328,78.108
2021-10,118.3451,70.559
2021-11,130.9642,79.7147
2021-12,133.4465,74.8714
2022-01,154.3277,83.8439
2022-02,124.2927,74.2485
2022-03,92.6572,64.4857
2022-04,106.5921,72.8765
2022-05,84.7561,56.3809
2022-06,65.6476,54.7432
2022-07,52.2307,43.9638
2022-08,69.1965,54.5402
2022-09,73.0891,48.4061
2022-10,55.5394,33.808
2022-11,82.4816,43.6413
2022-12,109.3354,51.6237
2023-01,102.2799,42.3283
2023-02,108.4867,52.4008
2023-03,97.325,45.8599
2023-04,90.3367,52.4428
2023-05,87.3882,54.1535
2023-06,87.4996,55.8684
2023-07,116.5771,63.7729
2023-08,121.2619,67.9151
2023-09,87.7506,65.3142
2023-10,69.7441,56.4671
2023-11,58.1038,54.158
2023-12,70.4941,66.8181
2024-01,85.0682,72.7134
2024-02,72.6511,77.0248
2024-03,91.2855,84.7703
2024-04,109.7406,89.0895
2024-05,93.7108,80.3005
2024-06,129.2534,89.1407
2024-07,108.8992,96.817
2024-08,123.0979,94.9948
2024-09,129.8647,101.4737
2024-10,142.2159,104.2286
2024-11,136.764,104.0979
2024-12,161.5598,114.1559
2025-01,145.9217,108.1307
2025-02,141.6991,112.719
2025-03,164.0196,109.0154
2025-04,150.6185,97.097
2025-05,167.1861,95.2965
2025-06,208.7059,105.2137
2025-07,217.9843,114.7559
2025-08,221.5528,115.142
2025-09,220.8727,122.2543
2025-10,224.9525,129.8729
2025-11,239.3622,133.4127
2025-12,238.972,131.7276
2026-01,251.0816,131.8756
2026-02,318.0991,131.1612
