Date,rate_NTES_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-17.6655,-1.8027
2016-03,-6.5896,4.5695
2016-04,-6.7451,3.6217
2016-05,19.9014,4.6859
2016-06,26.7947,4.2011
2016-07,30.6747,7.3141
2016-08,32.1952,6.5393
2016-09,45.8215,5.8417
2016-10,50.7383,3.4057
2016-11,28.1417,7.0013
2016-12,21.1271,8.6582
2017-01,40.8583,9.9058
2017-02,65.7146,13.4199
2017-03,50.7536,12.5861
2017-04,37.9274,12.9516
2017-05,46.0306,13.7442
2017-06,51.353,14.6714
2017-07,53.9079,16.2352
2017-08,34.4727,15.7466
2017-09,27.1583,17.3266
2017-10,34.5507,19.2474
2017-11,55.5333,22.0133
2017-12,60.9082,22.6523
2018-01,47.0533,28.4864
2018-02,33.1469,22.6807
2018-03,26.1826,18.8927
2018-04,14.8536,18.6249
2018-05,1.5188,20.8091
2018-06,12.2052,20.9812
2018-07,14.1669,24.5763
2018-08,-12.5435,27.7899
2018-09,1.3849,27.6747
2018-10,-7.7622,18.1983
2018-11,0.8144,19.8597
2018-12,4.4715,8.8011
2019-01,11.6818,17.1215
2019-02,-1.2808,20.4441
2019-03,6.8795,22.1999
2019-04,25.546,26.5012
2019-05,9.4658,17.9266
2019-06,12.3804,25.7011
2019-07,1.1228,26.9004
2019-08,12.1981,24.2426
2019-09,16.826,26.142
2019-10,25.0879,28.3311
2019-11,37.3394,32.3256
2019-12,36.0901,35.5485
2020-01,41.5747,34.7719
2020-02,39.8444,23.2511
2020-03,40.4879,7.5779
2020-04,50.1219,21.2186
2020-05,65.7019,26.5774
2020-06,84.8522,28.3766
2020-07,95.7048,35.3325
2020-08,106.7978,44.0777
2020-09,91.2227,37.914
2020-10,80.9883,33.7633
2020-11,87.0183,47.7098
2020-12,97.0542,52.3667
2021-01,134.659,49.9654
2021-02,122.0656,53.2453
2021-03,106.927,60.4049
2021-04,122.6802,67.83
2021-05,132.3522,67.8968
2021-06,125.6945,70.6358
2021-07,98.544,73.7106
2021-08,87.867,77.7187
2021-09,64.0655,68.3779
2021-10,86.4518,79.119
2021-11,104.8121,76.6949
2021-12,92.0797,83.6042
2022-01,93.777,72.9303
2022-02,77.6027,66.8181
2022-03,66.8884,72.1992
2022-04,76.2979,56.2223
2022-05,90.7433,55.8933
2022-06,71.2611,42.4002
2022-07,69.6638,54.8512
2022-08,61.3583,47.8158
2022-09,37.2107,33.7039
2022-10,0.6467,44.0824
2022-11,28.5513,51.4429
2022-12,31.8067,42.1877
2023-01,60.3281,50.5828
2023-02,39.8567,46.2373
2023-03,59.1902,52.2586
2023-04,59.7528,54.0684
2023-05,51.861,54.1996
2023-06,72.7286,63.548
2023-07,93.3405,68.1942
2023-08,83.0204,64.7317
2023-09,77.2046,56.2636
2023-10,88.277,52.2886
2023-11,99.6842,65.5989
2023-12,63.1575,72.448
2024-01,70.3164,74.4576
2024-02,87.4017,82.7177
2024-03,80.678,89.0282
2024-04,62.6274,80.6052
2024-05,54.3126,88.8335
2024-06,65.9362,96.0415
2024-07,59.2814,97.3583
2024-08,38.6353,101.128
2024-09,62.9512,105.7758
2024-10,39.7102,102.865
2024-11,52.9099,113.7798
2024-12,56.1888,107.7813
2025-01,79.4494,112.3595
2025-02,73.2923,108.6721
2025-03,80.2774,96.0839
2025-04,86.6754,93.6359
2025-05,113.764,104.9003
2025-06,136.4263,114.5225
2025-07,127.7615,118.4064
2025-08,137.9134,121.8959
2025-09,164.1744,128.6764
2025-10,142.2492,133.0211
2025-11,137.5292,132.409
2025-12,138.5328,131.4906
2026-01,122.2313,133.7386
2026-02,97.4401,130.7823
2026-03,93.4523,117.6098
2026-04,102.2599,139.3863
2026-05,110.5338,150.8374
2026-06,122.4113,146.5232
2026-07,130.248,145.3136
2026-08,106.0961,149.2825
